probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AD,B-Root,dns_root,anycast,4,4,0,0.0,1.0,3,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AE,B-Root,dns_root,anycast,22,22,7,0.3181818181818182,1.0,20,14,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AF,B-Root,dns_root,anycast,6,6,3,0.5,1.0,6,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AL,B-Root,dns_root,anycast,24,22,2,0.08333333333333333,0.9166666666666666,23,14,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AM,B-Root,dns_root,anycast,14,14,0,0.0,1.0,14,7,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AO,B-Root,dns_root,anycast,10,9,1,0.1,0.9,10,4,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AR,B-Root,dns_root,anycast,50,44,0,0.0,0.88,50,39,1,1,0.0,True,True,auditable,,probe_country_service
AT,B-Root,dns_root,anycast,213,209,1,0.004694835680751174,0.9812206572769953,206,81,1,1,0.0,True,True,auditable,,probe_country_service
AU,B-Root,dns_root,anycast,253,201,144,0.5691699604743083,0.7944664031620553,240,71,1,1,0.0,True,True,auditable,,probe_country_service
AX,B-Root,dns_root,anycast,2,2,2,1.0,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AZ,B-Root,dns_root,anycast,10,8,0,0.0,0.8,9,8,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BA,B-Root,dns_root,anycast,15,14,0,0.0,0.9333333333333333,15,6,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
