country,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,70,0.4857142857142857,0.6285714285714286,0.7428571428571429,6.236823093319199,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,19,11,1.0,0.0,service_country_cross_layer_distribution_audit,CH,C-Root
CH,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,89,0.4943820224719101,0.6292134831460674,0.7415730337078652,5.915244700300696,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,24,14,1.0,0.0,country_cross_layer_distribution_audit,,
IL,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,47,0.3404255319148936,0.6808510638297872,0.7659574468085106,5.457370052068088,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,18,9,1.0,0.0,country_cross_layer_distribution_audit,,
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,43,0.37209302325581395,0.6976744186046512,0.7906976744186047,5.014812325255936,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,15,8,1.0,0.0,service_country_cross_layer_distribution_audit,IL,C-Root
SG,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4045,0.6482076637824474,0.6927070457354758,0.7275648949320148,7.089316518117518,broad_network_transition_distribution,0.992336217552534,0.9985166872682324,1.0,1.0499388920271857,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,707,279,0.992336217552534,0.007663782447466007,country_cross_layer_distribution_audit,,
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,891,0.3153759820426487,0.3984287317620651,0.4500561167227834,21.508521237596533,broad_network_transition_distribution,0.9315375982042648,0.9696969696969697,0.9831649831649831,1.387114967315186,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,103,50,0.9730639730639731,0.026936026936026935,service_country_cross_layer_distribution_audit,SG,C-Root
DK,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,363,0.209366391184573,0.30303030303030304,0.3608815426997245,23.653941582428917,broad_network_transition_distribution,0.9035812672176309,0.9462809917355373,0.9765840220385675,1.5221684161027158,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,80,39,0.859504132231405,0.14049586776859505,country_cross_layer_distribution_audit,,
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,416,0.1346153846153846,0.23317307692307693,0.31490384615384615,27.096636279004443,broad_network_transition_distribution,0.8918269230769231,0.9375,0.9747596153846154,1.6012634814897546,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,49,27,0.8076923076923077,0.19230769230769232,service_country_cross_layer_distribution_audit,DK,C-Root
EE,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,60,0.48333333333333334,0.75,0.8666666666666667,3.7269833493981013,weak_network_transition_concentration,0.8833333333333333,1.0,1.0,1.4336598654557535,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,28,15,0.0,1.0,country_cross_layer_distribution_audit,,
FI,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,252,0.503968253968254,0.7579365079365079,0.8095238095238095,4.823197402990576,weak_network_transition_concentration,0.8690476190476191,0.9246031746031746,0.9484126984126984,1.800339972747436,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,122,43,0.09523809523809523,0.9047619047619048,country_cross_layer_distribution_audit,,
PT,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,208,0.41346153846153844,0.5288461538461539,0.6346153846153846,8.405710500724128,broad_network_transition_distribution,0.8509615384615384,0.9711538461538461,0.9903846153846154,1.6696687320606132,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,68,17,0.8798076923076923,0.1201923076923077,country_cross_layer_distribution_audit,,
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,164,0.42073170731707316,0.5548780487804879,0.6646341463414634,7.588529390030703,broad_network_transition_distribution,0.8353658536585366,0.9634146341463414,0.9878048780487805,1.746772683411413,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,54,14,0.8719512195121951,0.12804878048780488,service_country_cross_layer_distribution_audit,PT,C-Root
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,654,0.5764525993883792,0.6987767584097859,0.7844036697247707,4.3544757444941675,broad_network_transition_distribution,0.8211009174311926,0.8975535168195719,0.9678899082568807,1.981290288296898,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,101,48,0.8440366972477065,0.1559633027522936,service_country_cross_layer_distribution_audit,IN,C-Root
