probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AE,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,23,23.0,3,landing_region_0132::landing_region_0132,0.782608695652174,0.9130434782608696,1.0,1.954028661468751,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.9130434782608695,0.08695652173913043,probe_country_service
AF,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0051::landing_region_0512,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
AM,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0051::landing_region_0512,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0,probe_country_service
AT,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
AU,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1233,1233.0,10,landing_region_0041::landing_region_0041,0.48337388483373883,0.8142741281427412,0.8888888888888888,3.7898927866611087,moderate_corridor_observation_concentration,True,True,True,True,auditable,,109,52,1,0.9643146796431468,0.035685320356853206,probe_country_service
AX,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,10,10.0,4,landing_region_0415::landing_region_0415,0.4,0.6000000000000001,0.8,3.7892914162759954,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.4,0.6,probe_country_service
AZ,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,7,7.0,1,landing_region_0051::landing_region_0512,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,1,0.0,1.0,probe_country_service
BD,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,49,49.0,3,landing_region_0132::landing_region_0132,0.9387755102040817,0.979591836734694,1.0,1.3090396752783968,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,9,6,1,0.9387755102040817,0.061224489795918366,probe_country_service
BF,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6,6.0,2,landing_region_0239::landing_region_0239,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.6666666666666666,0.3333333333333333,probe_country_service
BH,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_0035::landing_region_0431,0.75,1.0,1.0,1.7547653506033232,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.25,0.75,probe_country_service
BI,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0054::landing_region_0650,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
BJ,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_0239::landing_region_0297,0.75,1.0,1.0,1.7547653506033232,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.0,1.0,probe_country_service
BR,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,9,9.0,4,landing_region_0770::landing_region_0809,0.4444444444444444,0.6666666666666666,0.8888888888888888,3.5716523669284492,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.6666666666666666,0.3333333333333333,probe_country_service
BT,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0132::landing_region_0132,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
CA,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,160,160.0,7,landing_region_0008::landing_region_0008,0.5625,0.7625,0.89375,3.4819533608994746,weak_corridor_observation_concentration,True,True,True,True,auditable,,34,9,1,0.7125,0.2875,probe_country_service
CH,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,70,70.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,19,11,1,1.0,0.0,probe_country_service
CI,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0239::landing_region_0239,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
CK,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0041::landing_region_0041,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
CM,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,3,3.0,2,landing_region_0333::landing_region_0556,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
CN,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,61,61.0,5,landing_region_0230::landing_region_0230,0.5901639344262295,0.819672131147541,0.9016393442622951,3.141728461444545,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,8,6,1,0.9180327868852459,0.08196721311475409,probe_country_service
CO,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,11,11.0,5,landing_region_0243::landing_region_0603,0.36363636363636365,0.5454545454545454,0.7272727272727273,4.55264303936646,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.18181818181818182,0.8181818181818182,probe_country_service
CU,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0174::landing_region_0213,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
