country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
IL,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,160,160.0,1,landing_region_0083::landing_region_0083,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,31,11,1,1.0,0.0,country_corridor_concentration_summary,,
,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,142,142.0,1,landing_region_0083::landing_region_0083,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,27,10,1,1.0,0.0,service_country_corridor_concentration_summary,IL,E-Root
CH,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,62,62.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,14,9,1,1.0,0.0,country_corridor_concentration_summary,,
,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,52,52.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,13,8,1,1.0,0.0,service_country_corridor_concentration_summary,CH,E-Root
SG,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,622,622.0,3,landing_region_0132::landing_region_0132,0.9951768488745981,0.9983922829581994,1.0,1.034180963847565,severe_corridor_observation_concentration,True,True,True,True,auditable,,133,55,1,0.9951768488745981,0.00482315112540193,country_corridor_concentration_summary,,
HK,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,429,429.0,3,landing_region_0230::landing_region_0230,0.993006993006993,0.9976689976689976,1.0,1.047205150503619,severe_corridor_observation_concentration,True,True,True,True,auditable,,109,55,1,0.993006993006993,0.006993006993006993,country_corridor_concentration_summary,,
AU,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,544,544.0,4,landing_region_0041::landing_region_0041,0.9816176470588235,0.988970588235294,0.9963235294117646,1.1174696002881328,severe_corridor_observation_concentration,True,True,True,True,auditable,,108,50,1,1.0,0.0,country_corridor_concentration_summary,,
,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,376,376.0,4,landing_region_0041::landing_region_0041,0.9787234042553191,0.9893617021276595,0.9946808510638298,1.1332486040126266,severe_corridor_observation_concentration,True,True,True,True,auditable,,72,41,1,1.0,0.0,service_country_corridor_concentration_summary,AU,E-Root
,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,469,469.0,4,landing_region_0132::landing_region_0132,0.9744136460554371,0.9893390191897655,0.9978678038379531,1.1523010467803685,severe_corridor_observation_concentration,True,True,True,True,auditable,,81,36,1,0.9893390191897654,0.010660980810234541,service_country_corridor_concentration_summary,SG,E-Root
PT,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,228,228.0,3,landing_region_0239::landing_region_0239,0.9736842105263158,0.9912280701754386,1.0,1.148483958301507,severe_corridor_observation_concentration,True,True,True,True,auditable,,77,21,1,1.0,0.0,country_corridor_concentration_summary,,
,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,167,167.0,3,landing_region_0239::landing_region_0239,0.9640718562874252,0.9880239520958084,1.0,1.1944060762640125,severe_corridor_observation_concentration,True,True,True,True,auditable,,57,14,1,1.0,0.0,service_country_corridor_concentration_summary,PT,E-Root
,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,187,187.0,2,landing_region_0230::landing_region_0230,0.946524064171123,1.0,1.0,1.231983463511798,severe_corridor_observation_concentration,True,True,True,True,auditable,,37,24,1,1.0,0.0,service_country_corridor_concentration_summary,HK,E-Root
ID,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,384,384.0,7,landing_region_0061::landing_region_0061,0.9270833333333334,0.9479166666666667,0.9661458333333334,1.4651776084117871,severe_corridor_observation_concentration,True,True,True,True,auditable,,83,52,1,0.9791666666666666,0.020833333333333332,country_corridor_concentration_summary,,
CA,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,407,407.0,4,landing_region_0008::landing_region_0008,0.9213759213759214,0.9606879606879607,0.9901719901719902,1.4219093270393357,severe_corridor_observation_concentration,True,True,True,True,auditable,,66,14,1,0.9606879606879607,0.03931203931203931,country_corridor_concentration_summary,,
