metric,value
candidate_rows,12540.0
unique_links,2342.0
unique_units,50.0
units_with_network_layer_diversity,85.0
units_with_physical_diversity_cable,50.0
units_with_physical_diversity_corridor,50.0
units_with_network_physical_mismatch_cable,50.0
units_with_network_physical_mismatch_corridor,50.0
median_network_layer_diversity_score,4.336686889625777
median_cable_physical_candidate_diversity_score,2.6096015949599467
median_corridor_physical_candidate_diversity_score,1.3345362064535764
cable_mismatch_network_high_physical_low,9.0
cable_mismatch_network_high_physical_high,16.0
cable_mismatch_network_low_physical_low,16.0
cable_mismatch_network_low_physical_high,9.0
corridor_mismatch_network_high_physical_low,5.0
corridor_mismatch_network_high_physical_high,20.0
corridor_mismatch_network_low_physical_low,20.0
corridor_mismatch_network_low_physical_high,5.0
cable_corridor_target_quadrant_preserved,4.0
cable_corridor_target_quadrant_jaccard,0.4
cable_corridor_target_quadrant_recall_from_cable,0.4444444444444444
cable_corridor_target_quadrant_precision_to_corridor,0.8
mean_corridor_minus_cable_physical_diversity,-2.0693792137422173
cable_corridor_quadrant_agreement_rate,0.72
spearman_cable_corridor_physical_diversity_score,0.565298326125672
