country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
IL,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,152,152.0,1,landing_region_0083::landing_region_0083,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,30,11,1,1.0,0.0,country_corridor_concentration_summary,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,130,130.0,1,landing_region_0083::landing_region_0083,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,26,10,1,1.0,0.0,service_country_corridor_concentration_summary,IL,J-Root
CH,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,78,78.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,19,10,1,1.0,0.0,country_corridor_concentration_summary,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,66,66.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,17,9,1,1.0,0.0,service_country_corridor_concentration_summary,CH,J-Root
PT,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,91,91.0,2,landing_region_0239::landing_region_0239,0.9560439560439561,1.0,1.0,1.1975993669881095,severe_corridor_observation_concentration,True,True,True,True,auditable,,31,11,1,1.0,0.0,country_corridor_concentration_summary,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,81,81.0,2,landing_region_0239::landing_region_0239,0.9506172839506173,1.0,1.0,1.217371056252699,severe_corridor_observation_concentration,True,True,True,True,auditable,,28,9,1,1.0,0.0,service_country_corridor_concentration_summary,PT,J-Root
MV,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,36,36.0,2,landing_region_0439::landing_region_0439,0.9444444444444444,1.0,1.0,1.239315430729068,severe_corridor_observation_concentration,True,True,True,True,auditable,,10,3,1,0.9444444444444444,0.05555555555555555,country_corridor_concentration_summary,,
SG,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1037,1037.0,4,landing_region_0132::landing_region_0132,0.944069431051109,0.9826422372227579,0.9980713596914176,1.2921626969100373,severe_corridor_observation_concentration,True,True,True,True,auditable,,195,67,1,0.944069431051109,0.055930568948891035,country_corridor_concentration_summary,,
DK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,576,576.0,4,landing_region_0051::landing_region_0051,0.9409722222222222,0.9895833333333334,0.9965277777777778,1.2948841775082494,severe_corridor_observation_concentration,True,True,True,True,auditable,,78,27,1,0.9861111111111112,0.013888888888888888,country_corridor_concentration_summary,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,554,554.0,5,landing_region_0051::landing_region_0051,0.9332129963898917,0.983754512635379,0.9909747292418774,1.3471301497996844,severe_corridor_observation_concentration,True,True,True,True,auditable,,70,24,1,0.9909747292418772,0.009025270758122744,service_country_corridor_concentration_summary,DK,J-Root
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,37,37.0,3,landing_region_0439::landing_region_0439,0.918918918918919,0.972972972972973,1.0,1.395162779780053,severe_corridor_observation_concentration,True,True,True,True,auditable,,10,3,1,0.9459459459459459,0.05405405405405406,service_country_corridor_concentration_summary,MV,J-Root
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,72,72.0,6,landing_region_0132::landing_region_0132,0.8611111111111112,0.9166666666666667,0.9444444444444445,1.835322678996163,severe_corridor_observation_concentration,True,True,True,True,auditable,,12,6,1,0.8888888888888888,0.1111111111111111,service_country_corridor_concentration_summary,VN,J-Root
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,559,559.0,5,landing_region_0132::landing_region_0132,0.8318425760286225,0.9177101967799642,0.9588550983899821,1.8939546488292038,severe_corridor_observation_concentration,True,True,True,True,auditable,,70,31,1,0.9177101967799642,0.08228980322003578,service_country_corridor_concentration_summary,SG,J-Root
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1325,1325.0,7,landing_region_0041::landing_region_0041,0.8128301886792453,0.900377358490566,0.9750943396226415,1.984525508012377,severe_corridor_observation_concentration,True,True,True,True,auditable,,237,73,1,0.9977358490566037,0.0022641509433962265,country_corridor_concentration_summary,,
TW,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,395,395.0,6,landing_region_0719::landing_region_0719,0.7949367088607595,0.9367088607594937,0.9670886075949368,2.030617333414355,moderate_corridor_observation_concentration,True,True,True,True,auditable,,57,16,1,0.9620253164556962,0.0379746835443038,country_corridor_concentration_summary,,
