country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
CH,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,164,164.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,46,19,1,0.9451219512195121,0.054878048780487805,country_corridor_concentration_summary,,
DE,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,52,52.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,11,3,1,1.0,0.0,country_corridor_concentration_summary,,
IL,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,217,217.0,2,landing_region_0083::landing_region_0083,0.9354838709677419,1.0,1.0,1.2702542710002684,severe_corridor_observation_concentration,True,True,True,True,auditable,,65,48,1,0.9262672811059908,0.07373271889400922,country_corridor_concentration_summary,,
MT,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,70,70.0,2,landing_region_0102::landing_region_0102,0.9285714285714286,1.0,1.0,1.2934572090113128,severe_corridor_observation_concentration,True,True,True,True,auditable,,12,6,1,0.9285714285714286,0.07142857142857142,country_corridor_concentration_summary,,
HK,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,3136,3136.0,11,landing_region_0230::landing_region_0230,0.9142219387755102,0.9598214285714285,0.9713010204081632,1.5330394511266001,severe_corridor_observation_concentration,True,True,True,True,auditable,,1401,719,1,0.8877551020408163,0.11224489795918367,country_corridor_concentration_summary,,
MV,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,87,87.0,3,landing_region_0439::landing_region_0439,0.8620689655172413,0.9540229885057471,1.0,1.6306601288903453,severe_corridor_observation_concentration,True,True,True,True,auditable,,14,7,1,0.8620689655172413,0.13793103448275862,country_corridor_concentration_summary,,
TW,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1775,1775.0,9,landing_region_0719::landing_region_0719,0.8540845070422535,0.9391549295774647,0.9633802816901408,1.8305815237317689,severe_corridor_observation_concentration,True,True,True,True,auditable,,366,226,1,0.9690140845070423,0.030985915492957747,country_corridor_concentration_summary,,
DK,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,886,886.0,4,landing_region_0051::landing_region_0051,0.8295711060948081,0.9187358916478555,0.9926636568848758,1.8205750187776948,severe_corridor_observation_concentration,True,True,True,True,auditable,,166,87,1,0.7787810383747178,0.22121896162528218,country_corridor_concentration_summary,,
SG,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,5681,5681.0,29,landing_region_0132::landing_region_0132,0.8118289033620841,0.8591797218799507,0.8984333744059144,2.4218357180121948,severe_corridor_observation_concentration,True,True,True,True,auditable,,2031,932,1,0.7958105967259286,0.20418940327407148,country_corridor_concentration_summary,,
PR,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,65,65.0,5,landing_region_0290::landing_region_0290,0.8,0.9538461538461539,0.9692307692307693,1.933145433457058,severe_corridor_observation_concentration,True,True,True,True,auditable,,21,20,1,0.8153846153846154,0.18461538461538463,country_corridor_concentration_summary,,
PT,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,792,792.0,18,landing_region_0239::landing_region_0239,0.7992424242424242,0.851010101010101,0.8914141414141413,2.536793748420959,moderate_corridor_observation_concentration,True,True,True,True,auditable,,279,166,1,0.8093434343434344,0.19065656565656566,country_corridor_concentration_summary,,
KE,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,135,135.0,4,landing_region_0650::landing_region_0650,0.7925925925925926,0.9185185185185185,0.9777777777777779,2.0081431160985885,moderate_corridor_observation_concentration,True,True,True,True,auditable,,65,50,1,0.7925925925925926,0.2074074074074074,country_corridor_concentration_summary,,
CN,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,255,255.0,9,landing_region_0230::landing_region_0230,0.792156862745098,0.9333333333333333,0.9568627450980391,2.1317198764471756,moderate_corridor_observation_concentration,True,True,True,True,auditable,,126,90,1,0.8313725490196079,0.16862745098039217,country_corridor_concentration_summary,,
,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,967,967.0,27,landing_region_0132::landing_region_0132,0.7900723888314375,0.8335056876938987,0.8697001034126164,2.775862771636073,moderate_corridor_observation_concentration,True,True,True,True,auditable,,98,51,1,0.8965873836608066,0.10341261633919338,service_country_corridor_concentration_summary,SG,Topology-IPv4-UDP
,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,343,343.0,17,landing_region_0230::landing_region_0230,0.7725947521865889,0.8571428571428571,0.9037900874635568,2.7227512070118847,moderate_corridor_observation_concentration,True,True,True,True,auditable,,38,25,1,0.9183673469387755,0.08163265306122448,service_country_corridor_concentration_summary,HK,Topology-IPv4-UDP
