unit_id,num_links,num_links_with_feasible_candidates,avg_feasible_candidates_per_link,median_feasible_candidates_per_link,max_feasible_candidates_per_link,avg_feasible_corridors_per_link,median_feasible_corridors_per_link,max_feasible_corridors_per_link,share_links_with_parallel_ambiguity,share_links_with_many_candidates,share_links_with_large_landing_radius,share_links_with_rtt_inconclusive,share_links_with_multi_segment_possible,share_links_with_domestic_submarine_candidate,share_links_with_only_low_support_feasible_candidates
probe_country=AD|service_id=Topology-IPv4-ICMP,2,2,1.5,1.5,2,1.0,1.0,1,0.0,0.0,0.0,0.5,0.5,0.5,1.0
probe_country=AE|service_id=Topology-IPv4-ICMP,10,10,3.4,1.0,14,1.0,1.0,1,0.3,0.2,0.0,0.6,0.0,0.6,0.7
probe_country=AF|service_id=Topology-IPv4-ICMP,4,4,5.25,3.0,14,1.0,1.0,1,0.25,0.75,0.0,1.0,0.0,1.0,0.75
probe_country=AL|service_id=Topology-IPv4-ICMP,9,9,2.6666666666666665,3.0,3,1.0,1.0,1,0.2222222222222222,0.5555555555555556,0.0,0.6666666666666666,0.1111111111111111,0.6666666666666666,1.0
probe_country=AM|service_id=Topology-IPv4-ICMP,3,3,2.0,2.0,3,1.0,1.0,1,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
probe_country=AO|service_id=Topology-IPv4-ICMP,4,4,2.0,1.5,4,1.0,1.0,1,0.25,0.0,0.0,0.25,0.5,0.25,0.75
probe_country=AR|service_id=Topology-IPv4-ICMP,29,29,4.068965517241379,2.0,14,1.0,1.0,1,0.20689655172413793,0.5862068965517241,0.0,0.6896551724137931,0.10344827586206896,0.7586206896551724,0.6206896551724138
probe_country=AT|service_id=Topology-IPv4-ICMP,99,99,4.717171717171717,3.0,14,1.0,1.0,1,0.36363636363636365,0.4444444444444444,0.0,0.7676767676767676,0.06060606060606061,0.8080808080808081,0.6565656565656566
probe_country=AU|service_id=Topology-IPv4-ICMP,549,549,3.3515482695810563,3.0,14,1.0,1.0,1,0.1766848816029144,0.6029143897996357,0.0,0.6010928961748634,0.14754098360655737,0.8834244080145719,0.7468123861566485
probe_country=AX|service_id=Topology-IPv4-ICMP,7,7,1.7142857142857142,1.0,3,1.0,1.0,1,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714
probe_country=AZ|service_id=Topology-IPv4-ICMP,3,3,2.3333333333333335,3.0,3,1.0,1.0,1,0.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.6666666666666666
probe_country=BA|service_id=Topology-IPv4-ICMP,12,12,5.75,3.0,14,1.0,1.0,1,0.5,0.3333333333333333,0.0,0.5,0.16666666666666666,0.6666666666666666,0.3333333333333333
probe_country=BB|service_id=Topology-IPv4-ICMP,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
probe_country=BD|service_id=Topology-IPv4-ICMP,3,3,9.333333333333334,12.0,14,1.0,1.0,1,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0
probe_country=BE|service_id=Topology-IPv4-ICMP,27,27,7.481481481481482,5.0,14,1.0,1.0,1,0.6296296296296297,0.6296296296296297,0.0,0.5925925925925926,0.07407407407407407,0.6666666666666666,0.3333333333333333
probe_country=BF|service_id=Topology-IPv4-ICMP,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.5
probe_country=BG|service_id=Topology-IPv4-ICMP,40,40,3.525,2.0,14,1.0,1.0,1,0.225,0.25,0.0,0.75,0.025,0.8,0.55
probe_country=BH|service_id=Topology-IPv4-ICMP,13,13,2.4615384615384617,1.0,5,1.0,1.0,1,0.5384615384615384,0.38461538461538464,0.0,0.6923076923076923,0.07692307692307693,0.6923076923076923,0.6923076923076923
probe_country=BJ|service_id=Topology-IPv4-ICMP,8,8,1.75,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.375,0.25,0.75,0.625
probe_country=BO|service_id=Topology-IPv4-ICMP,6,6,1.1666666666666667,1.0,2,1.0,1.0,1,0.0,0.0,0.0,0.6666666666666666,0.0,0.8333333333333334,1.0
probe_country=BR|service_id=Topology-IPv4-ICMP,41,41,4.7560975609756095,2.0,14,1.0,1.0,1,0.2926829268292683,0.4146341463414634,0.0,0.5121951219512195,0.17073170731707318,0.6829268292682927,0.6097560975609756
probe_country=BT|service_id=Topology-IPv4-ICMP,2,2,14.0,14.0,14,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.5
probe_country=BW|service_id=Topology-IPv4-ICMP,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=BY|service_id=Topology-IPv4-ICMP,6,6,4.333333333333333,2.5,14,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.0,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.6666666666666666
probe_country=CA|service_id=Topology-IPv4-ICMP,232,232,3.4051724137931036,2.0,14,1.0,1.0,1,0.1896551724137931,0.5603448275862069,0.0,0.7025862068965517,0.01293103448275862,0.7629310344827587,0.6982758620689655
probe_country=CG|service_id=Topology-IPv4-ICMP,3,3,3.0,3.0,4,1.0,1.0,1,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
probe_country=CH|service_id=Topology-IPv4-ICMP,172,172,4.1686046511627906,3.0,14,1.0,1.0,1,0.29069767441860467,0.4069767441860465,0.0,0.7558139534883721,0.06976744186046512,0.7965116279069767,0.686046511627907
probe_country=CI|service_id=Topology-IPv4-ICMP,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.5
probe_country=CK|service_id=Topology-IPv4-ICMP,4,4,5.75,3.0,14,1.0,1.0,1,0.25,1.0,0.0,1.0,0.0,1.0,0.25
probe_country=CL|service_id=Topology-IPv4-ICMP,10,10,3.4,2.0,14,1.0,1.0,1,0.4,0.1,0.0,0.6,0.1,0.5,0.6
probe_country=CM|service_id=Topology-IPv4-ICMP,5,5,2.0,1.0,6,1.0,1.0,1,0.2,0.2,0.0,0.6,0.2,0.0,0.0
probe_country=CN|service_id=Topology-IPv4-ICMP,30,30,4.5,2.0,14,1.0,1.0,1,0.36666666666666664,0.23333333333333334,0.0,0.5333333333333333,0.06666666666666667,0.7,0.6
probe_country=CO|service_id=Topology-IPv4-ICMP,15,15,5.466666666666667,4.0,14,1.0,1.0,1,0.7333333333333333,0.6,0.0,0.8,0.0,0.8,0.6
probe_country=CR|service_id=Topology-IPv4-ICMP,2,2,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.5,0.0,1.0,1.0
probe_country=CV|service_id=Topology-IPv4-ICMP,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=CW|service_id=Topology-IPv4-ICMP,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
probe_country=CY|service_id=Topology-IPv4-ICMP,20,20,2.2,2.0,12,1.0,1.0,1,0.1,0.05,0.0,0.5,0.05,0.55,0.7
probe_country=CZ|service_id=Topology-IPv4-ICMP,73,73,6.493150684931507,3.0,14,1.0,1.0,1,0.589041095890411,0.5205479452054794,0.0,0.7534246575342466,0.1095890410958904,0.7397260273972602,0.4931506849315068
probe_country=DE|service_id=Topology-IPv4-ICMP,563,563,5.591474245115453,3.0,14,1.0,1.0,1,0.4280639431616341,0.5150976909413855,0.0,0.6909413854351687,0.07815275310834814,0.7779751332149201,0.5968028419182948
probe_country=DJ|service_id=Topology-IPv4-ICMP,11,11,7.454545454545454,4.0,14,1.0,1.0,1,0.6363636363636364,0.45454545454545453,0.0,0.6363636363636364,0.18181818181818182,0.6363636363636364,0.45454545454545453
probe_country=DK|service_id=Topology-IPv4-ICMP,245,245,4.983673469387755,6.0,14,1.0163265306122449,1.0,2,0.8285714285714286,0.7959183673469388,0.0,0.7836734693877551,0.00816326530612245,0.8204081632653061,0.4816326530612245
probe_country=DO|service_id=Topology-IPv4-ICMP,5,5,1.8,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=EC|service_id=Topology-IPv4-ICMP,5,5,4.4,3.0,14,1.0,1.0,1,0.2,0.6,0.0,0.6,0.0,1.0,0.6
probe_country=EE|service_id=Topology-IPv4-ICMP,28,28,3.25,2.0,6,1.0,1.0,1,0.42857142857142855,0.35714285714285715,0.0,0.6071428571428571,0.0,0.14285714285714285,0.5357142857142857
