country,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,51,0.5882352941176471,0.6470588235294118,0.6862745098039216,5.201978839710869,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,12,8,1.0,0.0,service_country_cross_layer_distribution_audit,CH,Wikipedia
CH,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,67,0.6567164179104478,0.7014925373134329,0.7313432835820896,4.41118304551641,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,15,11,1.0,0.0,country_cross_layer_distribution_audit,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,31,0.3548387096774194,0.6774193548387097,0.8064516129032258,4.258173986975526,weak_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,13,8,1.0,0.0,service_country_cross_layer_distribution_audit,NP,Wikipedia
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,43,0.5116279069767442,0.6744186046511629,0.813953488372093,3.8768861197211195,weak_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,19,11,1.0,0.0,service_country_cross_layer_distribution_audit,KR,Wikipedia
SG,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,4909,0.22000407414952128,0.4141372988388674,0.47728661641882253,23.962539121683164,broad_network_transition_distribution,0.9991851700957425,1.0,1.0,1.0066318952048174,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,1296,451,0.9991851700957425,0.0008148299042574863,country_cross_layer_distribution_audit,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,641,0.1996879875195008,0.27769110764430577,0.3494539781591264,29.88895924496121,broad_network_transition_distribution,0.9875195007800313,0.9937597503900156,0.9968798751950079,1.0833822836701743,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,107,51,0.9875195007800313,0.0124804992199688,service_country_cross_layer_distribution_audit,SG,Wikipedia
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,731,0.3091655266757866,0.478796169630643,0.6169630642954856,7.913035327396518,broad_network_transition_distribution,0.9849521203830369,0.9986320109439124,1.0,1.0861799589801215,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,196,93,0.9986320109439124,0.0013679890560875513,service_country_cross_layer_distribution_audit,JP,Wikipedia
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,78,0.32051282051282054,0.6025641025641026,0.6666666666666667,7.924859452200519,broad_network_transition_distribution,0.9615384615384616,0.9871794871794872,1.0,1.206236212627414,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,29,22,0.9871794871794872,0.01282051282051282,service_country_cross_layer_distribution_audit,TH,Wikipedia
ES,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,116,0.4482758620689655,0.7931034482758621,0.896551724137931,3.840870291084222,weak_network_transition_concentration,0.9482758620689655,0.9827586206896551,0.9913793103448276,1.282017317073118,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,58,22,0.05172413793103448,0.9482758620689655,country_cross_layer_distribution_audit,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,53,0.37735849056603776,0.7358490566037736,0.8301886792452831,4.445020361190602,weak_network_transition_concentration,0.9433962264150944,1.0,1.0,1.2429885132517104,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,14,7,0.9433962264150944,0.05660377358490566,service_country_cross_layer_distribution_audit,IL,Wikipedia
