country,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AE,11,4,8966->8966,0.36363636363636365,0.6363636363636364,0.8181818181818181,1.3421131789144003,0.9681300137657637,3.827122360601961,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,0.7272727272727273,0.2727272727272727,transition_near_country
AL,5,1,6939->6939,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0,transition_near_country
AO,14,1,37468->37468,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,3,0.0,1.0,transition_near_country
AU,199,14,1221->1221,0.34673366834170855,0.542713567839196,0.6532663316582914,2.063700184981307,0.7819838401472577,7.875055127316133,broad_network_transition_distribution,0.22613065326633167,True,True,auditable,,60,22,0.9698492462311558,0.03015075376884422,transition_near_country
AX,7,1,3238->3238,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.5714285714285714,0.42857142857142855,transition_near_country
BJ,3,1,24691->24691,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
BR,24,3,COUNTRY_FALLBACK:BR->BR,0.8333333333333334,0.9583333333333334,1.0,0.5442837329694393,0.4954284041636705,1.7233735445411187,severe_network_transition_concentration,0.8333333333333334,False,False,"insufficient_minimum_mappable_segments,maximum_country_fallback_share","minimum_mappable_segments,maximum_country_fallback_share",11,10,1.0,0.0,transition_near_country
CA,144,14,852->2906,0.3333333333333333,0.5555555555555556,0.6527777777777778,2.0598481759243756,0.7805242246195068,7.844778693627004,broad_network_transition_distribution,0.05555555555555555,True,True,auditable,,58,16,0.25,0.75,transition_near_country
CL,24,4,12956->12956,0.3333333333333333,0.6666666666666666,0.9166666666666666,1.286057336874379,0.9276942711037669,3.618491900178948,weak_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,11,5,1.0,0.0,transition_near_country
CM,1,1,60171->60171,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
CN,31,7,4538->174,0.3870967741935484,0.6774193548387097,0.8064516129032258,1.5489899366152795,0.7960233607740174,4.7067137016491145,weak_network_transition_concentration,0.03225806451612903,True,True,auditable,,16,6,0.1935483870967742,0.8064516129032258,transition_near_country
CO,15,3,23520->23520,0.6,0.8666666666666667,1.0,0.9276173343271816,0.8443536850036222,2.5284774782180004,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,7,0.0,1.0,transition_near_country
CW,18,2,23520->23520,0.8333333333333334,1.0,1.0,0.45056120886630463,0.6500224216483541,1.5691925832141966,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,7,0.0,1.0,transition_near_country
CY,20,5,206912->5504,0.3,0.6,0.85,1.4490023958526383,0.9003158088038198,4.258863735098258,weak_network_transition_concentration,0.25,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,3,0.3,0.7,transition_near_country
DE,6,1,12693->12693,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,transition_near_country
DK,63,7,3292->3292,0.36507936507936506,0.5873015873015872,0.7619047619047619,1.6657048058336366,0.8560029385952332,5.289399936242808,broad_network_transition_distribution,0.3968253968253968,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,23,12,0.2222222222222222,0.7777777777777778,transition_near_country
DO,5,2,23520->23520,0.8,1.0,1.0,0.5004024235381879,0.7219280948873623,1.6493848884661177,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0,transition_near_country
EE,99,8,1299->1299,0.31313131313131315,0.5454545454545454,0.696969696969697,1.8006919328879045,0.8659497739153807,6.053834862986128,broad_network_transition_distribution,0.04040404040404041,True,True,auditable,,39,19,0.030303030303030304,0.9696969696969697,transition_near_country
ES,11,1,6453->6453,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,0.0,1.0,transition_near_country
FI,271,23,1299->1299,0.21033210332103322,0.3948339483394834,0.5202952029520296,2.52902440915006,0.8065791977232615,12.541265023076743,broad_network_transition_distribution,0.14391143911439114,True,True,auditable,,95,28,0.4317343173431734,0.5682656826568265,transition_near_country
FJ,8,3,38442->38442,0.375,0.75,1.0,1.0821955300387673,0.9850568223215079,2.9511517858675242,weak_network_transition_concentration,0.25,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0,transition_near_country
FR,6,2,15557->15557,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1.0,0.0,transition_near_country
GB,3,1,216455->200132,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
GH,3,1,37468->37468,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
GP,3,1,21351->21351,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,transition_near_country
GQ,3,1,37529->37529,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
GT,8,1,12956->12956,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0,transition_near_country
GU,63,5,7131->7131,0.5714285714285714,0.7777777777777777,0.8888888888888888,1.2001842756280796,0.745716418356848,3.320728795742692,weak_network_transition_concentration,0.0,True,True,auditable,,12,5,0.5873015873015873,0.4126984126984127,transition_near_country
HK,78,11,58453->58453,0.47435897435897434,0.6538461538461539,0.7307692307692307,1.7389045934886327,0.7251795410811713,5.691105932506677,broad_network_transition_distribution,0.15384615384615385,True,True,auditable,,28,22,0.4230769230769231,0.5769230769230769,transition_near_country
HN,21,3,263725->54082,0.5714285714285714,0.8095238095238095,1.0,0.9773202089564674,0.889595191167314,2.6573256145193964,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,4,0.0,1.0,transition_near_country
ID,243,27,COUNTRY_FALLBACK:ID->SG,0.3786008230452675,0.46502057613168724,0.5514403292181069,2.398099520688179,0.7276147510284658,11.002246956248118,broad_network_transition_distribution,0.448559670781893,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,60,42,0.448559670781893,0.551440329218107,transition_near_country
IL,49,5,1680->1680,0.4489795918367347,0.673469387755102,0.8367346938775511,1.378510798425077,0.8565169167291635,3.968986603155856,weak_network_transition_concentration,0.0,True,True,auditable,,12,6,0.7755102040816326,0.22448979591836735,transition_near_country
IM,3,1,42455->42455,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
IN,21,2,COUNTRY_FALLBACK:IN->IN,0.8571428571428571,1.0,1.0,0.410116318288409,0.5916727785823274,1.5069930657725377,severe_network_transition_concentration,0.8571428571428571,False,False,"insufficient_minimum_mappable_segments,maximum_country_fallback_share","minimum_mappable_segments,maximum_country_fallback_share",16,11,0.8571428571428571,0.14285714285714285,transition_near_country
IT,7,2,14593->14593,0.5714285714285714,1.0,1.0,0.6829081047004717,0.9852281360342515,1.9796263300525183,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1.0,0.0,transition_near_country
JM,3,1,30689->23520,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0,0.0,1.0,transition_near_country
JP,269,37,COUNTRY_FALLBACK:JP->JP,0.31970260223048325,0.4014869888475836,0.4795539033457249,2.8660588183904907,0.7937202915509415,17.56764430541817,broad_network_transition_distribution,0.3271375464684015,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,78,32,0.9516728624535316,0.048327137546468404,transition_near_country
KY,3,1,36549->3855,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
LC,7,2,15344->23520,0.8571428571428571,1.0,1.0,0.410116318288409,0.5916727785823274,1.5069930657725377,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.8571428571428571,0.14285714285714285,transition_near_country
LK,23,2,18001->18001,0.6086956521739131,1.0,1.0,0.6693279632926454,0.9656361333706097,1.9529244426221104,moderate_network_transition_concentration,0.391304347826087,False,False,"insufficient_minimum_mappable_segments,maximum_country_fallback_share","minimum_mappable_segments,maximum_country_fallback_share",10,4,0.0,1.0,transition_near_country
ME,2,1,15397->15397,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,transition_near_country
MM,3,1,136168->136168,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0,transition_near_country
MP,1,1,7131->7131,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
MT,45,7,15735->15735,0.26666666666666666,0.5333333333333333,0.6666666666666666,1.7838539603556165,0.9167195932564663,5.952753944880749,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",9,2,0.8,0.2,transition_near_country
MV,24,3,COUNTRY_FALLBACK:MV->IN,0.5416666666666666,0.875,1.0,0.9582325450794875,0.8722208507618188,2.607084494573249,moderate_network_transition_concentration,0.5416666666666666,False,False,"insufficient_minimum_mappable_segments,maximum_country_fallback_share","minimum_mappable_segments,maximum_country_fallback_share",10,3,0.0,1.0,transition_near_country
MX,4,1,265539->23520,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0,transition_near_country
MY,40,8,9930->2906,0.4,0.575,0.675,1.7710965664209217,0.8517174111036449,5.877294673058444,broad_network_transition_distribution,0.175,True,True,auditable,,16,10,0.1,0.9,transition_near_country
NC,13,1,COUNTRY_FALLBACK:NC->AU,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",5,2,0.0,1.0,transition_near_country
NG,20,6,37282->37282,0.3,0.5,0.7,1.6695801269814072,0.9318104107471041,5.309937829437298,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,8,0.0,1.0,transition_near_country
NO,150,17,29695->29695,0.46,0.5466666666666666,0.6066666666666667,2.108535196953041,0.744220410148966,8.236168080252899,broad_network_transition_distribution,0.0,True,True,auditable,,44,17,0.9533333333333334,0.04666666666666667,transition_near_country
NU,2,1,55885->38800,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0,0.0,1.0,transition_near_country
NZ,150,6,64073->64073,0.44,0.6799999999999999,0.8066666666666666,1.4778939665158821,0.824828327628487,4.383703725570505,weak_network_transition_concentration,0.1,True,True,auditable,,39,10,1.0,0.0,transition_near_country
PA,16,5,6762->6762,0.375,0.5625,0.75,1.482709508903449,0.9212592156854387,4.40486454619757,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,6,0.1875,0.8125,transition_near_country
PE,29,4,12956->12956,0.6896551724137931,0.9310344827586208,0.9655172413793104,0.8315711225910598,0.5998517673542951,2.2969246570724473,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,15,12,0.0,1.0,transition_near_country
PG,3,1,COUNTRY_FALLBACK:PG->AU,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",1,1,0.0,1.0,transition_near_country
PH,231,28,9299->9299,0.2554112554112554,0.38961038961038963,0.48051948051948057,2.675040202987459,0.802783921220612,14.512933291137685,broad_network_transition_distribution,0.09956709956709957,True,True,auditable,,48,25,0.5584415584415584,0.44155844155844154,transition_near_country
PK,18,1,COUNTRY_FALLBACK:PK->SG,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",7,2,0.0,1.0,transition_near_country
PR,9,3,5786->20080,0.3333333333333333,0.6666666666666666,1.0,1.0986122886681096,0.9999999999999998,2.9999999999999996,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0,transition_near_country
PT,21,5,12353->12353,0.5714285714285714,0.7142857142857142,0.8571428571428571,1.2446725381717778,0.7733585300531075,3.471797731941383,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,5,1.0,0.0,transition_near_country
SE,287,18,1299->1299,0.36585365853658536,0.5296167247386759,0.6132404181184669,2.2044586847494365,0.7626903628320848,9.065343031009068,broad_network_transition_distribution,0.020905923344947737,True,True,auditable,,93,46,0.8885017421602788,0.11149825783972125,transition_near_country
SG,51,7,3491->3491,0.39215686274509803,0.7254901960784313,0.7843137254901961,1.5269449632111358,0.7846944854840426,4.604089651579165,broad_network_transition_distribution,0.3333333333333333,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,23,14,0.43137254901960786,0.5686274509803921,transition_near_country
