probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
?,3,3,0,0.0,1.0,1,1,1,1,1
AD,9,9,0,0.0,1.0,1,3,1,2,1
AE,56,52,14,0.25,0.9285714285714286,1,22,14,2,1
AF,14,14,6,0.42857142857142855,1.0,1,5,2,2,1
AL,84,77,5,0.05952380952380952,0.9166666666666666,1,29,20,3,2
AM,58,58,0,0.0,1.0,1,21,10,2,1
AO,30,29,0,0.0,0.9666666666666667,1,12,5,3,2
AR,152,148,0,0.0,0.9736842105263158,1,57,43,3,2
AT,631,617,9,0.014263074484944533,0.9778129952456418,1,222,85,3,2
AU,795,668,363,0.45660377358490567,0.8402515723270441,1,278,77,3,2
AX,6,6,3,0.5,1.0,1,2,2,2,1
AZ,26,20,1,0.038461538461538464,0.7692307692307693,1,9,8,2,1
BA,39,33,0,0.0,0.8461538461538461,1,15,7,3,2
BB,3,3,3,1.0,1.0,1,1,1,2,1
BD,33,33,10,0.30303030303030304,1.0,1,11,7,2,1
BE,466,460,0,0.0,0.9871244635193133,1,160,28,3,2
BF,10,8,0,0.0,0.8,1,4,3,3,2
BG,254,244,0,0.0,0.9606299212598425,1,90,50,3,2
BH,17,17,3,0.17647058823529413,1.0,1,6,3,2,1
BI,3,3,0,0.0,1.0,1,1,1,2,1
BJ,26,26,8,0.3076923076923077,1.0,1,10,5,2,1
BL,3,2,0,0.0,0.6666666666666666,1,1,1,2,2
BO,45,45,0,0.0,1.0,1,17,8,2,1
BR,309,292,2,0.006472491909385114,0.9449838187702265,1,109,70,4,2
BT,6,3,3,0.5,0.5,1,2,2,2,1
BW,3,3,0,0.0,1.0,1,1,1,2,1
BY,77,77,0,0.0,1.0,1,26,14,2,1
CA,908,892,184,0.2026431718061674,0.9823788546255506,1,310,95,3,2
CD,9,9,0,0.0,1.0,1,3,3,2,1
CG,6,6,0,0.0,1.0,1,3,2,2,1
CH,984,962,50,0.0508130081300813,0.9776422764227642,1,341,86,3,2
CI,6,6,3,0.5,1.0,1,2,2,2,1
CK,3,3,3,1.0,1.0,1,1,1,2,1
CL,237,225,0,0.0,0.9493670886075949,1,87,37,2,1
CM,4,4,3,0.75,1.0,1,2,2,2,1
CN,228,210,47,0.20614035087719298,0.9210526315789473,1,78,27,3,2
CO,112,106,14,0.125,0.9464285714285714,1,42,28,3,2
CR,47,38,0,0.0,0.8085106382978723,1,17,9,2,1
CU,3,3,2,0.6666666666666666,1.0,1,1,1,2,1
CV,10,8,0,0.0,0.8,1,4,2,2,1
CW,5,5,2,0.4,1.0,1,2,2,2,1
CY,37,37,8,0.21621621621621623,1.0,1,13,7,2,1
CZ,822,809,0,0.0,0.9841849148418491,1,284,112,4,2
DE,5244,5104,34,0.0064836003051106025,0.973302822273074,1,1800,407,3,2
DJ,7,7,0,0.0,1.0,1,3,2,2,1
DK,317,305,174,0.5488958990536278,0.9621451104100947,1,109,36,3,2
DO,22,22,11,0.5,1.0,1,9,7,2,1
DZ,3,3,0,0.0,1.0,1,1,1,2,1
EC,72,65,8,0.1111111111111111,0.9027777777777778,1,27,20,2,1
EE,115,101,92,0.8,0.8782608695652174,1,43,22,2,1
EG,9,8,0,0.0,0.8888888888888888,1,3,2,3,2
ES,722,679,26,0.036011080332409975,0.9404432132963989,1,250,79,3,2
ET,3,3,0,0.0,1.0,1,1,1,2,1
FI,500,484,168,0.336,0.968,1,177,62,3,2
FJ,6,3,3,0.5,0.5,1,2,2,2,1
FM,6,6,6,1.0,1.0,1,3,1,1,1
FR,3142,3038,0,0.0,0.9669000636537237,1,1069,179,4,3
GB,1763,1689,6,0.003403289846851957,0.9580260918888258,1,607,204,3,2
GE,47,47,0,0.0,1.0,1,16,11,2,1
GF,3,3,0,0.0,1.0,1,1,1,2,1
GG,3,3,3,1.0,1.0,1,1,1,2,1
GH,8,8,3,0.375,1.0,1,3,3,2,1
GP,6,6,3,0.5,1.0,1,2,2,2,1
GQ,3,3,1,0.3333333333333333,1.0,1,1,1,1,1
GR,215,192,0,0.0,0.8930232558139535,1,76,25,3,2
GT,10,10,0,0.0,1.0,1,4,3,2,1
GU,24,24,24,1.0,1.0,1,9,5,3,2
HK,193,174,92,0.47668393782383417,0.9015544041450777,1,65,39,5,3
HN,31,31,19,0.6129032258064516,1.0,1,11,8,2,1
HR,133,131,0,0.0,0.9849624060150376,1,47,22,3,2
HT,3,3,0,0.0,1.0,1,1,1,1,1
HU,164,154,0,0.0,0.9390243902439024,1,56,21,4,2
ID,259,250,204,0.7876447876447876,0.9652509652509652,1,93,66,3,2
IE,291,282,0,0.0,0.9690721649484536,1,99,26,2,1
