country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
PT,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,246.0,246.0,1.0,landing_region_343850da3642::landing_region_f7627feb3284,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,39.0,10.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,243.0,243.0,1.0,landing_region_343850da3642::landing_region_f7627feb3284,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,38.0,9.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,PT,Netflix-Assets,all_publicly_visible,0.0,True
,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,241.0,241.0,1.0,landing_region_343850da3642::landing_region_f7627feb3284,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,38.0,9.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,PT,Netflix-Assets,resolved_entry_only,0.0,True
DK,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,714.0,714.0,3.0,landing_region_d073d559153a::landing_region_e2b0cd002b0c,0.9747899159663865,0.988095238095238,1.0,0.13511097624821725,0.12298331052897425,1.144663807797751,severe_corridor_observation_concentration,True,True,True,True,auditable,,52.0,30.0,1.0,0.9593837535014006,0.04061624649859944,country_corridor_concentration_summary,,,,,
,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,759.0,759.0,9.0,landing_region_d073d559153a::landing_region_e2b0cd002b0c,0.9354413702239789,0.9644268774703557,0.992094861660079,0.31254038979427007,0.14224326134799334,1.3668931485919416,severe_corridor_observation_concentration,True,True,True,True,auditable,,54.0,31.0,1.0,0.9578392621870883,0.04216073781291173,service_country_corridor_concentration_summary,DK,Netflix-Assets,all_publicly_visible,0.03689064558629776,True
,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,759.0,759.0,9.0,landing_region_d073d559153a::landing_region_e2b0cd002b0c,0.9354413702239789,0.9644268774703557,0.992094861660079,0.31254038979427007,0.14224326134799334,1.3668931485919416,severe_corridor_observation_concentration,True,True,True,True,auditable,,54.0,31.0,1.0,0.9578392621870883,0.04216073781291173,service_country_corridor_concentration_summary,DK,Netflix-Assets,resolved_entry_only,0.03689064558629776,True
US,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,986.0,986.0,20.0,landing_region_08d221ee162c::landing_region_b451e83206f9,0.6977687626774848,0.8793103448275862,0.9107505070993914,1.0714988392060776,0.35767509956251986,2.9197524614365364,moderate_corridor_observation_concentration,True,True,True,True,auditable,,186.0,77.0,1.0,0.9888438133874239,0.011156186612576065,country_corridor_concentration_summary,,,,,
,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,888.0,888.0,27.0,landing_region_08d221ee162c::landing_region_b451e83206f9,0.6745495495495496,0.8761261261261262,0.9110360360360361,1.1377643237589596,0.34521257271398736,3.1197857318030606,moderate_corridor_observation_concentration,True,True,True,True,auditable,,156.0,63.0,1.0,0.9887387387387387,0.01126126126126126,service_country_corridor_concentration_summary,US,Netflix-Assets,all_publicly_visible,0.22635135135135134,True
,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,888.0,888.0,27.0,landing_region_08d221ee162c::landing_region_b451e83206f9,0.6745495495495496,0.8761261261261262,0.9110360360360361,1.1377643237589596,0.34521257271398736,3.1197857318030606,moderate_corridor_observation_concentration,True,True,True,True,auditable,,156.0,63.0,1.0,0.9887387387387387,0.01126126126126126,service_country_corridor_concentration_summary,US,Netflix-Assets,resolved_entry_only,0.22635135135135134,True
CA,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,360.0,360.0,8.0,landing_region_82a1b23200f3::landing_region_c94f4fef1bdd,0.6605555555555556,0.9244444444444444,0.9633333333333334,0.9259546470735796,0.4452900591403812,2.524276904032243,moderate_corridor_observation_concentration,True,True,True,True,auditable,,60.0,19.0,1.0,0.6805555555555556,0.3194444444444444,country_corridor_concentration_summary,,,,,
