unit_id,num_links,num_links_with_feasible_candidates,avg_feasible_candidates_per_link,median_feasible_candidates_per_link,max_feasible_candidates_per_link,avg_feasible_corridors_per_link,median_feasible_corridors_per_link,max_feasible_corridors_per_link,share_links_with_parallel_ambiguity,share_links_with_many_candidates,share_links_with_large_landing_radius,share_links_with_rtt_inconclusive,share_links_with_multi_segment_possible,share_links_with_domestic_submarine_candidate,share_links_with_only_low_support_feasible_candidates
probe_country=AD|service_id=K-Root,12,12,3.0,3.0,3,1.0,1.0,1,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
probe_country=AE|service_id=K-Root,18,18,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.7777777777777778,0.4444444444444444,0.0,1.0,0.8888888888888888
probe_country=AL|service_id=K-Root,24,24,1.1666666666666667,1.0,2,1.1666666666666667,1.0,2,0.16666666666666666,0.0,0.8333333333333334,0.3333333333333333,0.0,0.8333333333333334,1.0
probe_country=AR|service_id=K-Root,36,36,2.0,2.0,2,1.0,1.0,1,1.0,0.0,0.0,0.0,0.05555555555555555,0.0,1.0
probe_country=AT|service_id=K-Root,8,8,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.5,1.0
probe_country=AU|service_id=K-Root,1300,1300,2.209230769230769,2.0,12,1.2123076923076923,1.0,2,0.23846153846153847,0.13384615384615384,0.21846153846153846,0.2692307692307692,0.3723076923076923,0.8538461538461538,0.943076923076923
probe_country=AX|service_id=K-Root,16,16,1.5,1.5,2,2.0,2.0,2,0.25,0.5,0.25,0.75,0.0,0.75,0.5
probe_country=BB|service_id=K-Root,4,4,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.5,0.0,0.0,1.0
probe_country=BD|service_id=K-Root,6,6,1.6666666666666667,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0
probe_country=BG|service_id=K-Root,6,6,1.6666666666666667,2.0,2,1.6666666666666667,2.0,2,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0
probe_country=BH|service_id=K-Root,4,4,4.0,4.0,4,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.5
probe_country=BJ|service_id=K-Root,16,16,3.0,2.0,6,1.0,1.0,1,0.25,0.25,0.0,0.125,0.75,0.0,1.0
probe_country=BL|service_id=K-Root,4,4,1.0,1.0,1,1.0,1.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0
probe_country=BO|service_id=K-Root,4,4,2.0,2.0,2,2.0,2.0,2,1.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=BR|service_id=K-Root,62,62,2.4516129032258065,2.0,7,1.032258064516129,1.0,2,0.6129032258064516,0.03225806451612903,0.03225806451612903,0.6451612903225806,0.1935483870967742,0.5806451612903226,0.6451612903225806
probe_country=BZ|service_id=K-Root,8,8,2.5,2.5,3,1.0,1.0,1,1.0,0.0,0.5,0.0,0.25,0.0,0.0
probe_country=CA|service_id=K-Root,452,452,1.7300884955752212,1.0,5,2.327433628318584,1.0,5,0.0,0.4823008849557522,0.9911504424778761,0.29646017699115046,0.0,0.7522123893805309,0.7743362831858407
probe_country=CD|service_id=K-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=CH|service_id=K-Root,642,642,1.9875389408099688,2.0,2,1.0,1.0,1,0.0,0.0,0.1277258566978193,0.9688473520249221,0.0,0.9501557632398754,0.8847352024922118
probe_country=CK|service_id=K-Root,4,4,4.0,4.0,4,2.0,2.0,2,1.0,1.0,1.0,1.0,0.0,0.0,1.0
probe_country=CL|service_id=K-Root,10,10,1.0,1.0,1,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0
probe_country=CM|service_id=K-Root,8,8,4.0,4.0,6,1.5,1.5,2,0.5,0.5,0.0,0.75,0.0,0.0,0.5
probe_country=CN|service_id=K-Root,158,158,8.481012658227849,10.0,16,1.1265822784810127,1.0,3,0.759493670886076,0.8354430379746836,0.1518987341772152,0.5063291139240507,0.012658227848101266,0.3037974683544304,0.4430379746835443
probe_country=CO|service_id=K-Root,36,36,4.166666666666667,4.0,6,1.3888888888888888,1.0,2,0.7222222222222222,0.3888888888888889,0.3888888888888889,0.3333333333333333,0.0,0.0,0.6666666666666666
probe_country=CU|service_id=K-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
probe_country=CV|service_id=K-Root,4,4,2.0,2.0,2,2.0,2.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0
probe_country=CW|service_id=K-Root,6,6,1.6666666666666667,1.0,3,1.3333333333333333,1.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666
probe_country=CY|service_id=K-Root,24,24,3.6666666666666665,5.0,5,1.6666666666666667,2.0,2,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
probe_country=DE|service_id=K-Root,112,112,3.2857142857142856,4.0,5,1.0357142857142858,1.0,2,0.6071428571428571,0.35714285714285715,0.2857142857142857,0.75,0.0,0.4642857142857143,0.9107142857142857
probe_country=DJ|service_id=K-Root,8,8,4.0,4.0,4,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.5
probe_country=DK|service_id=K-Root,456,456,1.9210526315789473,1.0,9,1.3026315789473684,1.0,3,0.11842105263157894,0.11842105263157894,0.8464912280701754,0.8070175438596491,0.0,0.9254385964912281,0.6008771929824561
probe_country=DO|service_id=K-Root,4,4,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.5,0.0,0.0,1.0
probe_country=EC|service_id=K-Root,28,28,2.0,2.0,3,1.0,1.0,1,0.5,0.0,0.0,0.5,0.0,0.5,0.5
probe_country=EE|service_id=K-Root,38,38,3.3684210526315788,4.0,4,1.7894736842105263,2.0,2,0.7894736842105263,0.0,1.0,0.42105263157894735,0.0,0.21052631578947367,0.5789473684210527
probe_country=ES|service_id=K-Root,22,22,3.727272727272727,3.0,7,1.1818181818181819,1.0,2,1.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.8181818181818182
probe_country=FI|service_id=K-Root,392,392,3.0510204081632653,2.5,8,1.6224489795918366,2.0,4,0.673469387755102,0.19387755102040816,0.8061224489795918,0.7244897959183674,0.0,0.6020408163265306,0.7040816326530612
probe_country=FJ|service_id=K-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
probe_country=FR|service_id=K-Root,48,48,1.75,2.0,2,1.75,2.0,2,0.75,0.08333333333333333,0.25,0.8333333333333334,0.0,1.0,1.0
probe_country=GB|service_id=K-Root,66,66,1.6666666666666667,2.0,3,1.4848484848484849,1.0,2,0.5757575757575758,0.09090909090909091,0.45454545454545453,0.9393939393939394,0.0,0.6363636363636364,1.0
probe_country=GH|service_id=K-Root,4,4,6.0,6.0,6,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0
probe_country=GP|service_id=K-Root,8,8,3.0,3.0,4,2.0,2.0,2,0.0,0.5,1.0,0.5,0.0,1.0,1.0
probe_country=GQ|service_id=K-Root,6,6,1.3333333333333333,1.0,2,1.0,1.0,1,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
probe_country=GT|service_id=K-Root,8,8,2.5,2.5,3,1.0,1.0,1,1.0,0.0,0.5,0.0,0.25,0.0,0.0
probe_country=GU|service_id=K-Root,36,36,4.0,4.0,4,1.7777777777777777,2.0,2,0.0,0.7777777777777778,1.0,0.6666666666666666,0.0,0.6666666666666666,0.4444444444444444
probe_country=HK|service_id=K-Root,36,36,2.8333333333333335,2.0,8,1.0,1.0,1,0.16666666666666666,0.5,0.16666666666666666,0.6111111111111112,0.0,0.3333333333333333,0.8333333333333334
probe_country=HN|service_id=K-Root,8,8,2.5,2.5,3,1.0,1.0,1,1.0,0.0,0.5,0.25,0.5,0.0,0.25
probe_country=ID|service_id=K-Root,298,298,1.3825503355704698,1.0,5,1.087248322147651,1.0,2,0.020134228187919462,0.026845637583892617,0.7449664429530202,0.2684563758389262,0.0,1.0,0.9731543624161074
probe_country=IE|service_id=K-Root,26,26,1.0,1.0,1,1.0,1.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0
probe_country=IL|service_id=K-Root,80,80,1.675,2.0,2,1.0,1.0,1,0.0,0.7,0.7,0.7,0.0,0.7,0.675
probe_country=IM|service_id=K-Root,4,4,3.0,3.0,3,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=IN|service_id=K-Root,14,14,4.0,4.0,4,1.0,1.0,1,1.0,0.0,0.0,0.7142857142857143,0.0,1.0,0.14285714285714285
probe_country=IQ|service_id=K-Root,8,8,6.0,6.0,6,2.0,2.0,2,1.0,1.0,1.0,0.5,0.0,1.0,0.5
probe_country=IT|service_id=K-Root,4,4,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0
probe_country=JP|service_id=K-Root,382,382,2.7591623036649215,2.0,9,1.7225130890052356,2.0,3,0.17801047120418848,0.5968586387434555,0.8795811518324608,0.7015706806282722,0.020942408376963352,0.8219895287958116,0.9790575916230366
probe_country=KE|service_id=K-Root,16,16,1.75,1.0,4,1.0,1.0,1,0.25,0.0,0.75,0.875,0.0,0.75,0.75
probe_country=KH|service_id=K-Root,8,8,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.75,0.0,0.0,1.0
probe_country=KI|service_id=K-Root,6,6,4.0,4.0,4,2.0,2.0,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0
probe_country=KY|service_id=K-Root,4,4,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=LC|service_id=K-Root,10,10,2.6,3.0,3,3.4,4.0,4,0.8,0.8,1.0,0.2,0.0,0.8,1.0
probe_country=LI|service_id=K-Root,8,8,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.5,1.0
probe_country=LK|service_id=K-Root,12,12,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333
probe_country=ME|service_id=K-Root,4,4,1.0,1.0,1,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0
probe_country=MH|service_id=K-Root,12,12,4.0,3.0,8,1.3333333333333333,1.0,2,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0
probe_country=ML|service_id=K-Root,6,6,2.0,1.0,4,1.0,1.0,1,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=MM|service_id=K-Root,10,10,7.6,12.0,12,1.0,1.0,1,0.6,0.6,0.0,0.6,0.0,0.2,0.8
probe_country=MN|service_id=K-Root,56,56,3.9285714285714284,3.0,8,1.0714285714285714,1.0,2,0.21428571428571427,1.0,0.2857142857142857,0.7857142857142857,0.0,0.7857142857142857,1.0
probe_country=MP|service_id=K-Root,8,8,4.5,4.5,5,2.0,2.0,2,0.5,1.0,1.0,1.0,0.0,0.5,0.0
probe_country=MT|service_id=K-Root,52,52,2.8461538461538463,3.0,3,1.8461538461538463,2.0,2,0.07692307692307693,0.23076923076923078,0.9230769230769231,0.8461538461538461,0.0,0.8461538461538461,0.6153846153846154
probe_country=MV|service_id=K-Root,4,4,3.0,3.0,3,1.0,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=MX|service_id=K-Root,8,8,2.5,2.5,4,1.0,1.0,1,0.5,0.0,0.5,0.5,0.0,0.5,1.0
probe_country=MY|service_id=K-Root,64,64,5.34375,2.0,18,1.21875,1.0,4,0.9375,0.375,0.34375,0.3125,0.125,0.1875,0.59375
probe_country=NC|service_id=K-Root,40,40,2.5,2.5,4,1.5,1.5,2,0.5,0.5,0.5,0.8,0.0,0.0,0.5
probe_country=NG|service_id=K-Root,12,12,5.666666666666667,6.0,6,1.0,1.0,1,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0
probe_country=NL|service_id=K-Root,30,30,2.533333333333333,2.0,6,1.3333333333333333,1.0,2,0.4666666666666667,0.4,0.4,0.8666666666666667,0.0,0.6,1.0
probe_country=NO|service_id=K-Root,258,258,1.2945736434108528,1.0,4,1.8372093023255813,2.0,3,0.031007751937984496,0.4263565891472868,0.7441860465116279,0.7054263565891473,0.0,0.937984496124031,0.7829457364341085
probe_country=NZ|service_id=K-Root,268,268,1.3432835820895523,1.0,4,1.1044776119402986,1.0,2,0.07462686567164178,0.07462686567164178,0.1044776119402985,0.6044776119402985,0.029850746268656716,0.8059701492537313,0.8582089552238806
probe_country=None|service_id=K-Root,1258,1258,2.7726550079491257,2.0,16,1.3656597774244834,1.0,5,0.2655007949125596,0.34022257551669316,0.4944356120826709,0.5166931637519873,0.09220985691573927,0.7217806041335453,0.8187599364069952
probe_country=PA|service_id=K-Root,4,4,3.0,3.0,3,1.0,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
probe_country=PE|service_id=K-Root,56,56,1.8571428571428572,2.0,3,1.0,1.0,1,0.7857142857142857,0.0,0.0,0.17857142857142858,0.7142857142857143,0.14285714285714285,0.8928571428571429
probe_country=PG|service_id=K-Root,10,10,1.6,2.0,2,1.0,1.0,1,0.4,0.0,0.0,0.0,0.4,0.4,0.2
probe_country=PH|service_id=K-Root,288,288,2.6527777777777777,2.5,10,1.9513888888888888,2.0,9,0.3263888888888889,0.3472222222222222,0.875,0.5138888888888888,0.04861111111111111,0.5833333333333334,0.8819444444444444
probe_country=PK|service_id=K-Root,6,6,12.0,12.0,12,1.0,1.0,1,1.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
