country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
AE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,74,74.0,2,landing_region_0330::landing_region_0377,0.7567567567567568,1.0,1.0,1.7415745230350002,moderate_corridor_observation_concentration,True,True,True,True,auditable,,14,7,1,0.24324324324324326,0.7567567567567568
AT,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,16,16.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,1,0.75,0.25
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,1828,1828.0,14,landing_region_0041::landing_region_0735,0.33916849015317285,0.46170678336980303,0.5831509846827133,8.058821186994436,broad_corridor_observation_distribution,False,False,True,True,auditable,,115,58,1,0.8577680525164114,0.1422319474835886
AX,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,12,12.0,3,landing_region_0415::landing_region_0693,0.5,0.8333333333333333,1.0,2.7494592739972052,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.6666666666666666,0.3333333333333333
BH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0035::landing_region_0035,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
BJ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,12,12.0,1,landing_region_0239::landing_region_0297,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.0,1.0
BR,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,114,114.0,8,landing_region_0174::landing_region_0770,0.40350877192982454,0.5964912280701754,0.7543859649122806,5.427397020296574,broad_corridor_observation_distribution,False,False,True,True,auditable,,12,11,1,0.42105263157894735,0.5789473684210527
CA,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,172,172.0,6,landing_region_0008::landing_region_0008,0.20155038759689922,0.40310077519379844,0.6046511627906976,5.727424439988436,broad_corridor_observation_distribution,False,False,True,True,auditable,,35,5,1,0.27906976744186046,0.7209302325581395
CH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,708,708.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,105,28,1,0.96045197740113,0.03954802259887006
CL,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,22,22.0,1,landing_region_0242::landing_region_0975,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,1.0,0.0
CM,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0333::landing_region_0556,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
CN,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,44,44.0,4,landing_region_0230::landing_region_0230,0.5909090909090909,0.75,0.9090909090909092,3.04582189560329,weak_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,7,6,1,0.5,0.5
CO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,24,24.0,4,landing_region_0243::landing_region_0603,0.3333333333333333,0.625,0.9166666666666667,3.6401690800234143,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,1,0.0,1.0
CV,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0239::landing_region_0769,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
CW,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,18,18.0,1,landing_region_0174::landing_region_0603,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,6,1,0.0,1.0
CY,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,24,24.0,3,landing_region_0431::landing_region_0734,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,1,0.3333333333333333,0.6666666666666666
DE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,12,12.0,2,landing_region_0388::landing_region_0388,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
DJ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,12,12.0,1,landing_region_0330::landing_region_0431,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0
DK,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,544,544.0,8,landing_region_0524::landing_region_0524,0.7303921568627451,0.8590686274509803,0.9068627450980391,2.6398073310320944,moderate_corridor_observation_concentration,True,True,True,True,auditable,,45,17,1,0.9448529411764706,0.05514705882352941
DO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0174::landing_region_0213,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
EE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,46,46.0,3,landing_region_0351::landing_region_0512,0.3695652173913043,0.7391304347826086,1.0,2.9632619399997764,weak_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,9,6,1,0.2608695652173913,0.7391304347826086
ES,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,30,30.0,1,landing_region_0126::landing_region_0431,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,10,4,1,0.0,1.0
FI,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,256,256.0,7,landing_region_0351::landing_region_0640,0.2903645833333333,0.5403645833333333,0.7903645833333333,5.2532332216465125,broad_corridor_observation_distribution,False,False,True,True,auditable,,33,17,1,0.4296875,0.5703125
FJ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,12,12.0,1,landing_region_0041::landing_region_0903,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0
FR,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,24,24.0,2,landing_region_0431::landing_region_0431,0.8333333333333334,1.0,1.0,1.5691925832141966,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,1,1.0,0.0
GB,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,18,18.0,2,landing_region_0039::landing_region_0159,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.3333333333333333,0.6666666666666666
GH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,8,8.0,1,landing_region_0006::landing_region_0556,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
GP,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0106::landing_region_0106,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
GQ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0131::landing_region_0606,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5
