probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
AD,6,6,6,1.0,1.0,1,3,1,1,1
AE,40,38,5,0.125,0.95,1,20,14,1,1
AF,12,12,0,0.0,1.0,1,6,2,1,1
AL,46,40,10,0.21739130434782608,0.8695652173913043,1,23,14,1,1
AM,28,28,0,0.0,1.0,1,14,7,1,1
AO,19,19,0,0.0,1.0,1,10,4,1,1
AR,104,95,18,0.17307692307692307,0.9134615384615384,1,52,40,1,1
AT,416,376,4,0.009615384615384616,0.9038461538461539,1,207,82,1,1
AU,479,418,264,0.5511482254697286,0.872651356993737,1,240,71,1,1
AX,4,4,4,1.0,1.0,1,2,2,1,1
AZ,18,12,0,0.0,0.6666666666666666,1,9,8,1,1
BA,30,28,0,0.0,0.9333333333333333,1,15,6,1,1
BB,2,2,2,1.0,1.0,1,1,1,1,1
BD,18,18,3,0.16666666666666666,1.0,1,9,6,1,1
BE,296,283,0,0.0,0.956081081081081,1,147,26,1,1
BF,8,6,0,0.0,0.75,1,4,3,1,1
BG,166,154,2,0.012048192771084338,0.927710843373494,1,83,51,1,1
BH,10,6,2,0.2,0.6,1,5,2,1,1
BI,2,2,0,0.0,1.0,1,1,1,1,1
BJ,14,14,8,0.5714285714285714,1.0,1,7,4,1,1
BL,2,2,2,1.0,1.0,1,1,1,1,1
BO,36,36,2,0.05555555555555555,1.0,1,18,9,1,1
BR,173,133,28,0.16184971098265896,0.7687861271676301,1,87,58,1,1
BT,4,2,0,0.0,0.5,1,2,2,1,1
BW,2,2,0,0.0,1.0,1,1,1,1,1
BY,46,46,0,0.0,1.0,1,23,14,1,1
BZ,2,2,2,1.0,1.0,1,1,1,1,1
CA,545,519,193,0.3541284403669725,0.9522935779816514,1,272,85,1,1
CD,6,6,1,0.16666666666666666,1.0,1,3,3,1,1
CG,4,2,0,0.0,0.5,1,2,2,1,1
CH,647,598,184,0.28438948995363217,0.9242658423493045,1,324,81,1,1
CI,2,2,0,0.0,1.0,1,1,1,1,1
CK,2,2,2,1.0,1.0,1,1,1,1,1
CL,154,60,4,0.025974025974025976,0.38961038961038963,1,76,33,1,1
CM,4,4,4,1.0,1.0,1,2,2,1,1
CN,100,92,36,0.36,0.92,1,50,23,1,1
CO,62,60,17,0.27419354838709675,0.967741935483871,1,31,22,1,1
CR,32,22,0,0.0,0.6875,1,16,8,1,1
CU,2,2,1,0.5,1.0,1,1,1,1,1
CV,8,6,2,0.25,0.75,1,4,2,1,1
CW,4,4,3,0.75,1.0,1,2,2,1,1
CY,26,24,8,0.3076923076923077,0.9230769230769231,1,13,6,1,1
CZ,554,544,0,0.0,0.9819494584837545,1,278,112,1,1
DE,3187,3074,38,0.011923438970818953,0.9645434577973016,1,1596,376,1,1
DJ,6,6,4,0.6666666666666666,1.0,1,3,2,1,1
DK,216,204,94,0.4351851851851852,0.9444444444444444,1,108,35,1,1
DO,18,18,2,0.1111111111111111,1.0,1,9,7,1,1
DZ,2,2,0,0.0,1.0,1,1,1,1,1
EC,48,46,14,0.2916666666666667,0.9583333333333334,1,24,19,1,1
EE,76,66,15,0.19736842105263158,0.868421052631579,1,39,22,1,1
EG,4,4,0,0.0,1.0,1,2,1,1,1
ES,459,364,11,0.023965141612200435,0.7930283224400871,1,230,73,1,1
ET,2,2,0,0.0,1.0,1,1,1,1,1
FI,280,253,115,0.4107142857142857,0.9035714285714286,1,141,50,1,1
FJ,4,2,1,0.25,0.5,1,2,2,1,1
FM,5,3,0,0.0,0.6,1,3,1,1,1
FR,1901,1657,24,0.01262493424513414,0.8716465018411362,1,952,163,1,1
GB,1047,970,23,0.021967526265520534,0.9264565425023877,1,524,186,1,1
GE,20,20,0,0.0,1.0,1,10,6,1,1
GF,2,2,0,0.0,1.0,1,1,1,1,1
GG,2,2,0,0.0,1.0,1,1,1,1,1
GH,6,6,2,0.3333333333333333,1.0,1,3,3,1,1
GP,4,4,4,1.0,1.0,1,2,2,1,1
GQ,2,2,2,1.0,1.0,1,1,1,1,1
GR,148,127,0,0.0,0.8581081081081081,1,74,26,1,1
GT,8,4,2,0.25,0.5,1,4,3,1,1
GU,18,16,12,0.6666666666666666,0.8888888888888888,1,9,5,1,1
HK,98,95,16,0.16326530612244897,0.9693877551020408,1,49,32,1,1
HN,18,8,2,0.1111111111111111,0.4444444444444444,1,9,6,1,1
HR,84,84,0,0.0,1.0,1,42,20,1,1
HT,2,2,0,0.0,1.0,1,1,1,1,1
HU,110,104,0,0.0,0.9454545454545454,1,55,23,1,1
ID,157,146,107,0.6815286624203821,0.9299363057324841,1,79,57,1,1
IE,174,170,13,0.07471264367816093,0.9770114942528736,1,87,24,1,1
IL,61,57,29,0.47540983606557374,0.9344262295081968,1,31,12,1,1
IM,6,6,2,0.3333333333333333,1.0,1,3,3,1,1
IN,271,190,6,0.02214022140221402,0.7011070110701108,1,135,59,1,1
IQ,16,13,2,0.125,0.8125,1,8,6,1,1
IR,88,16,0,0.0,0.18181818181818182,1,44,22,1,1
IS,22,22,0,0.0,1.0,1,11,8,1,1
IT,611,508,2,0.0032733224222585926,0.8314238952536824,1,307,102,1,1
JO,4,2,0,0.0,0.5,1,2,2,1,1
JP,445,419,112,0.251685393258427,0.9415730337078652,1,224,98,1,1
KE,30,28,8,0.26666666666666666,0.9333333333333333,1,15,10,1,1
KG,40,34,0,0.0,0.85,1,20,13,1,1
KH,6,6,4,0.6666666666666666,1.0,1,3,3,1,1
KI,4,4,3,0.75,1.0,1,2,1,1,1
KN,2,2,0,0.0,1.0,1,1,1,1,1
KR,44,38,0,0.0,0.8636363636363636,1,22,12,1,1
KW,4,2,0,0.0,0.5,1,2,2,1,1
KY,2,2,2,1.0,1.0,1,1,1,1,1
KZ,108,104,0,0.0,0.9629629629629629,1,54,20,1,1
LA,2,2,0,0.0,1.0,1,1,1,1,1
LB,4,0,0,0.0,0.0,1,2,2,1,1
LC,4,4,4,1.0,1.0,1,2,2,1,1
LI,6,6,4,0.6666666666666666,1.0,1,3,3,1,1
LK,26,24,6,0.23076923076923078,0.9230769230769231,1,13,6,1,1
LS,2,2,0,0.0,1.0,1,1,1,1,1
LT,72,68,0,0.0,0.9444444444444444,1,36,21,1,1
LU,76,55,0,0.0,0.7236842105263158,1,38,20,1,1
LV,61,59,0,0.0,0.9672131147540983,1,31,19,1,1
MA,2,2,0,0.0,1.0,1,1,1,1,1
MD,50,26,0,0.0,0.52,1,25,15,1,1
ME,12,12,2,0.16666666666666666,1.0,1,6,5,1,1
MG,4,4,0,0.0,1.0,1,2,1,1,1
MH,2,2,2,1.0,1.0,1,1,1,1,1
MK,20,18,0,0.0,0.9,1,10,8,1,1
ML,2,2,2,1.0,1.0,1,1,1,1,1
MM,6,4,3,0.5,0.6666666666666666,1,3,3,1,1
MN,14,14,14,1.0,1.0,1,7,7,1,1
MP,2,2,2,1.0,1.0,1,1,1,1,1
MT,16,16,16,1.0,1.0,1,8,2,1,1
MU,16,14,0,0.0,0.875,1,8,4,1,1
MV,22,22,2,0.09090909090909091,1.0,1,11,4,1,1
MW,2,2,0,0.0,1.0,1,1,1,1,1
MX,84,73,4,0.047619047619047616,0.8690476190476191,1,42,21,1,1
MY,65,63,20,0.3076923076923077,0.9692307692307692,1,33,18,1,1
MZ,6,4,0,0.0,0.6666666666666666,1,3,3,1,1
NA,3497,3134,450,0.12868172719473836,0.8961967400629111,1,1750,4,1,1
NC,10,10,10,1.0,1.0,1,5,2,1,1
NG,19,19,6,0.3157894736842105,1.0,1,9,6,1,1
NI,12,8,0,0.0,0.6666666666666666,1,6,4,1,1
NL,1149,896,14,0.012184508268059183,0.7798085291557877,1,577,159,1,1
NO,178,170,70,0.39325842696629215,0.9550561797752809,1,89,33,1,1
NP,29,29,0,0.0,1.0,1,15,9,1,1
NZ,196,176,79,0.4030612244897959,0.8979591836734694,1,98,32,1,1
OM,2,2,0,0.0,1.0,1,1,1,1,1
PA,36,30,2,0.05555555555555555,0.8333333333333334,1,18,11,1,1
PE,41,35,26,0.6341463414634146,0.8536585365853658,1,21,16,1,1
PF,10,10,0,0.0,1.0,1,5,1,1,1
PG,2,2,2,1.0,1.0,1,1,1,1,1
PH,118,114,78,0.6610169491525424,0.9661016949152542,1,59,33,1,1
PK,12,8,2,0.16666666666666666,0.6666666666666666,1,6,5,1,1
PL,408,352,8,0.0196078431372549,0.8627450980392157,1,204,120,1,1
PR,2,2,2,1.0,1.0,1,1,1,1,1
PS,2,2,0,0.0,1.0,1,1,1,1,1
PT,190,178,13,0.06842105263157895,0.9368421052631579,1,95,21,1,1
PW,2,2,0,0.0,1.0,1,1,1,1,1
PY,20,20,0,0.0,1.0,1,10,8,1,1
QA,2,2,2,1.0,1.0,1,1,1,1,1
RE,71,71,0,0.0,1.0,1,36,4,1,1
RO,161,149,2,0.012422360248447204,0.9254658385093167,1,81,43,1,1
RS,90,85,0,0.0,0.9444444444444444,1,45,16,1,1
RU,940,864,0,0.0,0.9191489361702128,1,468,282,1,1
RW,2,2,0,0.0,1.0,1,1,1,1,1
SA,30,12,0,0.0,0.4,1,15,8,1,1
SE,400,377,80,0.2,0.9425,1,200,70,1,1
SG,230,212,59,0.2565217391304348,0.9217391304347826,1,115,57,1,1
SI,88,82,0,0.0,0.9318181818181818,1,44,19,1,1
SK,96,86,0,0.0,0.8958333333333334,1,48,21,1,1
SL,4,2,2,0.5,0.5,1,2,2,1,1
SM,2,2,0,0.0,1.0,1,1,1,1,1
SN,2,2,0,0.0,1.0,1,1,1,1,1
SS,2,2,0,0.0,1.0,1,1,1,1,1
SV,22,16,10,0.45454545454545453,0.7272727272727273,1,11,6,1,1
SY,2,0,0,0.0,0.0,1,1,1,1,1
TD,2,2,0,0.0,1.0,1,1,1,1,1
TG,2,0,0,0.0,0.0,1,1,1,1,1
TH,78,62,18,0.23076923076923078,0.7948717948717948,1,39,24,1,1
TJ,28,22,4,0.14285714285714285,0.7857142857142857,1,14,10,1,1
TL,8,8,8,1.0,1.0,1,4,2,1,1
TN,16,12,3,0.1875,0.75,1,8,5,1,1
TO,2,2,2,1.0,1.0,1,1,1,1,1
TR,116,64,6,0.05172413793103448,0.5517241379310345,1,58,29,1,1
TT,2,2,0,0.0,1.0,1,1,1,1,1
TV,2,2,2,1.0,1.0,1,1,1,1,1
TW,128,108,34,0.265625,0.84375,1,64,30,1,1
TZ,8,8,0,0.0,1.0,1,4,3,1,1
UA,302,278,6,0.019867549668874173,0.9205298013245033,1,151,104,1,1
UG,12,12,1,0.08333333333333333,1.0,1,6,4,1,1
US,3301,3141,559,0.16934262344744017,0.9515298394425932,1,1649,440,1,1
UY,38,38,0,0.0,1.0,1,19,5,1,1
UZ,20,18,10,0.5,0.9,1,10,8,1,1
VA,2,2,0,0.0,1.0,1,1,1,1,1
VE,71,35,10,0.14084507042253522,0.49295774647887325,1,36,24,1,1
VI,4,4,2,0.5,1.0,1,2,2,1,1
VN,48,45,2,0.041666666666666664,0.9375,1,24,13,1,1
VU,2,0,0,0.0,0.0,1,1,1,1,1
XK,4,4,0,0.0,1.0,1,2,2,1,1
YE,2,2,0,0.0,1.0,1,1,1,1,1
ZA,228,192,48,0.21052631578947367,0.8421052631578947,1,113,63,1,1
ZM,8,6,0,0.0,0.75,1,4,4,1,1
ZW,6,6,0,0.0,1.0,1,3,2,1,1
