country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
NL,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,76.0,76.0,1.0,landing_region_120836cdab0e::landing_region_35391ab448ed,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,26.0,12.0,1.0,0.0,1.0,country_corridor_concentration_summary,,,,,
ES,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,30.0,30.0,1.0,landing_region_08ea81d123b5::landing_region_8eb611963dd1,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,10.0,4.0,1.0,0.0,1.0,country_corridor_concentration_summary,,,,,
,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,258.0,258.0,6.0,landing_region_58934ccdf4e7::landing_region_ce5716d12955,0.8604651162790697,0.9031007751937984,0.9457364341085271,0.615017776853642,0.3432479567799413,1.8496894809252482,severe_corridor_observation_concentration,True,True,True,True,auditable,,54.0,43.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,ID,K-Root,all_publicly_visible,0.015503875968992248,True
,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,258.0,258.0,6.0,landing_region_58934ccdf4e7::landing_region_ce5716d12955,0.8604651162790697,0.9031007751937984,0.9457364341085271,0.615017776853642,0.3432479567799413,1.8496894809252482,severe_corridor_observation_concentration,True,True,True,True,auditable,,54.0,43.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,ID,K-Root,resolved_entry_only,0.015503875968992248,True
NG,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,84.0,84.0,5.0,landing_region_2e263771884f::landing_region_30beda532e6f,0.8333333333333334,0.9285714285714286,0.9523809523809524,0.6428515326498196,0.3994261149705219,1.901896474155191,severe_corridor_observation_concentration,True,True,True,True,auditable,,22.0,13.0,1.0,0.0,1.0,country_corridor_concentration_summary,,,,,
ID,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,400.0,400.0,8.0,landing_region_58934ccdf4e7::landing_region_ce5716d12955,0.795,0.8525,0.91,0.8635653437011601,0.41528714628041236,2.37160121153237,moderate_corridor_observation_concentration,True,True,True,True,auditable,,96.0,57.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
AE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,74.0,74.0,2.0,landing_region_1392e3aea9b8::landing_region_173727a59ebb,0.7567567567567568,1.0,1.0,0.5547896023487735,0.8003922080453356,1.7415745230350002,moderate_corridor_observation_concentration,True,True,True,True,auditable,,17.0,8.0,1.0,0.24324324324324326,0.7567567567567568,country_corridor_concentration_summary,,,,,
,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,56.0,56.0,4.0,landing_region_4d0efd9bb45b::landing_region_5113b57f1083,0.7142857142857143,0.8571428571428572,0.9285714285714286,0.8953326659680909,0.6458459985690298,2.448150070226196,moderate_corridor_observation_concentration,True,True,True,True,auditable,,13.0,11.0,1.0,0.14285714285714285,0.8571428571428571,service_country_corridor_concentration_summary,PE,K-Root,all_publicly_visible,0.14285714285714285,True
MY,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,44.0,44.00000000000001,9.0,landing_region_d0ecf913edd7::landing_region_d5376611ccce,0.696969696969697,0.8787878787878789,0.896969696969697,1.0528318120761513,0.4791644071961638,2.865754917812247,moderate_corridor_observation_concentration,True,True,True,True,auditable,,11.0,8.0,1.0,0.1818181818181818,0.818181818181818,country_corridor_concentration_summary,,,,,
,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,52.0,52.0,4.0,landing_region_4d0efd9bb45b::landing_region_5113b57f1083,0.6923076923076923,0.8461538461538461,0.9230769230769231,0.9371558530657009,0.6760150508789764,2.552710799282011,moderate_corridor_observation_concentration,True,True,True,True,auditable,,12.0,10.0,1.0,0.15384615384615385,0.8461538461538461,service_country_corridor_concentration_summary,PE,K-Root,resolved_entry_only,0.15384615384615385,True
,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,90.0,90.0,9.0,landing_region_3362110f86da::landing_region_7a95dbddaa36,0.6888888888888889,0.8222222222222222,0.8666666666666667,1.1585331862051793,0.5272711757164641,3.185257667943817,moderate_corridor_observation_concentration,True,True,True,True,auditable,,18.0,10.0,1.0,0.9555555555555556,0.044444444444444446,service_country_corridor_concentration_summary,TW,K-Root,all_publicly_visible,0.2222222222222222,True
,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,90.0,90.0,9.0,landing_region_3362110f86da::landing_region_7a95dbddaa36,0.6888888888888889,0.8222222222222222,0.8666666666666667,1.1585331862051793,0.5272711757164641,3.185257667943817,moderate_corridor_observation_concentration,True,True,True,True,auditable,,18.0,10.0,1.0,0.9555555555555556,0.044444444444444446,service_country_corridor_concentration_summary,TW,K-Root,resolved_entry_only,0.2222222222222222,True
TH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,56.0,56.0,5.0,landing_region_b8a30afb11ed::landing_region_d0ecf913edd7,0.6785714285714286,0.8928571428571429,0.9642857142857143,0.925488631600538,0.575038418351185,2.5231008259932883,moderate_corridor_observation_concentration,True,True,True,True,auditable,,17.0,8.0,1.0,0.25,0.75,country_corridor_concentration_summary,,,,,
DK,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,90.0,90.0,4.0,landing_region_1c12bbea2f36::landing_region_363f6a205e8d,0.6666666666666666,0.8888888888888888,0.9555555555555555,0.9234646318385568,0.6661389223949191,2.517999235073015,moderate_corridor_observation_concentration,True,True,True,True,auditable,,24.0,7.0,1.0,0.6666666666666666,0.3333333333333333,country_corridor_concentration_summary,,,,,
PE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,104.0,104.0,2.0,landing_region_4d0efd9bb45b::landing_region_8c0e5886c6bc,0.5384615384615384,1.0,1.0,0.6901856760188042,0.9957274520849256,1.9940857527753038,moderate_corridor_observation_concentration,True,True,True,True,auditable,,28.0,20.0,1.0,0.0,1.0,country_corridor_concentration_summary,,,,,
,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,42.0,42.0,4.0,landing_region_b8a30afb11ed::landing_region_d0ecf913edd7,0.5238095238095238,0.8095238095238095,0.9047619047619048,1.1445227454191282,0.825598644500399,3.1409419701295422,moderate_corridor_observation_concentration,True,True,True,True,auditable,,12.0,9.0,1.0,0.38095238095238093,0.6190476190476191,service_country_corridor_concentration_summary,TH,K-Root,all_publicly_visible,0.14285714285714285,True
,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,42.0,42.0,4.0,landing_region_b8a30afb11ed::landing_region_d0ecf913edd7,0.5238095238095238,0.8095238095238095,0.9047619047619048,1.1445227454191282,0.825598644500399,3.1409419701295422,moderate_corridor_observation_concentration,True,True,True,True,auditable,,12.0,9.0,1.0,0.38095238095238093,0.6190476190476191,service_country_corridor_concentration_summary,TH,K-Root,resolved_entry_only,0.14285714285714285,True
,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,40.0,40.0,3.0,landing_region_149acfcae34c::landing_region_58084817cbe7,0.45,0.9,1.0,0.9489154358953991,0.8637400525036962,2.582906811643165,moderate_corridor_observation_concentration,True,True,True,True,auditable,,12.0,10.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,FR,K-Root,all_publicly_visible,0.0,True
,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,40.0,40.0,3.0,landing_region_149acfcae34c::landing_region_58084817cbe7,0.45,0.9,1.0,0.9489154358953991,0.8637400525036962,2.582906811643165,moderate_corridor_observation_concentration,True,True,True,True,auditable,,12.0,10.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,FR,K-Root,resolved_entry_only,0.0,True
