probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
ID,K-Root,dns_root,anycast,157,146,107,0.6815286624203821,0.9299363057324841,79,57,1,1,0.9171974522292994,True,True,auditable,
PH,K-Root,dns_root,anycast,118,114,78,0.6610169491525424,0.9661016949152542,59,33,1,1,0.9491525423728814,True,True,auditable,
PE,K-Root,dns_root,anycast,41,35,26,0.6341463414634146,0.8536585365853658,21,16,1,1,0.8048780487804879,True,True,auditable,
AU,K-Root,dns_root,anycast,479,418,264,0.5511482254697286,0.872651356993737,240,71,1,1,0.872651356993737,True,True,auditable,
IL,K-Root,dns_root,anycast,61,57,29,0.47540983606557374,0.9344262295081968,31,12,1,1,0.9180327868852459,True,True,auditable,
DK,K-Root,dns_root,anycast,216,204,94,0.4351851851851852,0.9444444444444444,108,35,1,1,0.9444444444444444,True,True,auditable,
FI,K-Root,dns_root,anycast,280,253,115,0.4107142857142857,0.9035714285714286,141,50,1,1,0.8964285714285715,True,True,auditable,
NZ,K-Root,dns_root,anycast,196,176,79,0.4030612244897959,0.8979591836734694,98,32,1,1,0.8979591836734694,True,True,auditable,
NO,K-Root,dns_root,anycast,178,170,70,0.39325842696629215,0.9550561797752809,89,33,1,1,0.9438202247191011,True,True,auditable,
CN,K-Root,dns_root,anycast,100,92,36,0.36,0.92,50,23,1,1,0.53,True,True,auditable,
CA,K-Root,dns_root,anycast,545,519,193,0.3541284403669725,0.9522935779816514,272,85,1,1,0.944954128440367,True,True,auditable,
MY,K-Root,dns_root,anycast,65,63,20,0.3076923076923077,0.9692307692307692,33,18,1,1,0.9692307692307692,True,True,auditable,
EC,K-Root,dns_root,anycast,48,46,14,0.2916666666666667,0.9583333333333334,24,19,1,1,0.9166666666666666,True,True,auditable,
CH,K-Root,dns_root,anycast,647,598,184,0.28438948995363217,0.9242658423493045,324,81,1,1,0.9149922720247295,True,True,auditable,
CO,K-Root,dns_root,anycast,62,60,17,0.27419354838709675,0.967741935483871,31,22,1,1,0.9516129032258065,True,True,auditable,
KE,K-Root,dns_root,anycast,30,28,8,0.26666666666666666,0.9333333333333333,15,10,1,1,0.9333333333333333,True,True,auditable,
TW,K-Root,dns_root,anycast,128,108,34,0.265625,0.84375,64,30,1,1,0.8359375,True,True,auditable,
SG,K-Root,dns_root,anycast,230,212,59,0.2565217391304348,0.9217391304347826,115,57,1,1,0.8826086956521739,True,True,auditable,
JP,K-Root,dns_root,anycast,445,419,112,0.251685393258427,0.9415730337078652,224,98,1,1,0.9370786516853933,True,True,auditable,
TH,K-Root,dns_root,anycast,78,62,18,0.23076923076923078,0.7948717948717948,39,24,1,1,0.7948717948717948,True,True,auditable,
AL,K-Root,dns_root,anycast,46,40,10,0.21739130434782608,0.8695652173913043,23,14,1,1,0.8260869565217391,True,True,auditable,
ZA,K-Root,dns_root,anycast,228,192,48,0.21052631578947367,0.8421052631578947,113,63,1,1,0.8421052631578947,True,True,auditable,
SE,K-Root,dns_root,anycast,400,377,80,0.2,0.9425,200,70,1,1,0.9375,True,True,auditable,
EE,K-Root,dns_root,anycast,76,66,15,0.19736842105263158,0.868421052631579,39,22,1,1,0.868421052631579,True,True,auditable,
AR,K-Root,dns_root,anycast,104,95,18,0.17307692307692307,0.9134615384615384,52,40,1,1,0.9134615384615384,True,True,auditable,
US,K-Root,dns_root,anycast,3301,3141,559,0.16934262344744017,0.9515298394425932,1649,440,1,1,0.8079369887912754,True,True,auditable,
HK,K-Root,dns_root,anycast,98,95,16,0.16326530612244897,0.9693877551020408,49,32,1,1,0.9081632653061225,True,True,auditable,
BR,K-Root,dns_root,anycast,173,133,28,0.16184971098265896,0.7687861271676301,87,58,1,1,0.6994219653179191,True,True,auditable,
VE,K-Root,dns_root,anycast,71,35,10,0.14084507042253522,0.49295774647887325,36,24,1,1,0.4647887323943662,True,True,auditable,
NA,K-Root,dns_root,anycast,3497,3134,450,0.12868172719473836,0.8961967400629111,1750,4,1,1,0.8647412067486417,True,True,auditable,
AE,K-Root,dns_root,anycast,40,38,5,0.125,0.95,20,14,1,1,0.925,True,True,auditable,
IE,K-Root,dns_root,anycast,174,170,13,0.07471264367816093,0.9770114942528736,87,24,1,1,0.9655172413793104,True,True,auditable,
PT,K-Root,dns_root,anycast,190,178,13,0.06842105263157895,0.9368421052631579,95,21,1,1,0.9315789473684211,True,True,auditable,
BO,K-Root,dns_root,anycast,36,36,2,0.05555555555555555,1.0,18,9,1,1,1.0,True,True,auditable,
PA,K-Root,dns_root,anycast,36,30,2,0.05555555555555555,0.8333333333333334,18,11,1,1,0.8333333333333334,True,True,auditable,
TR,K-Root,dns_root,anycast,116,64,6,0.05172413793103448,0.5517241379310345,58,29,1,1,0.5517241379310345,True,True,auditable,
MX,K-Root,dns_root,anycast,84,73,4,0.047619047619047616,0.8690476190476191,42,21,1,1,0.8690476190476191,True,True,auditable,
VN,K-Root,dns_root,anycast,48,45,2,0.041666666666666664,0.9375,24,13,1,1,0.9375,True,True,auditable,
CL,K-Root,dns_root,anycast,154,60,4,0.025974025974025976,0.38961038961038963,76,33,1,1,0.38961038961038963,True,True,auditable,
ES,K-Root,dns_root,anycast,459,364,11,0.023965141612200435,0.7930283224400871,230,73,1,1,0.7712418300653595,True,True,auditable,
IN,K-Root,dns_root,anycast,271,190,6,0.02214022140221402,0.7011070110701108,135,59,1,1,0.6937269372693727,True,True,auditable,
GB,K-Root,dns_root,anycast,1047,970,23,0.021967526265520534,0.9264565425023877,524,186,1,1,0.9226361031518625,True,True,auditable,
UA,K-Root,dns_root,anycast,302,278,6,0.019867549668874173,0.9205298013245033,151,104,1,1,0.9205298013245033,True,True,auditable,
PL,K-Root,dns_root,anycast,408,352,8,0.0196078431372549,0.8627450980392157,204,120,1,1,0.8627450980392157,True,True,auditable,
FR,K-Root,dns_root,anycast,1901,1657,24,0.01262493424513414,0.8716465018411362,952,163,1,1,0.864281956864808,True,True,auditable,
RO,K-Root,dns_root,anycast,161,149,2,0.012422360248447204,0.9254658385093167,81,43,1,1,0.9130434782608695,True,True,auditable,
NL,K-Root,dns_root,anycast,1149,896,14,0.012184508268059183,0.7798085291557877,577,159,1,1,0.7763272410791993,True,True,auditable,
BG,K-Root,dns_root,anycast,166,154,2,0.012048192771084338,0.927710843373494,83,51,1,1,0.9156626506024096,True,True,auditable,
DE,K-Root,dns_root,anycast,3187,3074,38,0.011923438970818953,0.9645434577973016,1596,376,1,1,0.9570128647631001,True,True,auditable,
AT,K-Root,dns_root,anycast,416,376,4,0.009615384615384616,0.9038461538461539,207,82,1,1,0.8846153846153846,True,True,auditable,
IT,K-Root,dns_root,anycast,611,508,2,0.0032733224222585926,0.8314238952536824,307,102,1,1,0.8019639934533551,True,True,auditable,
