probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,487,0.8090349075975359,0.8459958932238193,0.8788501026694046,0.9235109870260437,0.3410243232013067,2.518115960105033,severe_network_transition_concentration,0.5338809034907598,0.6776180698151951,0.8131416837782341,1.3936341564342096,0.6342702383767099,4.029467190541423,0.2932459151754032,-0.2932459151754032,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.055441478439425054,True,True,True,True,True,auditable,,111,45,0.9527720739219713,0.04722792607802875
AU,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,487,0.8090349075975359,0.8459958932238193,0.8788501026694046,0.9235109870260437,0.3410243232013067,2.518115960105033,severe_network_transition_concentration,0.5338809034907598,0.6776180698151951,0.8131416837782341,1.3936341564342096,0.6342702383767099,4.029467190541423,0.2932459151754032,-0.2932459151754032,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.055441478439425054,True,True,True,True,True,auditable,,111,45,0.9527720739219713,0.04722792607802875
CA,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,117,0.6752136752136753,0.9145299145299146,0.9487179487179488,0.9314716513991267,0.5198642269770916,2.538241837508601,moderate_network_transition_concentration,0.9658119658119658,1.0,1.0,0.14901153343900359,0.21497820032771042,1.1606863758374064,-0.30488602664938114,0.30488602664938114,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,62,14,0.9829059829059829,0.017094017094017096
CA,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,117,0.6752136752136753,0.9145299145299146,0.9487179487179488,0.9314716513991267,0.5198642269770916,2.538241837508601,moderate_network_transition_concentration,0.9658119658119658,1.0,1.0,0.14901153343900359,0.21497820032771042,1.1606863758374064,-0.30488602664938114,0.30488602664938114,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,62,14,0.9829059829059829,0.017094017094017096
CN,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,36,0.4722222222222222,0.5833333333333333,0.6944444444444444,1.7450063400251588,0.7941866107017143,5.725937777895796,broad_network_transition_distribution,0.4722222222222222,0.9166666666666666,0.9722222222222222,0.9748428060696639,0.7032004409814928,2.6507504963420985,-0.09098616972022144,0.09098616972022144,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.08333333333333333,True,True,True,True,True,auditable,,19,9,0.3333333333333333,0.6666666666666666
FI,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,88,0.5227272727272727,0.6931818181818181,0.7954545454545454,1.6321524728616565,0.656826473944566,5.114872502327056,broad_network_transition_distribution,0.5340909090909091,0.8068181818181818,0.9772727272727272,1.0769132169057463,0.7768286787488504,2.935603978377649,0.12000220480428447,-0.12000220480428447,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.13636363636363635,True,True,True,True,True,auditable,,47,19,0.7272727272727273,0.2727272727272727
FI,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,88,0.5227272727272727,0.6931818181818181,0.7954545454545454,1.6321524728616565,0.656826473944566,5.114872502327056,broad_network_transition_distribution,0.5340909090909091,0.8068181818181818,0.9772727272727272,1.0769132169057463,0.7768286787488504,2.935603978377649,0.12000220480428447,-0.12000220480428447,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.13636363636363635,True,True,True,True,True,auditable,,47,19,0.7272727272727273,0.2727272727272727
ID,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,116,0.9051724137931034,0.9224137931034483,0.939655172413793,0.48119959996723205,0.2472876767721477,1.6180142082558318,severe_network_transition_concentration,0.9568965517241379,0.9741379310344828,0.9913793103448275,0.22315535431404682,0.16097256150834746,1.250014753836866,-0.08631511526380023,0.08631511526380023,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,54,43,1.0,0.0
ID,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,116,0.9051724137931034,0.9224137931034483,0.939655172413793,0.48119959996723205,0.2472876767721477,1.6180142082558318,severe_network_transition_concentration,0.9568965517241379,0.9741379310344828,0.9913793103448275,0.22315535431404682,0.16097256150834746,1.250014753836866,-0.08631511526380023,0.08631511526380023,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,54,43,1.0,0.0
JP,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,50,0.32,0.64,0.78,1.6883185161172642,0.811909583547797,5.410375592867799,broad_network_transition_distribution,0.5,0.8200000000000001,0.88,1.2662623028900355,0.706714447244183,3.5475680162947465,-0.10519513630361399,0.10519513630361399,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.14,True,True,True,True,True,auditable,,18,10,0.4,0.6
