probe_country,service_id,msm_id,file_name,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_unit_observation_mass,rank_within_unit,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
AD,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0126::landing_region_0431,landing_region_0126 -> landing_region_0431,12.0,12,12,6,3,1,1.0,1,True,False,False,0.0,12.0
AE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0337::landing_region_0377,landing_region_0337 -> landing_region_0377,18.0,18,18,5,3,2,1.0,1,True,False,False,18.0,0.0
AL,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0174,landing_region_0149 -> landing_region_0174,16.0,16,16,8,4,2,0.6666666666666666,1,True,False,False,16.0,0.0
AL,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0159,landing_region_0149 -> landing_region_0159,4.0,4,4,2,1,1,0.16666666666666666,2,False,True,False,0.0,4.0
AL,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0635,landing_region_0041 -> landing_region_0635,2.0,4,4,2,1,1,0.08333333333333333,3,False,False,True,2.0,0.0
AL,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0945,landing_region_0041 -> landing_region_0945,2.0,4,4,2,1,1,0.08333333333333333,4,False,False,False,2.0,0.0
AR,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0174::landing_region_0770,landing_region_0174 -> landing_region_0770,36.0,36,36,18,9,8,1.0,1,True,False,False,0.0,36.0
AT,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0376::landing_region_0376,landing_region_0376 -> landing_region_0376,8.0,8,8,4,2,2,1.0,1,True,False,False,4.0,4.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0735,landing_region_0041 -> landing_region_0735,520.0,520,520,176,94,39,0.4,1,True,False,False,520.0,0.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0009::landing_region_0735,landing_region_0009 -> landing_region_0735,140.0,140,140,70,35,20,0.1076923076923077,2,False,True,False,140.0,0.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0625,landing_region_0041 -> landing_region_0625,132.0,132,132,40,20,12,0.10153846153846154,3,False,False,True,132.0,0.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0009::landing_region_0945,landing_region_0009 -> landing_region_0945,124.0,124,124,61,31,15,0.09538461538461539,4,False,False,False,124.0,0.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0635,landing_region_0041 -> landing_region_0635,76.0,152,152,63,32,19,0.05846153846153846,5,False,False,False,76.0,0.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0945,landing_region_0041 -> landing_region_0945,76.0,152,152,63,32,19,0.05846153846153846,6,False,False,False,76.0,0.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0089,landing_region_0041 -> landing_region_0089,62.0,124,124,62,32,17,0.047692307692307694,7,False,False,False,0.0,62.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0615,landing_region_0041 -> landing_region_0615,62.0,124,124,62,32,17,0.047692307692307694,8,False,False,False,0.0,62.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0061::landing_region_0132,landing_region_0061 -> landing_region_0132,26.0,26,26,8,4,3,0.02,9,False,False,False,10.0,16.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0735,landing_region_0132 -> landing_region_0735,26.0,26,26,7,4,4,0.02,10,False,False,False,0.0,26.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0041,landing_region_0041 -> landing_region_0041,20.0,20,20,10,5,2,0.015384615384615385,11,False,False,False,20.0,0.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0266,landing_region_0041 -> landing_region_0266,16.0,16,16,4,2,1,0.012307692307692308,12,False,False,False,0.0,16.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0009::landing_region_0041,landing_region_0009 -> landing_region_0041,10.0,10,10,5,3,3,0.007692307692307693,13,False,False,False,10.0,0.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0260,landing_region_0132 -> landing_region_0260,4.0,4,4,2,1,1,0.003076923076923077,14,False,False,False,0.0,4.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0266,landing_region_0132 -> landing_region_0266,4.0,4,4,2,2,2,0.003076923076923077,15,False,False,False,0.0,4.0
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0735::landing_region_0945,landing_region_0735 -> landing_region_0945,2.0,2,2,1,1,1,0.0015384615384615385,16,False,False,False,2.0,0.0
AX,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0415::landing_region_0693,landing_region_0415 -> landing_region_0693,6.0,12,12,2,1,1,0.375,1,True,False,False,4.0,2.0
AX,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0415::landing_region_0415,landing_region_0415 -> landing_region_0415,4.0,8,8,2,1,1,0.25,2,False,True,False,4.0,0.0
AX,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0635,landing_region_0041 -> landing_region_0635,2.0,4,4,2,1,1,0.125,3,False,False,True,2.0,0.0
AX,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0945,landing_region_0041 -> landing_region_0945,2.0,4,4,2,1,1,0.125,4,False,False,False,2.0,0.0
AX,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0415::landing_region_0512,landing_region_0415 -> landing_region_0512,2.0,4,4,2,1,1,0.125,5,False,False,False,0.0,2.0
BB,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0174::landing_region_0603,landing_region_0174 -> landing_region_0603,4.0,4,4,2,1,1,1.0,1,True,False,False,0.0,4.0
BD,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0735,landing_region_0132 -> landing_region_0735,4.0,4,4,2,1,1,0.6666666666666666,1,True,False,False,0.0,4.0
BD,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0230::landing_region_0330,landing_region_0230 -> landing_region_0330,2.0,2,2,1,1,1,0.3333333333333333,2,False,True,False,0.0,2.0
BG,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0635,landing_region_0041 -> landing_region_0635,2.0,4,4,2,1,1,0.3333333333333333,1,True,False,False,2.0,0.0
BG,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0945,landing_region_0041 -> landing_region_0945,2.0,4,4,2,1,1,0.3333333333333333,2,False,True,False,2.0,0.0
BG,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0159,landing_region_0149 -> landing_region_0159,2.0,2,2,1,1,1,0.3333333333333333,3,False,False,True,0.0,2.0
BH,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0035::landing_region_0035,landing_region_0035 -> landing_region_0035,4.0,4,4,2,1,1,1.0,1,True,False,False,4.0,0.0
BJ,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0239::landing_region_0297,landing_region_0239 -> landing_region_0297,12.0,12,12,6,3,2,0.75,1,True,False,False,0.0,12.0
BJ,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0006::landing_region_0556,landing_region_0006 -> landing_region_0556,4.0,4,4,2,1,1,0.25,2,False,True,False,0.0,4.0
BL,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0174,landing_region_0149 -> landing_region_0174,4.0,4,4,2,1,1,1.0,1,True,False,False,4.0,0.0
BO,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0635,landing_region_0041 -> landing_region_0635,2.0,4,4,2,1,1,0.5,1,True,False,False,2.0,0.0
BO,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0945,landing_region_0041 -> landing_region_0945,2.0,4,4,2,1,1,0.5,2,False,True,False,2.0,0.0
BR,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0770::landing_region_0809,landing_region_0770 -> landing_region_0809,18.0,18,18,9,5,3,0.2903225806451613,1,True,False,False,18.0,0.0
