unit_id,num_links,num_links_with_feasible_candidates,avg_feasible_candidates_per_link,median_feasible_candidates_per_link,max_feasible_candidates_per_link,avg_feasible_corridors_per_link,median_feasible_corridors_per_link,max_feasible_corridors_per_link,share_links_with_parallel_ambiguity,share_links_with_many_candidates,share_links_with_large_landing_radius,share_links_with_rtt_inconclusive,share_links_with_multi_segment_possible,share_links_with_domestic_submarine_candidate,share_links_with_only_low_support_feasible_candidates
probe_country=AE|service_id=F-Root,28,28,7.607142857142857,8.5,14,2.5,2.5,4,0.5714285714285714,0.5,0.0,0.8214285714285714,0.07142857142857142,0.8571428571428571,0.4642857142857143
probe_country=AT|service_id=F-Root,9,9,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=AU|service_id=F-Root,495,495,2.9757575757575756,3.0,3,1.0,1.0,1,0.0,0.0,0.0,0.9171717171717172,0.0,1.0,0.6707070707070707
probe_country=AX|service_id=F-Root,6,6,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.6666666666666666
probe_country=BB|service_id=F-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.5,0.0,0.0,1.0
probe_country=BH|service_id=F-Root,8,8,4.0,4.0,4,1.0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.125
probe_country=BJ|service_id=F-Root,22,22,1.3636363636363635,1.0,2,1.2727272727272727,1.0,2,0.09090909090909091,0.0,0.0,0.4090909090909091,0.36363636363636365,0.5454545454545454,1.0
probe_country=CA|service_id=F-Root,454,454,1.9933920704845816,2.0,3,2.883259911894273,3.0,7,0.0,0.8788546255506607,0.0,0.8237885462555066,0.0,0.960352422907489,0.711453744493392
probe_country=CD|service_id=F-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=CH|service_id=F-Root,81,81,1.728395061728395,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.9753086419753086,0.0,1.0,1.0
probe_country=CK|service_id=F-Root,3,3,3.0,3.0,3,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=CN|service_id=F-Root,38,38,4.526315789473684,2.0,14,1.8157894736842106,1.0,4,0.21052631578947367,0.21052631578947367,0.0,0.8157894736842105,0.0,1.0,0.631578947368421
probe_country=CO|service_id=F-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=CR|service_id=F-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=CV|service_id=F-Root,18,18,1.0,1.0,1,1.6666666666666667,1.0,3,0.0,0.0,0.0,0.7777777777777778,0.0,0.8888888888888888,0.8333333333333334
probe_country=CW|service_id=F-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=DE|service_id=F-Root,33,33,2.242424242424242,2.0,6,1.121212121212121,1.0,3,0.06060606060606061,0.06060606060606061,0.0,0.9090909090909091,0.0,1.0,0.9393939393939394
probe_country=DJ|service_id=F-Root,4,4,2.5,2.5,4,1.0,1.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.5
probe_country=DK|service_id=F-Root,646,646,5.354489164086687,6.0,7,2.763157894736842,3.0,3,0.913312693498452,0.8188854489164087,0.0,0.9086687306501547,0.0,0.9365325077399381,0.47213622291021673
probe_country=DO|service_id=F-Root,4,4,1.5,1.5,2,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=EE|service_id=F-Root,12,12,2.0,2.0,2,2.0,2.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=ES|service_id=F-Root,28,28,1.25,1.0,3,1.1785714285714286,1.0,2,0.0,0.0,0.0,0.8928571428571429,0.0,0.9642857142857143,0.7857142857142857
probe_country=FI|service_id=F-Root,34,34,1.3235294117647058,1.0,3,1.1470588235294117,1.0,2,0.17647058823529413,0.0,0.0,0.8235294117647058,0.0,0.8529411764705882,1.0
probe_country=FJ|service_id=F-Root,4,4,3.0,3.0,3,1.0,1.0,1,0.0,0.0,0.0,0.75,0.0,1.0,1.0
probe_country=FM|service_id=F-Root,9,9,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0
probe_country=GB|service_id=F-Root,11,11,2.8181818181818183,3.0,3,1.0,1.0,1,0.18181818181818182,0.0,0.0,0.8181818181818182,0.0,1.0,0.8181818181818182
probe_country=GG|service_id=F-Root,4,4,3.0,3.0,3,2.0,2.0,2,0.0,0.0,0.0,0.5,0.0,1.0,0.5
probe_country=GH|service_id=F-Root,4,4,6.0,6.0,6,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0
probe_country=GP|service_id=F-Root,4,4,3.0,3.0,3,5.5,5.5,7,0.5,1.0,0.0,0.5,0.0,0.5,0.5
probe_country=GQ|service_id=F-Root,1,1,2.0,2.0,2,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=GU|service_id=F-Root,29,29,2.413793103448276,2.0,14,1.103448275862069,1.0,4,0.034482758620689655,0.034482758620689655,0.0,0.8275862068965517,0.06896551724137931,0.9655172413793104,1.0
probe_country=HK|service_id=F-Root,241,241,2.6390041493775933,2.0,14,1.1908713692946058,1.0,4,0.04979253112033195,0.04979253112033195,0.0,0.8713692946058091,0.0,0.991701244813278,0.8008298755186722
probe_country=ID|service_id=F-Root,403,403,2.9727047146401984,2.0,14,1.2878411910669976,1.0,7,0.08933002481389578,0.08684863523573201,0.0,0.8560794044665012,0.0,0.9826302729528535,0.71712158808933
probe_country=IL|service_id=F-Root,135,135,1.2518518518518518,1.0,2,2.762962962962963,2.0,5,0.0,0.8814814814814815,0.0,0.9925925925925926,0.0,1.0,0.37037037037037035
probe_country=IM|service_id=F-Root,7,7,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.42857142857142855,0.0,1.0,0.7142857142857143
probe_country=IN|service_id=F-Root,5,5,4.0,4.0,4,1.0,1.0,1,1.0,0.0,0.0,0.2,0.0,1.0,1.0
probe_country=IT|service_id=F-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=JM|service_id=F-Root,12,12,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.8333333333333334
probe_country=JP|service_id=F-Root,10,10,1.0,1.0,1,4.0,4.0,4,0.0,1.0,0.0,1.0,0.0,1.0,1.0
probe_country=KE|service_id=F-Root,6,6,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
probe_country=KH|service_id=F-Root,8,8,14.0,14.0,14,4.0,4.0,4,1.0,1.0,0.0,1.0,0.0,1.0,0.75
probe_country=KI|service_id=F-Root,6,6,3.0,3.0,3,1.0,1.0,1,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0
probe_country=KN|service_id=F-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.5,0.0,1.0,1.0
probe_country=KY|service_id=F-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=LA|service_id=F-Root,5,5,14.0,14.0,14,4.0,4.0,4,1.0,1.0,0.0,1.0,0.0,1.0,1.0
probe_country=LB|service_id=F-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=LC|service_id=F-Root,2,2,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=LK|service_id=F-Root,10,10,10.1,14.0,14,3.1,4.0,4,0.7,0.7,0.0,0.9,0.0,0.7,0.7
probe_country=LR|service_id=F-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=ML|service_id=F-Root,11,11,1.2727272727272727,1.0,4,1.0909090909090908,1.0,2,0.09090909090909091,0.0,0.0,0.8181818181818182,0.0,0.9090909090909091,0.9090909090909091
probe_country=MM|service_id=F-Root,21,21,12.142857142857142,14.0,14,3.5714285714285716,4.0,4,0.8571428571428571,0.8571428571428571,0.0,1.0,0.0,0.8571428571428571,0.3333333333333333
probe_country=MN|service_id=F-Root,2,2,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=MP|service_id=F-Root,2,2,5.0,5.0,5,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0
probe_country=MT|service_id=F-Root,40,40,1.1,1.0,2,1.0,1.0,1,0.1,0.0,0.0,0.8,0.0,0.9,1.0
probe_country=MV|service_id=F-Root,60,60,2.8,2.0,14,2.1,2.0,4,0.9666666666666667,0.06666666666666667,0.0,0.9666666666666667,0.0,0.9333333333333333,0.23333333333333334
probe_country=MX|service_id=F-Root,6,6,2.3333333333333335,2.0,3,1.0,1.0,1,0.3333333333333333,0.0,0.0,1.0,0.0,0.6666666666666666,1.0
probe_country=MY|service_id=F-Root,22,22,14.0,14.0,14,4.0,4.0,4,1.0,1.0,0.0,1.0,0.0,0.9090909090909091,0.6818181818181818
probe_country=NC|service_id=F-Root,20,20,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.95,0.0,1.0,0.55
probe_country=NO|service_id=F-Root,416,416,1.0528846153846154,1.0,6,1.375,1.0,4,0.01201923076923077,0.009615384615384616,0.0,0.8677884615384616,0.0,0.9975961538461539,0.9038461538461539
