country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AE,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,18,18.0,4,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,0.6666666666666666,0.7777777777777777,0.8888888888888888,1.0027182645175161,0.7233083338141042,2.72568088924821,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,6,1,0.7777777777777778,0.2222222222222222,transition_near_country
AU,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_149acfcae34c::landing_region_58084817cbe7,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,5,1,1.0,0.0,transition_near_country
AX,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_3eb4f4d89687::landing_region_71db3ba08a92,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
BJ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,10,10.0,3,landing_region_8afa8229a8fd::landing_region_c88b92706e9c,0.6,0.8,1.0,0.9502705392332347,0.8649735207179272,2.586409289858933,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,1,0.0,1.0,transition_near_country
CA,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,426,425.99999999999994,7,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.9652582159624414,0.9793427230046949,0.9887323943661973,0.20416597493786887,0.10492055608887488,1.2265017051078082,severe_corridor_observation_concentration,True,True,True,True,auditable,,71,22,1,0.9765258215962441,0.02347417840375587,transition_near_country
CN,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,7,7.0,1,landing_region_271ad44782a4::landing_region_319252418c1f,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,3,1,1.0,0.0,transition_near_country
CV,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_0e3c71b8e5bb::landing_region_dffdb65405f5,0.75,1.0,1.0,0.5623351446188083,0.8112781244591328,1.7547653506033232,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.75,0.25,transition_near_country
CW,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0c894d5ef6d3::landing_region_83c1ffe3b901,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0,transition_near_country
DJ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_173727a59ebb::landing_region_57424b247075,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
DK,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,1,1,0.0,1.0,transition_near_country
DO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0c894d5ef6d3::landing_region_508245093782,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
EE,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_5631d1801aee::landing_region_71db3ba08a92,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.0,1.0,transition_near_country
ES,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,6,6.0,3,landing_region_e7d55bab279f::landing_region_ea21c9a3a42e,0.5,0.8333333333333333,1.0,1.0114042647073518,0.920619835714305,2.7494592739972052,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.8333333333333334,0.16666666666666666,transition_near_country
FI,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,30,30.0,4,landing_region_5ff6ee2e39f7::landing_region_65aa8d7cf62e,0.6666666666666666,0.8999999999999999,0.9666666666666667,0.903787019142592,0.6519445252684181,2.4689353347235428,moderate_corridor_observation_concentration,True,True,True,True,auditable,,10,5,1,0.9666666666666667,0.03333333333333333,transition_near_country
FJ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_1cece50a3587::landing_region_64abd2b76b5b,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
GG,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0389fb1be871::landing_region_6f4e74811068,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
