country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
SG,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,1163.0,1163.0,2.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.998280309544282,1.0,1.0,0.012665091373030776,0.018271864516277093,1.0127456333072546,severe_corridor_observation_concentration,True,True,True,True,auditable,,195.0,97.0,1.0,0.998280309544282,0.0017196904557179708,country_corridor_concentration_summary,,,,,
,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,928.0,928.0,2.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9978448275862069,1.0,1.0,0.015385358170379499,0.022196379934706998,1.015504322111322,severe_corridor_observation_concentration,True,True,True,True,auditable,,137.0,60.0,1.0,0.9978448275862069,0.0021551724137931034,service_country_corridor_concentration_summary,SG,F-Root,all_publicly_visible,0.15086206896551724,True
CA,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,426.0,425.99999999999994,7.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.9652582159624414,0.9793427230046949,0.9887323943661973,0.20416597493786887,0.10492055608887488,1.2265017051078082,severe_corridor_observation_concentration,True,True,True,True,auditable,,71.0,22.0,1.0,0.9765258215962441,0.02347417840375587,country_corridor_concentration_summary,,,,,
,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,426.0,426.0,8.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.9417840375586856,0.9699530516431926,0.9840375586854462,0.3084105928680261,0.14831414429610879,1.3612597977723342,severe_corridor_observation_concentration,True,True,True,True,auditable,,75.0,25.0,1.0,0.9577464788732394,0.04225352112676056,service_country_corridor_concentration_summary,CA,F-Root,all_publicly_visible,0.21830985915492956,True
NZ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,102.0,102.0,5.0,landing_region_0850a0fd663e::landing_region_202dc066a01e,0.9117647058823529,0.946078431372549,0.9803921568627451,0.4063346403164242,0.2524699071503088,1.5013048655414818,severe_corridor_observation_concentration,True,True,True,True,auditable,,23.0,10.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
IL,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,133.0,133.0,3.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.8333333333333333,0.9373433583959899,0.9999999999999999,0.5609014511407011,0.5105545031001826,1.7522513575429033,severe_corridor_observation_concentration,True,True,True,True,auditable,,27.0,11.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,133.0,133.0,3.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.8333333333333333,0.9373433583959899,0.9999999999999999,0.5609014511407011,0.5105545031001826,1.7522513575429033,severe_corridor_observation_concentration,True,True,True,True,auditable,,27.0,11.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,IL,F-Root,all_publicly_visible,0.0,True
NO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,404.0,404.00000000000006,15.0,landing_region_2f1f6d8f7ce5::landing_region_d514e04d4eb8,0.8283828382838284,0.8894389438943895,0.9183168316831684,0.8262138743050246,0.30509547938540627,2.284652363603104,severe_corridor_observation_concentration,True,True,True,True,auditable,,79.0,28.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,395.0,395.00000000000006,16.0,landing_region_2f1f6d8f7ce5::landing_region_d514e04d4eb8,0.8219409282700423,0.8843881856540086,0.9139240506329115,0.8578711611995055,0.3094116174960458,2.3581352565999016,severe_corridor_observation_concentration,True,True,True,True,auditable,,77.0,28.0,1.0,0.9974683544303797,0.0025316455696202528,service_country_corridor_concentration_summary,NO,F-Root,all_publicly_visible,0.1341772151898734,True
TW,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,55.0,55.0,6.0,landing_region_3362110f86da::landing_region_7a95dbddaa36,0.8,0.8727272727272728,0.9454545454545455,0.7657359859247879,0.4273653908773204,2.150576586438796,severe_corridor_observation_concentration,True,True,True,True,auditable,,26.0,8.0,1.0,0.9090909090909091,0.09090909090909091,country_corridor_concentration_summary,,,,,
FI,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,30.0,30.0,4.0,landing_region_5ff6ee2e39f7::landing_region_65aa8d7cf62e,0.6666666666666666,0.8999999999999999,0.9666666666666667,0.903787019142592,0.6519445252684181,2.4689353347235428,moderate_corridor_observation_concentration,True,True,True,True,auditable,,10.0,5.0,1.0,0.9666666666666667,0.03333333333333333,country_corridor_concentration_summary,,,,,
SE,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,157.0,157.0,4.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,0.5159235668789809,0.8535031847133758,0.9872611464968153,1.0326972798703349,0.7449336222042271,2.808631291681151,moderate_corridor_observation_concentration,True,True,True,True,auditable,,92.0,21.0,1.0,0.37579617834394907,0.6242038216560509,country_corridor_concentration_summary,,,,,
