unit_id,num_links,num_links_with_feasible_candidates,avg_feasible_candidates_per_link,median_feasible_candidates_per_link,max_feasible_candidates_per_link,avg_feasible_corridors_per_link,median_feasible_corridors_per_link,max_feasible_corridors_per_link,share_links_with_parallel_ambiguity,share_links_with_many_candidates,share_links_with_large_landing_radius,share_links_with_rtt_inconclusive,share_links_with_multi_segment_possible,share_links_with_domestic_submarine_candidate,share_links_with_only_low_support_feasible_candidates
probe_country=AE|service_id=I-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.5,0.0,0.0,1.0,1.0
probe_country=AF|service_id=I-Root,14,14,5.142857142857143,3.0,12,1.0,1.0,1,0.2857142857142857,0.2857142857142857,0.0,0.7142857142857143,0.0,0.42857142857142855,0.7142857142857143
probe_country=AR|service_id=I-Root,7,7,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,1.0
probe_country=AT|service_id=I-Root,6,6,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0
probe_country=AU|service_id=I-Root,262,262,1.6221374045801527,2.0,3,1.1641221374045803,1.0,2,0.16793893129770993,0.03816793893129771,0.13740458015267176,0.37404580152671757,0.08015267175572519,0.7977099236641222,0.8587786259541985
probe_country=AX|service_id=I-Root,8,8,2.5,1.5,6,1.75,2.0,2,0.25,0.75,0.5,1.0,0.0,0.75,0.5
probe_country=BB|service_id=I-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
probe_country=BD|service_id=I-Root,19,19,5.157894736842105,2.0,12,1.0,1.0,1,0.3157894736842105,0.3157894736842105,0.0,0.631578947368421,0.0,0.3157894736842105,1.0
probe_country=BE|service_id=I-Root,4,4,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=BR|service_id=I-Root,21,21,2.4761904761904763,2.0,4,1.0,1.0,1,0.6666666666666666,0.0,0.047619047619047616,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.9047619047619048
probe_country=CA|service_id=I-Root,43,43,2.116279069767442,2.0,5,2.0232558139534884,2.0,3,0.0,0.4418604651162791,0.8837209302325582,0.7674418604651163,0.0,0.7441860465116279,0.7441860465116279
probe_country=CD|service_id=I-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=CH|service_id=I-Root,359,359,1.9832869080779945,2.0,2,1.0,1.0,1,0.0,0.0,0.1392757660167131,0.8384401114206128,0.0,0.6462395543175488,1.0
probe_country=CL|service_id=I-Root,8,8,1.0,1.0,1,1.0,1.0,1,0.0,0.0,1.0,0.75,0.0,1.0,1.0
probe_country=CM|service_id=I-Root,3,3,3.0,2.0,5,1.6666666666666667,2.0,2,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,0.0
probe_country=CN|service_id=I-Root,42,42,5.071428571428571,6.0,16,1.6904761904761905,2.0,3,0.7142857142857143,0.6666666666666666,0.8095238095238095,0.19047619047619047,0.0,0.2619047619047619,0.9523809523809523
probe_country=CO|service_id=I-Root,28,28,2.5714285714285716,1.5,6,1.1428571428571428,1.0,2,0.42857142857142855,0.14285714285714285,0.5357142857142857,0.42857142857142855,0.0,0.4642857142857143,0.8571428571428571
probe_country=CV|service_id=I-Root,2,2,2.0,2.0,2,2.0,2.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
probe_country=CW|service_id=I-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
probe_country=CY|service_id=I-Root,11,11,3.5454545454545454,5.0,5,1.6363636363636365,2.0,2,0.6363636363636364,0.0,1.0,0.6363636363636364,0.0,0.36363636363636365,0.7272727272727273
probe_country=CZ|service_id=I-Root,158,158,1.6962025316455696,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.8544303797468354,0.0,0.6962025316455697,1.0
probe_country=DE|service_id=I-Root,122,122,2.262295081967213,2.0,12,1.0327868852459017,1.0,2,0.07377049180327869,0.07377049180327869,0.1557377049180328,0.7213114754098361,0.0,0.7704918032786885,0.9754098360655737
probe_country=DK|service_id=I-Root,365,365,3.032876712328767,1.0,9,1.5561643835616439,2.0,3,0.32054794520547947,0.32054794520547947,0.3561643835616438,0.8712328767123287,0.0,0.5726027397260274,0.7589041095890411
probe_country=DO|service_id=I-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=EE|service_id=I-Root,32,32,3.875,4.0,6,1.75,2.0,2,0.875,0.125,1.0,1.0,0.0,0.125,0.15625
probe_country=ES|service_id=I-Root,22,22,1.8181818181818181,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.8181818181818182,1.0
probe_country=FI|service_id=I-Root,142,142,5.809859154929577,6.0,8,1.2112676056338028,1.0,4,0.9788732394366197,0.8873239436619719,0.9859154929577465,0.9295774647887324,0.0,0.9507042253521126,0.6690140845070423
probe_country=FM|service_id=I-Root,3,3,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
probe_country=FR|service_id=I-Root,287,287,1.0627177700348431,1.0,2,1.0,1.0,1,0.0,0.006968641114982578,0.020905923344947737,0.9721254355400697,0.0,0.08362369337979095,1.0
probe_country=GB|service_id=I-Root,9,9,1.8888888888888888,2.0,3,1.2222222222222223,1.0,2,0.2222222222222222,0.2222222222222222,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778
probe_country=GH|service_id=I-Root,2,2,6.0,6.0,6,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0
probe_country=GP|service_id=I-Root,3,3,3.3333333333333335,4.0,4,2.0,2.0,2,0.0,0.6666666666666666,1.0,0.3333333333333333,0.0,1.0,1.0
probe_country=GQ|service_id=I-Root,3,3,1.3333333333333333,1.0,2,1.0,1.0,1,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
probe_country=GR|service_id=I-Root,7,7,1.2857142857142858,1.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.2857142857142857,1.0
probe_country=GT|service_id=I-Root,4,4,2.5,2.5,3,1.0,1.0,1,1.0,0.0,0.5,0.25,0.0,0.0,0.0
probe_country=GU|service_id=I-Root,38,38,3.5789473684210527,4.0,4,1.4736842105263157,1.0,2,0.0,0.47368421052631576,0.7368421052631579,0.42105263157894735,0.15789473684210525,0.631578947368421,0.5
probe_country=HK|service_id=I-Root,28,28,2.7857142857142856,2.0,10,1.0,1.0,1,0.07142857142857142,0.2857142857142857,0.0,0.25,0.0,0.2857142857142857,0.8928571428571429
probe_country=HN|service_id=I-Root,10,10,6.0,6.0,6,2.0,2.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0
probe_country=HR|service_id=I-Root,6,6,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=ID|service_id=I-Root,247,247,8.34008097165992,12.0,16,1.3319838056680162,1.0,3,0.6032388663967612,0.611336032388664,0.22267206477732793,0.6072874493927125,0.06072874493927125,0.4331983805668016,0.728744939271255
probe_country=IE|service_id=I-Root,25,25,1.88,2.0,6,1.0,1.0,1,0.0,0.08,0.0,0.44,0.0,0.48,1.0
probe_country=IL|service_id=I-Root,38,38,1.6842105263157894,2.0,2,1.0,1.0,1,0.0,0.631578947368421,0.631578947368421,0.6578947368421053,0.0,0.6842105263157895,0.7105263157894737
probe_country=IM|service_id=I-Root,2,2,3.0,3.0,3,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=IN|service_id=I-Root,11,11,2.909090909090909,3.0,4,1.0,1.0,1,0.6363636363636364,0.0,0.0,0.5454545454545454,0.18181818181818182,0.6363636363636364,0.6363636363636364
probe_country=IQ|service_id=I-Root,4,4,4.5,4.5,6,2.0,2.0,2,1.0,1.0,1.0,0.5,0.0,0.5,0.5
