country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AE,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,1.0,0.0,transition_near_country
AU,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,190,190.0,5,landing_region_149acfcae34c::landing_region_58084817cbe7,0.3,0.5947368421052631,0.7578947368421052,1.5168948022000737,0.9424997326587982,4.558049552003806,broad_corridor_observation_distribution,False,False,True,True,auditable,,72,37,1,0.8368421052631579,0.1631578947368421,transition_near_country
AX,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_3eb4f4d89687::landing_region_71db3ba08a92,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
BR,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,5,5.0,2,landing_region_38c81e7bfa6f::landing_region_7f124bf07cd8,0.6,1.0,1.0,0.6730116670092565,0.9709505944546688,1.9601317042077895,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.6,0.4,transition_near_country
CA,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,159,158.99999999999994,7,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.8440251572327043,0.9446540880503144,0.9698113207547169,0.6143633795418008,0.31572032235920944,1.8484794450664779,severe_corridor_observation_concentration,True,True,True,True,auditable,,31,14,1,0.8742138364779873,0.12578616352201263,transition_near_country
CM,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_30beda532e6f::landing_region_99a747248ab4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
CN,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,3,3.0,2,landing_region_271ad44782a4::landing_region_319252418c1f,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,1.0,0.0,transition_near_country
CO,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,8,8.0,3,landing_region_0c894d5ef6d3::landing_region_61312bef9df1,0.5,0.75,1.0,1.0397207708399179,0.946394630357186,2.82842712474619,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,3,1,0.0,1.0,transition_near_country
CV,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_0e3c71b8e5bb::landing_region_dffdb65405f5,0.75,1.0,1.0,0.5623351446188083,0.8112781244591328,1.7547653506033232,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.75,0.25,transition_near_country
CW,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0c894d5ef6d3::landing_region_83c1ffe3b901,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,1,0.0,1.0,transition_near_country
CY,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,7,7.0,1,landing_region_08ea81d123b5::landing_region_3e7b4a85e943,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.0,1.0,transition_near_country
DK,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,73,73.0,1,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,37,16,1,0.0,1.0,transition_near_country
DO,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_0c894d5ef6d3::landing_region_508245093782,0.75,1.0,1.0,0.5623351446188083,0.8112781244591328,1.7547653506033232,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,1,0.0,1.0,transition_near_country
EE,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,12,12.0,1,landing_region_5631d1801aee::landing_region_71db3ba08a92,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,4,1,0.0,1.0,transition_near_country
ES,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,3,3.0,2,landing_region_e7d55bab279f::landing_region_ea21c9a3a42e,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,1,1.0,0.0,transition_near_country
FI,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,49,49.0,5,landing_region_65aa8d7cf62e::landing_region_71db3ba08a92,0.4897959183673469,0.7346938775510203,0.8775510204081632,1.3072281639311707,0.8122265256906555,3.6959150304975266,weak_corridor_observation_concentration,True,True,True,True,auditable,,23,15,1,0.42857142857142855,0.5714285714285714,transition_near_country
FJ,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_1cece50a3587::landing_region_58084817cbe7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
GG,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0389fb1be871::landing_region_6f4e74811068,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
GH,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_2e263771884f::landing_region_30beda532e6f,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
GP,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_24728f09c1b8::landing_region_89faef27b517,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,transition_near_country
GQ,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_26cbd7e9a6d0::landing_region_e871d8d12bd1,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
GU,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,9,9.0,4,landing_region_bc6c664daa8f::landing_region_df61fea74887,0.3333333333333333,0.5555555555555556,0.7777777777777777,1.3689223607402192,0.9874687506009635,3.9311120913133446,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,1,0.0,1.0,transition_near_country
HK,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,33,33.0,5,landing_region_319252418c1f::landing_region_6d0b3b188139,0.6666666666666666,0.9393939393939393,0.9696969696969696,0.8575739860316626,0.5328406764910085,2.3574345814760056,moderate_corridor_observation_concentration,True,True,True,True,auditable,,19,18,1,0.6666666666666666,0.3333333333333333,transition_near_country
HN,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,14,14.0,1,landing_region_0c894d5ef6d3::landing_region_620bdff3a2d2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,7,1,0.0,1.0,transition_near_country
ID,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,169,169.0,9,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.3905325443786982,0.6331360946745562,0.8757396449704142,1.4928896248796188,0.6794433487948268,4.4499356031874955,weak_corridor_observation_concentration,True,True,True,True,auditable,,55,43,1,0.4437869822485207,0.5562130177514792,transition_near_country
IE,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,2.0,2,landing_region_08337e5ad0be::landing_region_a371d3258cbb,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
IL,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,84,84.0,4,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.5952380952380952,0.8571428571428572,0.9404761904761905,1.0347138839522665,0.7463882945584467,2.814300903768655,moderate_corridor_observation_concentration,True,True,True,True,auditable,,22,9,1,0.7380952380952381,0.2619047619047619,transition_near_country
IN,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,7,7.0,2,landing_region_0074f164da96::landing_region_32509493c7f4,0.7142857142857143,1.0,1.0,0.5982695885852573,0.8631205685666311,1.8189685116531733,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,1,0.7142857142857143,0.2857142857142857,transition_near_country
IT,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_08ea81d123b5::landing_region_1d5c9bdda1cc,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0,transition_near_country
KE,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_57424b247075::landing_region_eafefa1c1ea4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0,transition_near_country
