country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
AE,landing_region_0337::landing_region_0377,landing_region_0337 -> landing_region_0377,6.0,6,6,6,3,3,1.0,1,True,False,False,6.0,0.0
AT,landing_region_0376::landing_region_0376,landing_region_0376 -> landing_region_0376,16.0,16,16,12,6,4,1.0,1,True,False,False,6.0,10.0
AU,landing_region_0009::landing_region_0945,landing_region_0009 -> landing_region_0945,58.0,58,58,47,24,11,0.19463087248322147,1,True,False,False,58.0,0.0
AU,landing_region_0041::landing_region_0735,landing_region_0041 -> landing_region_0735,51.0,51,51,51,28,14,0.17114093959731544,2,False,True,False,51.0,0.0
AU,landing_region_0041::landing_region_0625,landing_region_0041 -> landing_region_0625,31.0,31,31,31,18,10,0.1040268456375839,3,False,False,True,31.0,0.0
AU,landing_region_0009::landing_region_0735,landing_region_0009 -> landing_region_0735,30.0,30,30,30,15,6,0.10067114093959731,4,False,False,False,30.0,0.0
AU,landing_region_0041::landing_region_0635,landing_region_0041 -> landing_region_0635,26.0,51,51,49,26,17,0.087248322147651,5,False,False,False,26.0,0.0
AU,landing_region_0041::landing_region_0945,landing_region_0041 -> landing_region_0945,25.0,50,50,48,26,17,0.08389261744966443,6,False,False,False,25.0,0.0
AU,landing_region_0735::landing_region_0945,landing_region_0735 -> landing_region_0945,24.0,24,24,24,13,7,0.08053691275167785,7,False,False,False,24.0,0.0
AU,landing_region_0132::landing_region_0735,landing_region_0132 -> landing_region_0735,22.0,22,22,22,14,5,0.0738255033557047,8,False,False,False,0.0,22.0
AU,landing_region_0009::landing_region_0041,landing_region_0009 -> landing_region_0041,16.0,16,16,16,9,6,0.053691275167785234,9,False,False,False,16.0,0.0
AU,landing_region_0041::landing_region_0041,landing_region_0041 -> landing_region_0041,12.0,12,12,12,6,3,0.040268456375838924,10,False,False,False,12.0,0.0
AU,landing_region_0041::landing_region_0266,landing_region_0041 -> landing_region_0266,3.0,3,3,3,2,1,0.010067114093959731,11,False,False,False,0.0,3.0
AX,landing_region_0415::landing_region_0693,landing_region_0415 -> landing_region_0693,3.0,6,6,2,1,1,0.5,1,True,False,False,2.0,1.0
AX,landing_region_0415::landing_region_0415,landing_region_0415 -> landing_region_0415,2.0,4,4,2,1,1,0.3333333333333333,2,False,True,False,2.0,0.0
AX,landing_region_0415::landing_region_0512,landing_region_0415 -> landing_region_0512,1.0,2,2,2,1,1,0.16666666666666666,3,False,False,True,0.0,1.0
BR,landing_region_0770::landing_region_0809,landing_region_0770 -> landing_region_0809,11.0,11,11,9,6,6,0.34375,1,True,False,False,11.0,0.0
BR,landing_region_0610::landing_region_0770,landing_region_0610 -> landing_region_0770,9.0,9,9,9,5,4,0.28125,2,False,True,False,0.0,9.0
BR,landing_region_0174::landing_region_0770,landing_region_0174 -> landing_region_0770,5.0,5,5,5,3,3,0.15625,3,False,False,True,0.0,5.0
BR,landing_region_0763::landing_region_0809,landing_region_0763 -> landing_region_0809,3.0,3,3,3,2,1,0.09375,4,False,False,False,3.0,0.0
BR,landing_region_0591::landing_region_0770,landing_region_0591 -> landing_region_0770,2.0,2,2,2,1,1,0.0625,5,False,False,False,0.0,2.0
BR,landing_region_0763::landing_region_0770,landing_region_0763 -> landing_region_0770,2.0,2,2,2,1,1,0.0625,6,False,False,False,2.0,0.0
CA,landing_region_0008::landing_region_0008,landing_region_0008 -> landing_region_0008,7.666666666666666,23,23,23,12,3,0.18699186991869918,1,True,False,False,7.666666666666666,0.0
CA,landing_region_0008::landing_region_0293,landing_region_0008 -> landing_region_0293,7.666666666666666,23,23,23,12,3,0.18699186991869918,2,False,True,False,7.666666666666666,0.0
CA,landing_region_0293::landing_region_0293,landing_region_0293 -> landing_region_0293,7.666666666666666,23,23,23,12,3,0.18699186991869918,3,False,False,True,7.666666666666666,0.0
CA,landing_region_0008::landing_region_0223,landing_region_0008 -> landing_region_0223,6.0,12,12,12,7,3,0.14634146341463414,4,False,False,False,0.0,6.0
CA,landing_region_0200::landing_region_0944,landing_region_0200 -> landing_region_0944,6.0,6,6,6,3,3,0.14634146341463414,5,False,False,False,2.0,4.0
CA,landing_region_0223::landing_region_0293,landing_region_0223 -> landing_region_0293,6.0,12,12,12,7,3,0.14634146341463414,6,False,False,False,0.0,6.0
CH,landing_region_0376::landing_region_0376,landing_region_0376 -> landing_region_0376,558.0,558,558,426,218,81,1.0,1,True,False,False,425.0,133.0
CL,landing_region_0242::landing_region_0975,landing_region_0242 -> landing_region_0975,10.0,10,10,10,5,3,0.8333333333333334,1,True,False,False,10.0,0.0
CL,landing_region_0242::landing_region_0836,landing_region_0242 -> landing_region_0836,2.0,2,2,2,1,1,0.16666666666666666,2,False,True,False,2.0,0.0
CM,landing_region_0333::landing_region_0556,landing_region_0333 -> landing_region_0556,1.0,2,2,2,1,1,0.5,1,True,False,False,0.0,1.0
CM,landing_region_0556::landing_region_0577,landing_region_0556 -> landing_region_0577,1.0,2,2,2,1,1,0.5,2,False,True,False,0.0,1.0
CN,landing_region_0266::landing_region_0270,landing_region_0266 -> landing_region_0270,16.5,33,33,33,21,9,0.375,1,True,False,False,0.0,16.5
CN,landing_region_0266::landing_region_0579,landing_region_0266 -> landing_region_0579,16.5,33,33,33,21,9,0.375,2,False,True,False,0.0,16.5
CN,landing_region_0230::landing_region_0230,landing_region_0230 -> landing_region_0230,5.0,5,5,5,4,2,0.11363636363636363,3,False,False,True,5.0,0.0
CN,landing_region_0230::landing_region_0266,landing_region_0230 -> landing_region_0266,2.0,2,2,2,2,1,0.045454545454545456,4,False,False,False,0.0,2.0
CN,landing_region_0270::landing_region_0579,landing_region_0270 -> landing_region_0579,2.0,2,2,2,1,1,0.045454545454545456,5,False,False,False,2.0,0.0
CN,landing_region_0230::landing_region_0270,landing_region_0230 -> landing_region_0270,0.5,1,1,1,1,1,0.011363636363636364,6,False,False,False,0.5,0.0
CN,landing_region_0230::landing_region_0579,landing_region_0230 -> landing_region_0579,0.5,1,1,1,1,1,0.011363636363636364,7,False,False,False,0.5,0.0
CN,landing_region_0270::landing_region_0794,landing_region_0270 -> landing_region_0794,0.5,1,1,1,1,1,0.011363636363636364,8,False,False,False,0.5,0.0
CN,landing_region_0579::landing_region_0794,landing_region_0579 -> landing_region_0794,0.5,1,1,1,1,1,0.011363636363636364,9,False,False,False,0.5,0.0
CO,landing_region_0129::landing_region_0174,landing_region_0129 -> landing_region_0174,4.0,6,6,6,4,3,0.5,1,True,False,False,0.0,4.0
