probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
AD,6,2,0,0.0,0.3333333333333333,1,3,1,1,1
AE,40,40,2,0.05,1.0,1,20,14,1,1
AF,12,12,6,0.5,1.0,1,6,2,1,1
AL,46,42,0,0.0,0.9130434782608695,1,23,14,1,1
AM,29,29,0,0.0,1.0,1,14,7,1,1
AO,19,19,0,0.0,1.0,1,10,4,1,1
AR,101,95,7,0.06930693069306931,0.9405940594059405,1,51,39,1,1
AT,412,406,6,0.014563106796116505,0.9854368932038835,1,206,81,1,1
AU,480,366,131,0.27291666666666664,0.7625,1,240,71,1,1
AX,4,4,4,1.0,1.0,1,2,2,1,1
AZ,16,12,0,0.0,0.75,1,8,7,1,1
BA,30,28,0,0.0,0.9333333333333333,1,15,6,1,1
BB,2,2,1,0.5,1.0,1,1,1,1,1
BD,18,18,13,0.7222222222222222,1.0,1,9,6,1,1
BE,294,291,4,0.013605442176870748,0.9897959183673469,1,146,25,1,1
BF,8,6,0,0.0,0.75,1,4,3,1,1
BG,166,164,0,0.0,0.9879518072289156,1,83,51,1,1
BH,10,10,0,0.0,1.0,1,5,2,1,1
BI,2,2,0,0.0,1.0,1,1,1,1,1
BJ,14,14,0,0.0,1.0,1,7,4,1,1
BL,2,2,0,0.0,1.0,1,1,1,1,1
BO,36,32,0,0.0,0.8888888888888888,1,18,9,1,1
BR,174,164,19,0.10919540229885058,0.9425287356321839,1,87,58,1,1
BT,4,2,0,0.0,0.5,1,2,2,1,1
BW,2,2,0,0.0,1.0,1,1,1,1,1
BY,46,46,0,0.0,1.0,1,23,14,1,1
BZ,2,2,0,0.0,1.0,1,1,1,1,1
CA,541,490,35,0.06469500924214418,0.9057301293900185,1,271,85,1,1
CD,6,6,1,0.16666666666666666,1.0,1,3,3,1,1
CG,4,4,0,0.0,1.0,1,2,2,1,1
CH,646,618,235,0.3637770897832817,0.9566563467492261,1,324,81,1,1
CI,2,2,0,0.0,1.0,1,1,1,1,1
CK,2,2,0,0.0,1.0,1,1,1,1,1
CL,154,148,8,0.05194805194805195,0.961038961038961,1,76,33,1,1
CM,4,4,3,0.75,1.0,1,2,2,1,1
CN,99,91,39,0.3939393939393939,0.9191919191919192,1,50,23,1,1
CO,62,60,24,0.3870967741935484,0.967741935483871,1,31,22,1,1
CR,32,22,0,0.0,0.6875,1,16,8,1,1
CU,2,2,0,0.0,1.0,1,1,1,1,1
CV,8,8,2,0.25,1.0,1,4,2,1,1
CW,4,4,1,0.25,1.0,1,2,2,1,1
CY,26,24,7,0.2692307692307692,0.9230769230769231,1,13,6,1,1
CZ,554,545,158,0.2851985559566787,0.983754512635379,1,278,112,1,1
DE,3182,3106,112,0.03519798868636078,0.9761156505342552,1,1594,376,1,1
DJ,6,6,0,0.0,1.0,1,3,2,1,1
DK,216,206,184,0.8518518518518519,0.9537037037037037,1,108,35,1,1
DO,18,18,2,0.1111111111111111,1.0,1,9,7,1,1
DZ,2,2,0,0.0,1.0,1,1,1,1,1
EC,48,44,0,0.0,0.9166666666666666,1,24,19,1,1
EE,76,66,20,0.2631578947368421,0.868421052631579,1,38,22,1,1
EG,4,4,0,0.0,1.0,1,2,1,1,1
ES,458,382,22,0.048034934497816595,0.834061135371179,1,230,73,1,1
ET,2,2,0,0.0,1.0,1,1,1,1,1
FI,283,268,127,0.44876325088339225,0.9469964664310954,1,142,50,1,1
FJ,4,2,0,0.0,0.5,1,2,2,1,1
FM,5,3,3,0.6,0.6,1,3,1,1,1
FR,1900,1826,287,0.15105263157894736,0.9610526315789474,1,951,163,1,1
GB,1043,987,9,0.00862895493767977,0.9463087248322147,1,522,186,1,1
GE,20,20,0,0.0,1.0,1,10,6,1,1
GF,2,2,0,0.0,1.0,1,1,1,1,1
GG,2,2,0,0.0,1.0,1,1,1,1,1
GH,6,6,2,0.3333333333333333,1.0,1,3,3,1,1
GP,4,4,3,0.75,1.0,1,2,2,1,1
GQ,2,2,2,1.0,1.0,1,1,1,1,1
GR,146,136,7,0.04794520547945205,0.9315068493150684,1,73,26,1,1
GT,8,4,2,0.25,0.5,1,4,3,1,1
GU,18,18,16,0.8888888888888888,1.0,1,9,5,1,1
HK,98,92,24,0.24489795918367346,0.9387755102040817,1,49,32,1,1
HN,18,14,10,0.5555555555555556,0.7777777777777778,1,9,6,1,1
HR,84,84,6,0.07142857142857142,1.0,1,42,20,1,1
HT,2,2,0,0.0,1.0,1,1,1,1,1
HU,110,96,0,0.0,0.8727272727272727,1,55,23,1,1
