metric,value
candidate_rows,2555.0
unique_links,791.0
unique_units,57.0
units_with_network_layer_diversity,104.0
units_with_physical_diversity_cable,57.0
units_with_physical_diversity_corridor,57.0
units_with_network_physical_mismatch_cable,57.0
units_with_network_physical_mismatch_corridor,57.0
median_network_layer_diversity_score,4.750928189097522
median_cable_physical_candidate_diversity_score,2.0
median_corridor_physical_candidate_diversity_score,1.6891394209729609
cable_mismatch_network_high_physical_low,12.0
cable_mismatch_network_high_physical_high,17.0
cable_mismatch_network_low_physical_low,18.0
cable_mismatch_network_low_physical_high,10.0
corridor_mismatch_network_high_physical_low,10.0
corridor_mismatch_network_high_physical_high,19.0
corridor_mismatch_network_low_physical_low,19.0
corridor_mismatch_network_low_physical_high,9.0
cable_corridor_target_quadrant_preserved,7.0
cable_corridor_target_quadrant_jaccard,0.4666666666666667
cable_corridor_target_quadrant_recall_from_cable,0.5833333333333334
cable_corridor_target_quadrant_precision_to_corridor,0.7
mean_corridor_minus_cable_physical_diversity,-0.8736418104317019
cable_corridor_quadrant_agreement_rate,0.6666666666666666
spearman_cable_corridor_physical_diversity_score,0.4961682676034324
