probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
MV,I-Root,dns_root,anycast,all_publicly_visible,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7083333333333334,0.8333333333333334,20,0.8333333333333334,1.0,12,4,1,1,0.0,False,0.2698412698412698,True,True,auditable,
SG,I-Root,dns_root,anycast,all_publicly_visible,296,279,243,0.8209459459459459,0.847972972972973,0.8209459459459459,0.8209459459459459,0.15202702702702703,0.8040540540540541,243,0.8209459459459459,0.9425675675675675,148,66,1,1,0.0,True,0.11021505376344086,True,True,auditable,
ID,I-Root,dns_root,anycast,all_publicly_visible,193,186,158,0.8186528497409327,0.8186528497409327,0.8186528497409327,0.8134715025906736,0.6010362694300518,0.5284974093264249,158,0.8186528497409327,0.9637305699481865,96,66,1,1,0.0,True,0.23741007194244604,True,True,auditable,
NZ,I-Root,dns_root,anycast,all_publicly_visible,232,227,165,0.7112068965517241,0.978448275862069,0.7112068965517241,0.3146551724137931,0.6422413793103449,0.9698275862068966,165,0.7112068965517241,0.978448275862069,116,35,1,1,0.0,True,0.15857605177993528,True,True,auditable,
IL,I-Root,dns_root,anycast,all_publicly_visible,68,66,46,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.5882352941176471,0.3235294117647059,0.5588235294117647,46,0.6764705882352942,0.9705882352941176,34,13,1,1,0.029411764705882353,True,0.0,True,True,auditable,
PH,I-Root,dns_root,anycast,all_publicly_visible,132,126,48,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.16666666666666666,0.25,0.09090909090909091,48,0.36363636363636365,0.9545454545454546,66,35,1,1,0.0,True,0.20689655172413793,True,True,auditable,
PT,I-Root,dns_root,anycast,all_publicly_visible,208,186,67,0.32211538461538464,0.34134615384615385,0.32211538461538464,0.3125,0.009615384615384616,0.019230769230769232,67,0.32211538461538464,0.8942307692307693,104,23,1,1,0.0,True,0.0,True,True,auditable,
RU,I-Root,dns_root,anycast,all_publicly_visible,1042,988,300,0.28790786948176583,0.30998080614203455,0.28790786948176583,0.2869481765834933,0.0009596928982725527,0.022072936660268713,300,0.28790786948176583,0.9481765834932822,519,308,1,1,0.0,True,0.0,True,True,auditable,
AU,I-Root,dns_root,anycast,all_publicly_visible,560,444,132,0.2357142857142857,0.5732142857142857,0.2357142857142857,0.2357142857142857,0.05357142857142857,0.5375,132,0.2357142857142857,0.7928571428571428,280,77,1,1,0.007142857142857143,True,0.25203252032520324,True,True,auditable,
CZ,I-Root,dns_root,anycast,all_publicly_visible,573,562,118,0.20593368237347295,0.20593368237347295,0.20593368237347295,0.20593368237347295,0.0,0.0,118,0.20593368237347295,0.9808027923211169,287,113,1,1,0.0,True,0.0,True,True,auditable,
HK,I-Root,dns_root,anycast,all_publicly_visible,132,122,18,0.13636363636363635,0.7727272727272727,0.13636363636363635,0.12878787878787878,0.022727272727272728,0.7727272727272727,18,0.13636363636363635,0.9242424242424242,66,40,1,1,0.0,True,0.10526315789473684,True,True,auditable,
NL,I-Root,dns_root,anycast,all_publicly_visible,1331,990,111,0.08339594290007513,0.08339594290007513,0.08339594290007513,0.08339594290007513,0.0,0.0015026296018031556,111,0.08339594290007513,0.743801652892562,668,185,1,1,0.004507888805409466,True,0.017699115044247787,True,True,auditable,
PL,I-Root,dns_root,anycast,all_publicly_visible,468,447,33,0.07051282051282051,0.07051282051282051,0.07051282051282051,0.0641025641025641,0.00641025641025641,0.0,33,0.07051282051282051,0.9551282051282052,234,133,1,1,0.0,True,0.06060606060606061,True,True,auditable,
ES,I-Root,dns_root,anycast,all_publicly_visible,502,412,29,0.05776892430278884,0.05776892430278884,0.05776892430278884,0.05776892430278884,0.0,0.00398406374501992,29,0.05776892430278884,0.8207171314741036,251,79,1,1,0.0,True,0.12121212121212122,True,True,auditable,
IT,I-Root,dns_root,anycast,all_publicly_visible,686,645,32,0.04664723032069971,0.04664723032069971,0.04664723032069971,0.04081632653061224,0.0058309037900874635,0.0,32,0.04664723032069971,0.9402332361516035,345,117,1,1,0.0,True,0.0,True,True,auditable,
DE,I-Root,dns_root,anycast,all_publicly_visible,3620,3518,99,0.027348066298342542,0.032044198895027624,0.027348066298342542,0.027348066298342542,0.0005524861878453039,0.0066298342541436465,99,0.027348066298342542,0.9718232044198895,1813,408,1,1,0.0,True,0.08256880733944955,True,True,auditable,
