probe_country,service_id,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,2,8966->8966,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
AF,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,14,3,55818->55818,0.42857142857142855,0.7142857142857142,1.0,2.941713421083178,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,0.42857142857142855,0.5714285714285714
AR,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,7,2,174->174,0.5714285714285714,1.0,1.0,1.9796263300525183,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0
AT,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,6,3,4766->-1,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.3333333333333333,0.6666666666666666
AU,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,262,25,-1->-1,0.22137404580152673,0.41984732824427484,0.5267175572519084,12.478762341331079,broad_network_transition_distribution,0.0,True,True,auditable,,70,30,0.7977099236641222,0.20229007633587787
AX,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,8,2,3238->3238,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.75,0.25
BB,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,1,1,23520->23520,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BD,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,19,3,-1->4651,0.3684210526315789,0.6842105263157894,1.0,2.991835726058011,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,5,0.3157894736842105,0.6842105263157895
BE,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,1,55818->55818,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1.0,0.0
BR,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,21,8,-1->-1,0.47619047619047616,0.5714285714285714,0.6666666666666666,5.387046507994497,broad_network_transition_distribution,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,11,9,0.6666666666666666,0.3333333333333333
CA,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,43,8,5769->-1,0.3953488372093023,0.6976744186046511,0.7674418604651162,5.092649986418534,broad_network_transition_distribution,0.0,True,True,auditable,,19,8,0.7441860465116279,0.2558139534883721
CD,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,1,1,30844->30844,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CH,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,359,28,13030->-1,0.30362116991643456,0.6072423398328691,0.754874651810585,8.10966362892563,broad_network_transition_distribution,0.0,True,True,auditable,,121,31,0.6462395543175488,0.35376044568245124
CL,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,8,4,31898->174,0.25,0.5,0.75,4.0,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,1.0,0.0
CM,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,3,2,60171->60171,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
CN,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,42,8,4837->4837,0.38095238095238093,0.6904761904761905,0.8333333333333333,4.785319487052018,weak_network_transition_concentration,0.0,True,True,auditable,,24,12,0.2619047619047619,0.7380952380952381
CO,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,28,5,52320->52320,0.6071428571428571,0.8214285714285714,0.8928571428571428,3.092778203914302,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,15,10,0.4642857142857143,0.5357142857142857
CV,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,37575->8657,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CW,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,1,1,23520->23520,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
