country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
AE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,35,35.0,4,landing_region_0132::landing_region_0377,0.45714285714285713,0.9142857142857143,0.9571428571428571,2.679568164880742,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,9,6,1,0.5428571428571428,0.45714285714285713
AL,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,29,29.0,1,landing_region_0128::landing_region_0341,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,7,1,0.0,1.0
AO,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0214::landing_region_0239,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
AT,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,26,26.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,4,1,0.34615384615384615,0.6538461538461539
AU,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,828,828.0,11,landing_region_0041::landing_region_0625,0.5181159420289855,0.6159420289855072,0.7137681159420289,5.336239849090599,broad_corridor_observation_distribution,False,False,True,True,auditable,,152,73,1,0.9057971014492754,0.09420289855072464
AX,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,9,9.0,3,landing_region_0415::landing_region_0693,0.5,0.8333333333333333,1.0,2.7494592739972052,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.6666666666666666,0.3333333333333333
BH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,7,7.0,1,landing_region_0035::landing_region_0337,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0
BJ,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,9,9.0,1,landing_region_0239::landing_region_0297,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.0,1.0
BR,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,48,48.0,5,landing_region_0770::landing_region_0809,0.5625,0.75,0.9166666666666666,3.2873320449433665,weak_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,8,6,1,0.7708333333333334,0.22916666666666666
CA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,227,227.0,8,landing_region_0008::landing_region_0008,0.19765051395007344,0.3953010279001469,0.5929515418502203,6.082189880891097,broad_corridor_observation_distribution,False,False,True,True,auditable,,54,11,1,0.27312775330396477,0.7268722466960352
