probe_country,country_geography_type,country_geography_classification_source,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_inter_region_candidates,traces_with_domestic_inter_region_candidates,traces_with_international_inter_region_candidates,traces_with_intra_region_candidates,inter_region_candidate_exposure_rate,inter_region_candidate_rate_among_mappable_traces,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,candidate_dependency_proxy_rate,candidate_dependency_proxy_tier,unique_services,unique_probes,unique_probe_asns,service_entry_resolution_rate,geography_summary_eligible,geography_summary_eligibility_reason,candidate_dependency_proxy_interpretation
?,unknown,unclassified_or_missing_country_code,all_publicly_visible,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,1,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
?,unknown,unclassified_or_missing_country_code,resolved_entry_only,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,1,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AD,landlocked,catalog_landlocked_list,all_publicly_visible,6,6,6,0,6,0,1.0,1.0,0.0,1.0,0.0,1.0,very_high_candidate_dependency_proxy,1,3,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AD,landlocked,catalog_landlocked_list,resolved_entry_only,6,6,6,0,6,0,1.0,1.0,0.0,1.0,0.0,1.0,very_high_candidate_dependency_proxy,1,3,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AE,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,44,44,28,27,1,25,0.6363636363636364,0.6363636363636364,0.6136363636363636,0.022727272727272728,0.5681818181818182,0.6363636363636364,very_high_candidate_dependency_proxy,1,22,14,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AE,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,44,44,28,27,1,25,0.6363636363636364,0.6363636363636364,0.6136363636363636,0.022727272727272728,0.5681818181818182,0.6363636363636364,very_high_candidate_dependency_proxy,1,22,14,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AF,landlocked,catalog_landlocked_list,all_publicly_visible,12,12,4,2,4,2,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,very_high_candidate_dependency_proxy,1,6,2,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AF,landlocked,catalog_landlocked_list,resolved_entry_only,12,12,4,2,4,2,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,very_high_candidate_dependency_proxy,1,6,2,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AL,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,58,54,24,4,21,4,0.41379310344827586,0.4444444444444444,0.06896551724137931,0.3620689655172414,0.06896551724137931,0.41379310344827586,very_high_candidate_dependency_proxy,1,29,20,0.896551724137931,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AL,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,52,52,24,4,21,4,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.40384615384615385,0.07692307692307693,0.46153846153846156,very_high_candidate_dependency_proxy,1,26,17,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AM,landlocked,catalog_landlocked_list,all_publicly_visible,42,41,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,21,10,0.9761904761904762,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AM,landlocked,catalog_landlocked_list,resolved_entry_only,41,41,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,21,10,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AO,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,24,24,2,1,2,0,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.0,0.08333333333333333,moderate_candidate_dependency_proxy,1,12,5,1.0,False,insufficient_minimum_mappable_traces,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AO,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,24,24,2,1,2,0,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.0,0.08333333333333333,moderate_candidate_dependency_proxy,1,12,5,1.0,False,insufficient_minimum_mappable_traces,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AR,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,113,109,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,57,42,0.9646017699115044,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AR,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,109,109,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,55,41,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AT,landlocked,catalog_landlocked_list,all_publicly_visible,448,438,0,0,0,6,0.0,0.0,0.0,0.0,0.013392857142857142,0.0,no_observed_inter_region_candidate_exposure,1,225,85,0.9598214285714286,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AT,landlocked,catalog_landlocked_list,resolved_entry_only,430,430,0,0,0,6,0.0,0.0,0.0,0.0,0.013953488372093023,0.0,no_observed_inter_region_candidate_exposure,1,216,81,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AU,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,560,513,150,147,35,193,0.26785714285714285,0.29239766081871343,0.2625,0.0625,0.34464285714285714,0.26785714285714285,high_candidate_dependency_proxy,1,280,77,0.9160714285714285,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
