probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
?,2,2,0,0.0,1.0,1,1,1,1,1
AD,6,6,6,1.0,1.0,1,3,1,1,1
AE,44,44,28,0.6363636363636364,1.0,1,22,14,1,1
AF,12,12,4,0.3333333333333333,1.0,1,6,2,1,1
AL,58,54,24,0.41379310344827586,0.9310344827586207,1,29,20,1,1
AM,42,41,0,0.0,0.9761904761904762,1,21,10,1,1
AO,24,24,2,0.08333333333333333,1.0,1,12,5,1,1
AR,113,109,0,0.0,0.9646017699115044,1,57,42,1,1
AT,448,438,6,0.013392857142857142,0.9776785714285714,1,225,85,1,1
AU,560,513,266,0.475,0.9160714285714285,1,280,77,1,1
AX,4,4,4,1.0,1.0,1,2,2,1,1
AZ,18,14,0,0.0,0.7777777777777778,1,9,8,1,1
BA,30,28,0,0.0,0.9333333333333333,1,15,7,1,1
BB,2,2,0,0.0,1.0,1,1,1,1,1
BD,22,22,0,0.0,1.0,1,11,7,1,1
BE,322,316,24,0.07453416149068323,0.9813664596273292,1,160,28,1,1
BF,9,7,0,0.0,0.7777777777777778,1,5,4,1,1
BG,180,178,4,0.022222222222222223,0.9888888888888889,1,90,50,1,1
BH,12,12,7,0.5833333333333334,1.0,1,6,3,1,1
BI,2,2,0,0.0,1.0,1,1,1,1,1
BJ,20,20,10,0.5,1.0,1,10,5,1,1
BL,2,2,0,0.0,1.0,1,1,1,1,1
BO,36,36,0,0.0,1.0,1,18,8,1,1
BR,217,193,0,0.0,0.8894009216589862,1,109,70,1,1
BT,4,2,2,0.5,0.5,1,2,2,1,1
BW,2,2,2,1.0,1.0,1,1,1,1,1
BY,54,54,0,0.0,1.0,1,27,14,1,1
CA,620,597,161,0.25967741935483873,0.9629032258064516,1,311,95,1,1
CD,6,6,4,0.6666666666666666,1.0,1,3,3,1,1
CG,6,6,0,0.0,1.0,1,3,2,1,1
CH,679,651,36,0.053019145802650956,0.9587628865979382,1,340,86,1,1
CI,4,4,4,1.0,1.0,1,2,2,1,1
CK,2,2,2,1.0,1.0,1,1,1,1,1
CL,176,174,1,0.005681818181818182,0.9886363636363636,1,87,37,1,1
CM,4,4,2,0.5,1.0,1,2,2,1,1
CN,158,149,24,0.1518987341772152,0.9430379746835443,1,79,27,1,1
CO,86,80,12,0.13953488372093023,0.9302325581395349,1,43,29,1,1
CR,36,30,0,0.0,0.8333333333333334,1,18,9,1,1
CU,2,2,1,0.5,1.0,1,1,1,1,1
CV,8,8,2,0.25,1.0,1,4,2,1,1
CW,4,4,0,0.0,1.0,1,2,2,1,1
CY,28,26,6,0.21428571428571427,0.9285714285714286,1,14,7,1,1
CZ,566,558,2,0.0035335689045936395,0.9858657243816255,1,284,112,1,1
DE,3609,3506,92,0.025491825990579108,0.971460238293156,1,1808,408,1,1
DJ,6,6,4,0.6666666666666666,1.0,1,3,2,1,1
DK,220,210,183,0.8318181818181818,0.9545454545454546,1,110,36,1,1
DO,18,18,10,0.5555555555555556,1.0,1,9,7,1,1
DZ,2,2,0,0.0,1.0,1,1,1,1,1
EC,53,51,0,0.0,0.9622641509433962,1,27,20,1,1
EE,84,72,26,0.30952380952380953,0.8571428571428571,1,42,22,1,1
EG,6,4,0,0.0,0.6666666666666666,1,3,2,1,1
ES,503,480,42,0.08349900596421471,0.9542743538767395,1,251,79,1,1
ET,2,2,1,0.5,1.0,1,1,1,1,1
FI,353,337,149,0.42209631728045327,0.9546742209631728,1,178,62,1,1
FJ,4,2,2,0.5,0.5,1,2,2,1,1
FM,5,3,3,0.6,0.6,1,3,1,1,1
FR,2144,2062,35,0.01632462686567164,0.9617537313432836,1,1072,179,1,1
GB,1221,1163,36,0.029484029484029485,0.9524979524979525,1,611,205,1,1
GE,32,32,0,0.0,1.0,1,16,11,1,1
GF,2,2,0,0.0,1.0,1,1,1,1,1
GG,2,2,2,1.0,1.0,1,1,1,1,1
GH,6,6,2,0.3333333333333333,1.0,1,3,3,1,1
GP,4,4,2,0.5,1.0,1,2,2,1,1
GQ,2,2,2,1.0,1.0,1,1,1,1,1
GR,151,141,0,0.0,0.9337748344370861,1,76,25,1,1
GT,8,4,0,0.0,0.5,1,4,3,1,1
GU,18,18,18,1.0,1.0,1,9,5,1,1
HK,132,123,95,0.7196969696969697,0.9318181818181818,1,66,40,1,1
HN,22,18,8,0.36363636363636365,0.8181818181818182,1,11,8,1,1
HR,94,94,4,0.0425531914893617,1.0,1,47,22,1,1
HT,2,2,0,0.0,1.0,1,1,1,1,1
HU,110,104,2,0.01818181818181818,0.9454545454545454,1,55,21,1,1
ID,192,187,136,0.7083333333333334,0.9739583333333334,1,96,66,1,1
IE,199,191,0,0.0,0.9597989949748744,1,100,27,1,1
IL,67,65,50,0.746268656716418,0.9701492537313433,1,34,13,1,1
IM,6,6,4,0.6666666666666666,1.0,1,3,3,1,1
IN,308,272,89,0.288961038961039,0.8831168831168831,1,152,63,1,1
IQ,20,18,0,0.0,0.9,1,10,8,1,1
IR,94,51,5,0.05319148936170213,0.5425531914893617,1,47,24,1,1
IS,24,24,0,0.0,1.0,1,12,9,1,1
IT,688,654,46,0.06686046511627906,0.9505813953488372,1,345,117,1,1
JM,12,12,8,0.6666666666666666,1.0,1,6,3,1,1
JO,8,6,0,0.0,0.75,1,4,4,1,1
JP,581,546,10,0.01721170395869191,0.9397590361445783,1,290,117,1,1
KE,34,32,14,0.4117647058823529,0.9411764705882353,1,17,11,1,1
KG,46,40,0,0.0,0.8695652173913043,1,23,12,1,1
KH,14,12,0,0.0,0.8571428571428571,1,7,7,1,1
KI,4,4,3,0.75,1.0,1,2,1,1,1
KN,2,2,2,1.0,1.0,1,1,1,1,1
KR,70,62,0,0.0,0.8857142857142857,1,35,14,1,1
KW,4,2,0,0.0,0.5,1,2,2,1,1
KY,2,2,2,1.0,1.0,1,1,1,1,1
KZ,144,144,0,0.0,1.0,1,72,23,1,1
LA,8,8,7,0.875,1.0,1,4,1,1,1
LB,8,6,2,0.25,0.75,1,4,4,1,1
LC,4,4,2,0.5,1.0,1,2,1,1,1
LI,6,6,0,0.0,1.0,1,3,3,1,1
LK,26,24,0,0.0,0.9230769230769231,1,13,6,1,1
LR,2,2,0,0.0,1.0,1,1,1,1,1
LS,2,2,1,0.5,1.0,1,1,1,1,1
LT,86,82,6,0.06976744186046512,0.9534883720930233,1,43,25,1,1
LU,95,91,0,0.0,0.9578947368421052,1,48,22,1,1
LV,62,58,0,0.0,0.9354838709677419,1,31,21,1,1
MA,2,2,0,0.0,1.0,1,1,1,1,1
MD,52,52,4,0.07692307692307693,1.0,1,26,14,1,1
ME,12,12,0,0.0,1.0,1,6,5,1,1
MG,4,4,2,0.5,1.0,1,2,1,1,1
MH,2,2,0,0.0,1.0,1,1,1,1,1
MK,26,24,2,0.07692307692307693,0.9230769230769231,1,13,10,1,1
ML,2,2,2,1.0,1.0,1,1,1,1,1
MM,6,6,6,1.0,1.0,1,3,3,1,1
MN,15,15,3,0.2,1.0,1,8,8,1,1
MP,2,2,2,1.0,1.0,1,1,1,1,1
MT,18,18,18,1.0,1.0,1,9,3,1,1
MU,16,14,2,0.125,0.875,1,8,4,1,1
MV,24,24,22,0.9166666666666666,1.0,1,12,4,1,1
MW,2,2,1,0.5,1.0,1,1,1,1,1
MX,115,109,5,0.043478260869565216,0.9478260869565217,1,58,27,1,1
MY,72,70,2,0.027777777777777776,0.9722222222222222,1,36,20,1,1
MZ,5,5,4,0.8,1.0,1,3,3,1,1
NA,8,8,6,0.75,1.0,1,4,3,1,1
NC,10,10,10,1.0,1.0,1,5,2,1,1
NG,20,20,7,0.35,1.0,1,10,6,1,1
NI,14,10,0,0.0,0.7142857142857143,1,7,5,1,1
NL,1335,1280,6,0.0044943820224719105,0.9588014981273408,1,669,185,1,1
NO,184,176,150,0.8152173913043478,0.9565217391304348,1,93,35,1,1
NP,31,31,1,0.03225806451612903,1.0,1,16,10,1,1
NU,2,2,0,0.0,1.0,1,1,1,1,1
NZ,231,215,200,0.8658008658008658,0.9307359307359307,1,116,35,1,1
OM,4,4,4,1.0,1.0,1,2,2,1,1
PA,44,42,3,0.06818181818181818,0.9545454545454546,1,22,10,1,1
