country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
DK,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,38.0,38.0,1.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,21.0,6.0,1.0,0.0,1.0,country_corridor_concentration_summary,,,,,
SG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,1949.0,1949.0,4.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9738327347357619,0.9979476654694716,0.9989738327347357,0.12977217438337824,0.09361083621413878,1.1385689585988856,severe_corridor_observation_concentration,True,True,True,True,auditable,,465.0,190.0,1.0,0.9738327347357619,0.02616726526423807,country_corridor_concentration_summary,,,,,
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,510.0,510.0,5.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9549019607843138,0.9921568627450981,0.996078431372549,0.2128121709997371,0.13222763634161058,1.2371522563475508,severe_corridor_observation_concentration,True,True,True,True,auditable,,93.0,45.0,1.0,0.9549019607843138,0.045098039215686274,service_country_corridor_concentration_summary,SG,M-Root,all_publicly_visible,0.2647058823529412,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,510.0,510.0,5.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9549019607843138,0.9921568627450981,0.996078431372549,0.2128121709997371,0.13222763634161058,1.2371522563475508,severe_corridor_observation_concentration,True,True,True,True,auditable,,93.0,45.0,1.0,0.9549019607843138,0.045098039215686274,service_country_corridor_concentration_summary,SG,M-Root,resolved_entry_only,0.2647058823529412,True
CA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,367.0,367.0,9.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.9024523160762944,0.946049046321526,0.9732970027247958,0.46757095503401064,0.21280071225166478,1.5961124517476082,severe_corridor_observation_concentration,True,True,True,True,auditable,,64.0,18.0,1.0,0.7057220708446866,0.29427792915531337,country_corridor_concentration_summary,,,,,
ES,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,40.0,40.0,3.0,landing_region_08ea81d123b5::landing_region_8eb611963dd1,0.9,0.975,1.0,0.38131648785332906,0.34708922500367606,1.4642109370627328,severe_corridor_observation_concentration,True,True,True,True,auditable,,23.0,13.0,1.0,0.1,0.9,country_corridor_concentration_summary,,,,,
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,219.0,219.0,3.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.867579908675799,0.9337899543378995,1.0,0.4827480561002373,0.43941621724028906,1.620521573051097,severe_corridor_observation_concentration,True,True,True,True,auditable,,38.0,13.0,1.0,0.867579908675799,0.1324200913242009,service_country_corridor_concentration_summary,DE,M-Root,all_publicly_visible,0.0,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,219.0,219.0,3.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.867579908675799,0.9337899543378995,1.0,0.4827480561002373,0.43941621724028906,1.620521573051097,severe_corridor_observation_concentration,True,True,True,True,auditable,,38.0,13.0,1.0,0.867579908675799,0.1324200913242009,service_country_corridor_concentration_summary,DE,M-Root,resolved_entry_only,0.0,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,171.0,171.0,4.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.8654970760233918,0.9298245614035088,0.9941520467836257,0.5080897990836354,0.3665093167321153,1.6621131904591713,severe_corridor_observation_concentration,True,True,True,True,auditable,,29.0,3.0,1.0,0.8654970760233918,0.13450292397660818,service_country_corridor_concentration_summary,PL,M-Root,all_publicly_visible,0.0,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,171.0,171.0,4.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.8654970760233918,0.9298245614035088,0.9941520467836257,0.5080897990836354,0.3665093167321153,1.6621131904591713,severe_corridor_observation_concentration,True,True,True,True,auditable,,29.0,3.0,1.0,0.8654970760233918,0.13450292397660818,service_country_corridor_concentration_summary,PL,M-Root,resolved_entry_only,0.0,True
