country,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
CH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,396,0.36363636363636365,0.5555555555555556,0.6237373737373737,10.014811316134592,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,78,25,1.0,0.0,country_cross_layer_distribution_audit,,
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,377,0.35013262599469497,0.5517241379310345,0.6233421750663131,10.40457417417597,broad_network_transition_distribution,0.9787798408488063,0.9946949602122015,1.0,1.121518252259689,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,72,24,0.9708222811671088,0.029177718832891247,service_country_cross_layer_distribution_audit,CH,M-Root
IL,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,54,0.5,0.7222222222222222,0.8333333333333333,3.77976314968462,weak_network_transition_concentration,0.8518518518518519,1.0,1.0,1.5211754666405197,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,14,8,0.8518518518518519,0.14814814814814814,country_cross_layer_distribution_audit,,
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,55,0.43636363636363634,0.6,0.7454545454545454,5.1163972928591965,broad_network_transition_distribution,0.8363636363636363,0.8909090909090909,0.9454545454545454,1.9410554132592457,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,11,9,0.05454545454545454,0.9454545454545454,service_country_cross_layer_distribution_audit,PE,M-Root
HK,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,144,0.6527777777777778,0.7083333333333334,0.7569444444444444,4.55817015978951,broad_network_transition_distribution,0.8333333333333334,0.9097222222222223,0.9791666666666667,1.8483157021278158,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,50,33,0.0763888888888889,0.9236111111111112,country_cross_layer_distribution_audit,,
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,48,0.5,0.75,0.875,3.668016172818685,weak_network_transition_concentration,0.8333333333333334,1.0,1.0,1.5691925832141966,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,12,7,0.8333333333333334,0.16666666666666666,service_country_cross_layer_distribution_audit,IL,M-Root
SG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,521,0.32053742802303264,0.5758157389635317,0.7696737044145874,7.018533507563046,broad_network_transition_distribution,0.8138195777351248,0.9539347408829175,0.9688099808061421,1.8969255687546145,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,206,98,0.046065259117082535,0.9539347408829175,country_cross_layer_distribution_audit,,
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,44,0.4090909090909091,0.75,0.8863636363636364,3.893582448109676,weak_network_transition_concentration,0.75,0.8863636363636364,0.9204545454545454,2.4347224776592884,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,20,15,0.06818181818181818,0.9318181818181818,service_country_cross_layer_distribution_audit,RU,M-Root
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,188,0.4148936170212766,0.5797872340425532,0.6276595744680851,8.778413722762606,broad_network_transition_distribution,0.6382978723404256,0.8457446808510638,0.8936170212765958,3.144779553185261,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,42,28,0.26595744680851063,0.7340425531914894,service_country_cross_layer_distribution_audit,ZA,M-Root
ZA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,371,0.30997304582210244,0.6118598382749326,0.8355795148247979,5.8130313348355624,weak_network_transition_concentration,0.633423180592992,0.8787061994609164,0.9838274932614556,2.5534393671387217,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,83,35,0.3504043126684636,0.6495956873315364,country_cross_layer_distribution_audit,,
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,908,0.4746696035242291,0.5958149779735683,0.6850220264317181,8.849618718747822,broad_network_transition_distribution,0.4906387665198238,0.9647577092511013,0.9713656387665198,2.4619197791551577,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,197,90,0.9845814977973568,0.015418502202643172,service_country_cross_layer_distribution_audit,JP,M-Root
