probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
CA,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,497,0.2635814889336016,0.3983903420523139,0.5271629778672032,2.256756257941693,0.7412513141565837,9.552054458891144,broad_network_transition_distribution,0.6599597585513078,0.943661971830986,0.9758551307847083,0.8496235407720749,0.4741839266729919,2.338766236046885,-0.2670673874835918,0.2670673874835918,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.2012072434607646,True,True,True,True,True,auditable,,82,30,0.7766599597585513,0.22334004024144868
CA,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,494,0.2651821862348178,0.3987854251012146,0.52834008097166,2.2579150068476763,0.7416319153607744,9.563129306790037,broad_network_transition_distribution,0.6578947368421053,0.9433198380566802,0.9757085020242915,0.8522499627072165,0.47564976066480175,2.3449168965696114,-0.2659821546959727,0.2659821546959727,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.19838056680161945,True,True,True,True,True,auditable,,81,29,0.7753036437246964,0.22469635627530365
DE,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,190,0.35789473684210527,0.7052631578947368,1.0,1.0951112742294984,0.996813239324989,2.989515320899936,weak_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-0.996813239324989,0.996813239324989,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,36,11,1.0,0.0
DE,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,190,0.35789473684210527,0.7052631578947368,1.0,1.0951112742294984,0.996813239324989,2.989515320899936,weak_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-0.996813239324989,0.996813239324989,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,36,11,1.0,0.0
EE,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,59,0.2033898305084746,0.4067796610169492,0.6101694915254238,1.7383137630401544,0.9701713834329969,5.687744446968026,broad_network_transition_distribution,0.5932203389830508,0.7966101694915254,1.0,0.9576231770067114,0.8716661800385239,2.6054963044645443,-0.098505203394473,0.098505203394473,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,13,5,0.5932203389830508,0.4067796610169492
EE,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,59,0.2033898305084746,0.4067796610169492,0.6101694915254238,1.7383137630401544,0.9701713834329969,5.687744446968026,broad_network_transition_distribution,0.5932203389830508,0.7966101694915254,1.0,0.9576231770067114,0.8716661800385239,2.6054963044645443,-0.098505203394473,0.098505203394473,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,13,5,0.5932203389830508,0.4067796610169492
FR,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,66,0.3333333333333333,0.6666666666666666,1.0,1.0986122886681096,0.9999999999999998,2.9999999999999996,weak_network_transition_concentration,0.8939393939393939,0.9545454545454546,1.0,0.41062862837610226,0.3737702851239023,1.5077653113199183,-0.6262297148760975,0.6262297148760975,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,14,4,0.8939393939393939,0.10606060606060606
FR,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,66,0.3333333333333333,0.6666666666666666,1.0,1.0986122886681096,0.9999999999999998,2.9999999999999996,weak_network_transition_concentration,0.8939393939393939,0.9545454545454546,1.0,0.41062862837610226,0.3737702851239023,1.5077653113199183,-0.6262297148760975,0.6262297148760975,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,14,4,0.8939393939393939,0.10606060606060606
GB,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,61,0.3114754098360656,0.6229508196721312,0.8852459016393444,1.481218391263132,0.7611956759577124,4.398301269494445,weak_network_transition_concentration,0.819672131147541,0.8852459016393442,0.9180327868852459,0.7452146707430403,0.41591222680357964,2.1068936748683447,-0.3452834491541328,0.3452834491541328,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.06557377049180328,True,True,True,True,True,auditable,,13,7,0.8524590163934426,0.14754098360655737
GB,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,61,0.3114754098360656,0.6229508196721312,0.8852459016393444,1.481218391263132,0.7611956759577124,4.398301269494445,weak_network_transition_concentration,0.819672131147541,0.8852459016393442,0.9180327868852459,0.7452146707430403,0.41591222680357964,2.1068936748683447,-0.3452834491541328,0.3452834491541328,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.06557377049180328,True,True,True,True,True,auditable,,13,7,0.8524590163934426,0.14754098360655737
