probe_country,service_id,path_scope_stratum,total_atomic_segments,uniquely_resolved_segments,bounded_candidate_set_segments,no_matched_corridor_segments,insufficiently_resolved_segments,rtt_conclusive_segments,rtt_inconclusive_segments,uniquely_resolved_share,bounded_candidate_set_share,no_matched_corridor_share,insufficiently_resolved_share
?,M-Root,all_publicly_visible,12,0,0,6,6,8,4,0.0,0.0,0.5,0.5
?,M-Root,resolved_entry_only,12,0,0,6,6,8,4,0.0,0.0,0.5,0.5
AD,M-Root,all_publicly_visible,38,6,0,22,10,21,17,0.15789473684210525,0.0,0.5789473684210527,0.2631578947368421
AD,M-Root,resolved_entry_only,38,6,0,22,10,21,17,0.15789473684210525,0.0,0.5789473684210527,0.2631578947368421
AE,M-Root,all_publicly_visible,262,46,0,139,77,186,76,0.17557251908396945,0.0,0.5305343511450382,0.29389312977099236
AE,M-Root,resolved_entry_only,262,46,0,139,77,186,76,0.17557251908396945,0.0,0.5305343511450382,0.29389312977099236
AF,M-Root,all_publicly_visible,105,6,0,47,52,80,25,0.05714285714285714,0.0,0.44761904761904764,0.49523809523809526
AF,M-Root,resolved_entry_only,105,6,0,47,52,80,25,0.05714285714285714,0.0,0.44761904761904764,0.49523809523809526
AL,M-Root,all_publicly_visible,498,32,2,348,116,361,137,0.0642570281124498,0.004016064257028112,0.6987951807228916,0.23293172690763053
AL,M-Root,resolved_entry_only,484,32,2,346,104,351,133,0.06611570247933884,0.004132231404958678,0.7148760330578512,0.21487603305785125
AM,M-Root,all_publicly_visible,336,0,0,286,50,248,88,0.0,0.0,0.8511904761904762,0.1488095238095238
AM,M-Root,resolved_entry_only,336,0,0,286,50,248,88,0.0,0.0,0.8511904761904762,0.1488095238095238
AO,M-Root,all_publicly_visible,181,2,0,85,94,148,33,0.011049723756906077,0.0,0.4696132596685083,0.5193370165745856
AO,M-Root,resolved_entry_only,181,2,0,85,94,148,33,0.011049723756906077,0.0,0.4696132596685083,0.5193370165745856
AR,M-Root,all_publicly_visible,854,0,0,654,200,593,261,0.0,0.0,0.765807962529274,0.234192037470726
AR,M-Root,resolved_entry_only,854,0,0,654,200,593,261,0.0,0.0,0.765807962529274,0.234192037470726
AT,M-Root,all_publicly_visible,3526,0,0,2978,548,2453,1073,0.0,0.0,0.8445830969937607,0.15541690300623937
AT,M-Root,resolved_entry_only,3459,0,0,2921,538,2411,1048,0.0,0.0,0.8444637178375253,0.1555362821624747
AU,M-Root,all_publicly_visible,3747,248,0,2186,1313,2538,1209,0.06618628235922071,0.0,0.5834000533760342,0.35041366426474513
AU,M-Root,resolved_entry_only,3742,248,0,2186,1308,2535,1207,0.06627471940138963,0.0,0.584179583110636,0.34954569748797437
AX,M-Root,all_publicly_visible,42,10,1,27,4,30,12,0.23809523809523808,0.023809523809523808,0.6428571428571429,0.09523809523809523
AX,M-Root,resolved_entry_only,42,10,1,27,4,30,12,0.23809523809523808,0.023809523809523808,0.6428571428571429,0.09523809523809523
AZ,M-Root,all_publicly_visible,89,0,0,37,52,64,25,0.0,0.0,0.4157303370786517,0.5842696629213483
AZ,M-Root,resolved_entry_only,87,0,0,37,50,64,23,0.0,0.0,0.42528735632183906,0.5747126436781609
BA,M-Root,all_publicly_visible,255,0,0,219,36,198,57,0.0,0.0,0.8588235294117647,0.1411764705882353
BA,M-Root,resolved_entry_only,255,0,0,219,36,198,57,0.0,0.0,0.8588235294117647,0.1411764705882353
BB,M-Root,all_publicly_visible,16,0,0,12,4,11,5,0.0,0.0,0.75,0.25
BB,M-Root,resolved_entry_only,16,0,0,12,4,11,5,0.0,0.0,0.75,0.25
BD,M-Root,all_publicly_visible,80,0,0,32,48,64,16,0.0,0.0,0.4,0.6
BD,M-Root,resolved_entry_only,80,0,0,32,48,64,16,0.0,0.0,0.4,0.6
BE,M-Root,all_publicly_visible,2227,58,11,1591,567,1843,384,0.026044005388414906,0.004939380332285586,0.7144140098787607,0.25460260440053883
BE,M-Root,resolved_entry_only,2225,58,11,1591,565,1841,384,0.02606741573033708,0.004943820224719101,0.7150561797752809,0.2539325842696629
BF,M-Root,all_publicly_visible,77,0,0,50,27,55,22,0.0,0.0,0.6493506493506493,0.35064935064935066
BF,M-Root,resolved_entry_only,77,0,0,50,27,55,22,0.0,0.0,0.6493506493506493,0.35064935064935066
BG,M-Root,all_publicly_visible,1055,0,2,878,175,826,229,0.0,0.0018957345971563982,0.8322274881516588,0.16587677725118483
BG,M-Root,resolved_entry_only,1051,0,2,874,175,824,227,0.0,0.0019029495718363464,0.8315889628924833,0.1665080875356803
BH,M-Root,all_publicly_visible,94,10,0,29,55,71,23,0.10638297872340426,0.0,0.30851063829787234,0.5851063829787234
BH,M-Root,resolved_entry_only,94,10,0,29,55,71,23,0.10638297872340426,0.0,0.30851063829787234,0.5851063829787234
BI,M-Root,all_publicly_visible,40,0,0,38,2,29,11,0.0,0.0,0.95,0.05
BI,M-Root,resolved_entry_only,40,0,0,38,2,29,11,0.0,0.0,0.95,0.05
BJ,M-Root,all_publicly_visible,203,6,9,162,26,160,43,0.029556650246305417,0.04433497536945813,0.7980295566502463,0.12807881773399016
BJ,M-Root,resolved_entry_only,203,6,9,162,26,160,43,0.029556650246305417,0.04433497536945813,0.7980295566502463,0.12807881773399016
BL,M-Root,all_publicly_visible,29,0,0,29,0,17,12,0.0,0.0,1.0,0.0
BL,M-Root,resolved_entry_only,29,0,0,29,0,17,12,0.0,0.0,1.0,0.0
BO,M-Root,all_publicly_visible,475,0,0,373,102,305,170,0.0,0.0,0.7852631578947369,0.21473684210526317
BO,M-Root,resolved_entry_only,475,0,0,373,102,305,170,0.0,0.0,0.7852631578947369,0.21473684210526317
BR,M-Root,all_publicly_visible,1310,0,0,753,557,892,418,0.0,0.0,0.5748091603053435,0.4251908396946565
BR,M-Root,resolved_entry_only,1162,0,0,631,531,814,348,0.0,0.0,0.5430292598967298,0.4569707401032702
BT,M-Root,all_publicly_visible,17,3,0,12,2,11,6,0.17647058823529413,0.0,0.7058823529411765,0.11764705882352941
BT,M-Root,resolved_entry_only,17,3,0,12,2,11,6,0.17647058823529413,0.0,0.7058823529411765,0.11764705882352941
BW,M-Root,all_publicly_visible,28,2,0,20,6,17,11,0.07142857142857142,0.0,0.7142857142857143,0.21428571428571427
BW,M-Root,resolved_entry_only,28,2,0,20,6,17,11,0.07142857142857142,0.0,0.7142857142857143,0.21428571428571427
BY,M-Root,all_publicly_visible,618,0,0,544,74,433,185,0.0,0.0,0.8802588996763754,0.11974110032362459
BY,M-Root,resolved_entry_only,618,0,0,544,74,433,185,0.0,0.0,0.8802588996763754,0.11974110032362459
CA,M-Root,all_publicly_visible,5821,497,6,4136,1182,3800,2021,0.08538051881120083,0.0010307507301151005,0.7105308366260092,0.2030578938326748
CA,M-Root,resolved_entry_only,5773,494,6,4117,1156,3763,2010,0.0855707604365148,0.0010393209769617184,0.7131474103585658,0.20024250822795772
CD,M-Root,all_publicly_visible,84,5,0,65,14,61,23,0.05952380952380952,0.0,0.7738095238095238,0.16666666666666666
CD,M-Root,resolved_entry_only,84,5,0,65,14,61,23,0.05952380952380952,0.0,0.7738095238095238,0.16666666666666666
CG,M-Root,all_publicly_visible,52,0,0,20,32,33,19,0.0,0.0,0.38461538461538464,0.6153846153846154
CG,M-Root,resolved_entry_only,52,0,0,20,32,33,19,0.0,0.0,0.38461538461538464,0.6153846153846154
CH,M-Root,all_publicly_visible,5343,0,4,4533,806,3745,1598,0.0,0.0007486430844095078,0.8483997754070747,0.15085158150851583
CH,M-Root,resolved_entry_only,5257,0,4,4453,800,3699,1558,0.0,0.0007608902415826517,0.847061061441887,0.15217804831653034
CI,M-Root,all_publicly_visible,38,2,0,19,17,26,12,0.05263157894736842,0.0,0.5,0.4473684210526316
CI,M-Root,resolved_entry_only,38,2,0,19,17,26,12,0.05263157894736842,0.0,0.5,0.4473684210526316
CK,M-Root,all_publicly_visible,10,0,0,8,2,9,1,0.0,0.0,0.8,0.2
CK,M-Root,resolved_entry_only,10,0,0,8,2,9,1,0.0,0.0,0.8,0.2
