unit_id,num_links,num_links_with_feasible_candidates,avg_feasible_candidates_per_link,median_feasible_candidates_per_link,max_feasible_candidates_per_link,avg_feasible_corridors_per_link,median_feasible_corridors_per_link,max_feasible_corridors_per_link,share_links_with_parallel_ambiguity,share_links_with_many_candidates,share_links_with_large_landing_radius,share_links_with_rtt_inconclusive,share_links_with_multi_segment_possible,share_links_with_domestic_submarine_candidate,share_links_with_only_low_support_feasible_candidates
probe_country=AD|service_id=L-Root,5,5,3.0,3.0,3,1.0,1.0,1,1.0,0.0,0.0,0.6,0.0,0.0,0.4
probe_country=AE|service_id=L-Root,72,72,10.430555555555555,14.0,14,3.1805555555555554,4.0,4,0.7361111111111112,0.7361111111111112,0.0,0.875,0.027777777777777776,0.9166666666666666,0.6666666666666666
probe_country=AF|service_id=L-Root,4,4,3.0,3.0,3,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
probe_country=AL|service_id=L-Root,21,21,1.0476190476190477,1.0,2,1.0,1.0,1,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.9047619047619048
probe_country=AT|service_id=L-Root,8,8,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=AU|service_id=L-Root,762,762,2.879265091863517,3.0,14,1.141732283464567,1.0,4,0.17454068241469817,0.17454068241469817,0.0,0.6653543307086615,0.048556430446194225,0.8293963254593176,0.800524934383202
probe_country=AX|service_id=L-Root,9,9,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
probe_country=BD|service_id=L-Root,33,33,5.606060606060606,3.0,14,1.9696969696969697,1.0,4,0.42424242424242425,0.42424242424242425,0.0,0.8787878787878788,0.0,0.8181818181818182,0.9393939393939394
probe_country=BE|service_id=L-Root,12,12,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=BG|service_id=L-Root,6,6,2.0,2.0,3,1.0,1.0,1,0.0,0.0,0.0,0.5,0.16666666666666666,1.0,0.8333333333333334
probe_country=BH|service_id=L-Root,13,13,2.230769230769231,3.0,4,1.3846153846153846,1.0,2,0.5384615384615384,0.15384615384615385,0.0,0.6153846153846154,0.0,0.6153846153846154,0.38461538461538464
probe_country=BJ|service_id=L-Root,6,6,3.0,2.0,6,1.0,1.0,1,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.0,1.0
probe_country=BO|service_id=L-Root,8,8,2.875,3.0,3,1.0,1.0,1,0.0,0.0,0.0,0.75,0.125,0.875,0.75
probe_country=BR|service_id=L-Root,4,4,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.5,0.5,0.5,1.0
probe_country=BT|service_id=L-Root,2,2,14.0,14.0,14,4.0,4.0,4,1.0,1.0,0.0,1.0,0.0,1.0,1.0
probe_country=BY|service_id=L-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=CA|service_id=L-Root,341,341,1.7536656891495601,2.0,3,2.697947214076246,3.0,7,0.0,0.6598240469208211,0.0,0.8592375366568915,0.0,0.7360703812316716,0.8269794721407625
probe_country=CH|service_id=L-Root,76,76,1.5263157894736843,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.8947368421052632,0.0,1.0,1.0
probe_country=CM|service_id=L-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=CN|service_id=L-Root,59,59,3.694915254237288,2.0,14,1.5254237288135593,1.0,4,0.1864406779661017,0.2033898305084746,0.0,0.6440677966101694,0.01694915254237288,0.9152542372881356,0.9322033898305084
probe_country=CO|service_id=L-Root,4,4,1.75,2.0,2,1.0,1.0,1,0.75,0.0,0.0,0.25,0.0,0.0,0.75
probe_country=CV|service_id=L-Root,8,8,1.0,1.0,1,2.5,3.0,3,0.0,0.0,0.0,0.75,0.0,0.75,0.75
probe_country=CY|service_id=L-Root,7,7,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.5714285714285714
probe_country=CZ|service_id=L-Root,14,14,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=DE|service_id=L-Root,193,193,2.849740932642487,4.0,7,1.8652849740932642,2.0,3,0.5129533678756477,0.06217616580310881,0.0,0.8134715025906736,0.0,0.9378238341968912,0.32642487046632124
probe_country=DJ|service_id=L-Root,3,3,4.0,4.0,4,2.0,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0
probe_country=DK|service_id=L-Root,559,559,4.21824686940966,4.0,7,2.3202146690518783,2.0,3,0.7924865831842576,0.43112701252236135,0.0,0.7549194991055456,0.0,0.7853309481216458,0.5277280858676208
probe_country=DO|service_id=L-Root,3,3,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0
probe_country=EE|service_id=L-Root,26,26,3.076923076923077,2.0,6,1.5384615384615385,2.0,2,0.3076923076923077,0.3076923076923077,0.0,0.7692307692307693,0.0,0.15384615384615385,0.23076923076923078
