country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
AE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,135,135.0,4,landing_region_0337::landing_region_0377,0.48148148148148145,0.9259259259259258,0.9629629629629629,2.602462973143782,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,8,6,1,0.5555555555555556,0.4444444444444444
AL,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,100,100.0,1,landing_region_0128::landing_region_0341,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,10,7,1,0.0,1.0
AO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,75,75.0,1,landing_region_0370::landing_region_0841,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",8,2,1,0.0,1.0
AT,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,85,85.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,7,4,1,0.35294117647058826,0.6470588235294118
AU,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,3370,3370.0,13,landing_region_0041::landing_region_0735,0.16913946587537093,0.31379821958456977,0.45845697329376855,9.724714157630407,broad_corridor_observation_distribution,False,False,True,True,auditable,,113,49,1,0.6988130563798219,0.30118694362017806
AX,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,45,45.0,3,landing_region_0415::landing_region_0693,0.5,0.8333333333333333,1.0,2.7494592739972052,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.6666666666666666,0.3333333333333333
BH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,30,30.0,3,landing_region_0035::landing_region_0337,0.5,0.75,1.0,2.82842712474619,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
BJ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,20,20.0,2,landing_region_0244::landing_region_0297,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
BR,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,140,140.0,6,landing_region_0770::landing_region_0809,0.7142857142857143,0.7857142857142857,0.8571428571428572,2.8401708381994757,weak_corridor_observation_concentration,True,True,True,True,auditable,,12,9,1,0.8214285714285714,0.17857142857142858
CA,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,585,585.0,7,landing_region_0008::landing_region_0008,0.21481481481481482,0.42962962962962964,0.6444444444444445,5.749151249749641,broad_corridor_observation_distribution,False,False,True,True,auditable,,46,8,1,0.20512820512820512,0.7948717948717948
