country,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,135,0.4444444444444444,0.8148148148148148,0.8888888888888888,3.4415988509053705,moderate_network_transition_concentration,0.48148148148148145,0.9259259259259258,0.9629629629629629,2.602462973143782,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,8,6,0.5555555555555556,0.4444444444444444
AL,100,0.6,1.0,1.0,1.9601317042077895,moderate_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,10,7,0.0,1.0
AO,75,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",8,2,0.0,1.0
AT,85,0.23529411764705882,0.47058823529411764,0.7058823529411764,5.427937156813373,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,7,4,0.35294117647058826,0.6470588235294118
AU,3370,0.21216617210682492,0.3857566765578635,0.526706231454006,12.728068527594104,broad_network_transition_distribution,0.16913946587537093,0.31379821958456977,0.45845697329376855,9.724714157630407,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,113,49,0.6988130563798219,0.30118694362017806
AX,45,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.5,0.8333333333333333,1.0,2.7494592739972052,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",1,1,0.6666666666666666,0.3333333333333333
BH,30,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.5,0.75,1.0,2.82842712474619,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
BJ,20,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BR,140,0.6428571428571429,0.7142857142857143,0.7857142857142858,3.582519516762099,weak_network_transition_concentration,0.7142857142857143,0.7857142857142857,0.8571428571428572,2.8401708381994757,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,12,9,0.8214285714285714,0.17857142857142858
CA,585,0.38461538461538464,0.6581196581196582,0.7435897435897436,6.037060127801543,broad_network_transition_distribution,0.21481481481481482,0.42962962962962964,0.6444444444444445,5.749151249749641,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,46,8,0.20512820512820512,0.7948717948717948
CH,1155,0.43722943722943725,0.5064935064935066,0.5670995670995671,10.732368903291503,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,71,27,0.948051948051948,0.05194805194805195
