country,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AE,135,5,6939->6939,0.4444444444444444,0.8148148148148148,0.8888888888888888,1.2359361456474312,0.7679303041757055,3.4415988509053705,moderate_network_transition_concentration,0.0,True,True,auditable,,13,6,0.5555555555555556,0.4444444444444444,transition_near_country
AL,100,2,COUNTRY_FALLBACK:AL->IT,0.6,1.0,1.0,0.6730116670092565,0.9709505944546688,1.9601317042077895,moderate_network_transition_concentration,0.6,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,10,6,0.0,1.0,transition_near_country
AO,75,1,37468->37468,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",8,2,0.0,1.0,transition_near_country
AU,3310,19,COUNTRY_FALLBACK:AU->AU,0.2552870090634441,0.48036253776435045,0.6963746223564955,2.0390274109291298,0.6925011607835632,7.683133032631953,broad_network_transition_distribution,0.48942598187311176,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,256,97,0.6933534743202417,0.3066465256797583,transition_near_country
AX,45,1,3238->3238,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",1,1,0.6666666666666666,0.3333333333333333,transition_near_country
BH,30,2,8529->8529,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",4,2,0.0,1.0,transition_near_country
BJ,20,2,37136->6713,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_network_transition_concentration,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2,1,0.0,1.0,transition_near_country
BR,140,7,52320->52320,0.6428571428571429,0.7142857142857143,0.7857142857142858,1.2760663285105422,0.6557683709754214,3.582519516762099,weak_network_transition_concentration,0.14285714285714285,True,True,auditable,,18,13,0.8214285714285714,0.17857142857142858,transition_near_country
CA,585,11,852->6939,0.38461538461538464,0.6752136752136753,0.7606837606837608,1.7210563994118495,0.7177362660227264,5.590431074068996,broad_network_transition_distribution,0.2905982905982906,True,True,auditable,,49,10,0.20512820512820512,0.7948717948717948,transition_near_country
CL,265,3,12956->12956,0.8867924528301887,0.9622641509433962,1.0,0.4252275911752877,0.38705883373178684,1.52993858056237,severe_network_transition_concentration,0.03773584905660377,True,True,auditable,,26,15,1.0,0.0,transition_near_country
CM,10,1,60171->60171,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
CN,40,3,4134->4134,0.75,0.875,1.0,0.7356219397587946,0.6695919455357792,2.0867794400977164,moderate_network_transition_concentration,0.125,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,6,3,1.0,0.0,transition_near_country
CO,5,1,52320->52320,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
CV,10,1,37575->6939,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
CW,5,1,23520->23520,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0,0.0,1.0,transition_near_country
CY,55,3,206912->5504,0.36363636363636365,0.7272727272727273,1.0,1.0900596587107838,0.992215060722018,2.9744515192128187,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",4,2,0.36363636363636365,0.6363636363636364,transition_near_country
DE,20,1,12693->12693,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,transition_near_country
DJ,60,2,6939->6939,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_network_transition_concentration,0.3333333333333333,False,False,"insufficient_minimum_unique_probes,maximum_country_fallback_share","minimum_unique_probes,maximum_country_fallback_share",7,7,0.0,1.0,transition_near_country
DK,780,10,3292->1299,0.4423076923076923,0.6858974358974359,0.8012820512820513,1.5942272396394668,0.6923640930752735,4.924522125886545,weak_network_transition_concentration,0.28846153846153844,True,True,auditable,,80,22,0.1858974358974359,0.8141025641025641,transition_near_country
DO,10,1,23520->23520,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
EE,90,4,2586->6667,0.4444444444444444,0.7777777777777777,0.8888888888888888,1.2148896539491205,0.8763576394898526,3.369922186199325,weak_network_transition_concentration,0.0,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,9,6,0.1111111111111111,0.8888888888888888,transition_near_country
ES,60,3,COUNTRY_FALLBACK:ES->FR,0.5,0.8333333333333333,1.0,1.0114042647073518,0.920619835714305,2.7494592739972052,moderate_network_transition_concentration,0.5,False,False,"insufficient_minimum_unique_probes,maximum_country_fallback_share","minimum_unique_probes,maximum_country_fallback_share",7,5,0.16666666666666666,0.8333333333333334,transition_near_country
FI,730,15,COUNTRY_FALLBACK:FI->EE,0.4452054794520548,0.5547945205479452,0.6643835616438356,1.923640434952157,0.7103414974246827,6.84583497809209,broad_network_transition_distribution,0.5273972602739726,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,61,26,0.4520547945205479,0.547945205479452,transition_near_country
