country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
GR,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,183.0,183.0,1.0,landing_region_8935cd2c0a21::landing_region_89dd309b5ca2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,92.0,42.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
DK,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,38.0,38.0,1.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,20.0,8.0,1.0,0.0,1.0,country_corridor_concentration_summary,,,,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,38.0,38.0,1.0,landing_region_8935cd2c0a21::landing_region_89dd309b5ca2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,19.0,9.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,GR,L-Root,all_publicly_visible,0.15789473684210525,True
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,38.0,38.0,1.0,landing_region_8935cd2c0a21::landing_region_89dd309b5ca2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,19.0,9.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,GR,L-Root,resolved_entry_only,0.15789473684210525,True
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,114.0,114.0,2.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,0.9824561403508771,1.0,1.0,0.08831978220001763,0.12741851179235877,1.0923373762319153,severe_corridor_observation_concentration,True,True,True,True,auditable,,37.0,15.0,1.0,0.9824561403508771,0.017543859649122806,service_country_corridor_concentration_summary,SE,L-Root,all_publicly_visible,0.03508771929824561,True
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,114.0,114.0,2.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,0.9824561403508771,1.0,1.0,0.08831978220001763,0.12741851179235877,1.0923373762319153,severe_corridor_observation_concentration,True,True,True,True,auditable,,37.0,15.0,1.0,0.9824561403508771,0.017543859649122806,service_country_corridor_concentration_summary,SE,L-Root,resolved_entry_only,0.03508771929824561,True
CA,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,320.0,319.99999999999994,7.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.9725000000000001,0.9787500000000001,0.9850000000000001,0.17434802466899363,0.08959716087283623,1.1904698065935642,severe_corridor_observation_concentration,True,True,True,True,auditable,,55.0,14.0,1.0,0.7218749999999999,0.27812500000000007,country_corridor_concentration_summary,,,,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,323.0,323.0,8.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.9572755417956658,0.9727554179566564,0.9789473684210528,0.2524383625887142,0.12139719127895601,1.2871601564897182,severe_corridor_observation_concentration,True,True,True,True,auditable,,57.0,16.0,1.0,0.7213622291021672,0.2786377708978328,service_country_corridor_concentration_summary,CA,L-Root,all_publicly_visible,0.2755417956656347,True
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,323.0,323.0,8.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.9572755417956658,0.9727554179566564,0.9789473684210528,0.2524383625887142,0.12139719127895601,1.2871601564897182,severe_corridor_observation_concentration,True,True,True,True,auditable,,57.0,16.0,1.0,0.7213622291021672,0.2786377708978328,service_country_corridor_concentration_summary,CA,L-Root,resolved_entry_only,0.2755417956656347,True
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,50.0,50.0,3.0,landing_region_5631d1801aee::landing_region_71db3ba08a92,0.94,0.98,1.0,0.2651583725982932,0.2413575520075012,1.3036374198758112,severe_corridor_observation_concentration,True,True,True,True,auditable,,27.0,15.0,1.0,0.0,1.0,service_country_corridor_concentration_summary,RU,L-Root,all_publicly_visible,0.04,True
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,50.0,50.0,3.0,landing_region_5631d1801aee::landing_region_71db3ba08a92,0.94,0.98,1.0,0.2651583725982932,0.2413575520075012,1.3036374198758112,severe_corridor_observation_concentration,True,True,True,True,auditable,,27.0,15.0,1.0,0.0,1.0,service_country_corridor_concentration_summary,RU,L-Root,resolved_entry_only,0.04,True
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,471.0,471.0,8.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9341825902335457,0.9723991507430998,0.9808917197452229,0.33469264524252157,0.16095313983779835,1.3975107876172135,severe_corridor_observation_concentration,True,True,True,True,auditable,,180.0,71.0,1.0,0.9766454352441614,0.02335456475583864,service_country_corridor_concentration_summary,JP,L-Root,resolved_entry_only,0.22505307855626328,True
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,60.0,60.0,2.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,0.9333333333333333,1.0,1.0,0.24493002679463532,0.3533593350214213,1.2775319170740629,severe_corridor_observation_concentration,True,True,True,True,auditable,,36.0,14.0,1.0,0.9666666666666667,0.03333333333333333,service_country_corridor_concentration_summary,DE,L-Root,all_publicly_visible,0.0,True
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,60.0,60.0,2.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,0.9333333333333333,1.0,1.0,0.24493002679463532,0.3533593350214213,1.2775319170740629,severe_corridor_observation_concentration,True,True,True,True,auditable,,36.0,14.0,1.0,0.9666666666666667,0.03333333333333333,service_country_corridor_concentration_summary,DE,L-Root,resolved_entry_only,0.0,True
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1732.0,1732.0,7.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.930715935334873,0.9913394919168591,0.9953810623556582,0.2902742177380136,0.14917143932824128,1.3367940103994291,severe_corridor_observation_concentration,True,True,True,True,auditable,,535.0,238.0,1.0,0.930715935334873,0.06928406466512702,country_corridor_concentration_summary,,,,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,473.0,473.0,8.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9302325581395349,0.9725158562367865,0.9809725158562368,0.34686308362627977,0.16680588353836256,1.4146230270554503,severe_corridor_observation_concentration,True,True,True,True,auditable,,181.0,71.0,1.0,0.9767441860465116,0.023255813953488372,service_country_corridor_concentration_summary,JP,L-Root,all_publicly_visible,0.22410147991543342,True
HK,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,139.0,139.0,4.0,landing_region_319252418c1f::landing_region_d0ecf913edd7,0.920863309352518,0.985611510791367,0.9928057553956835,0.32415094767934666,0.23382548235822564,1.3828560302745858,severe_corridor_observation_concentration,True,True,True,True,auditable,,82.0,44.0,1.0,0.050359712230215826,0.9496402877697842,country_corridor_concentration_summary,,,,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,654.0,654.0,10.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.845565749235474,0.8944954128440367,0.9403669724770642,0.6973529974263644,0.30285655872096257,2.0084293474532005,severe_corridor_observation_concentration,True,True,True,True,auditable,,100.0,48.0,1.0,0.8960244648318043,0.10397553516819572,service_country_corridor_concentration_summary,SG,L-Root,all_publicly_visible,0.26146788990825687,True
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,654.0,654.0,10.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.845565749235474,0.8944954128440367,0.9403669724770642,0.6973529974263644,0.30285655872096257,2.0084293474532005,severe_corridor_observation_concentration,True,True,True,True,auditable,,100.0,48.0,1.0,0.8960244648318043,0.10397553516819572,service_country_corridor_concentration_summary,SG,L-Root,resolved_entry_only,0.26146788990825687,True
NO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,295.0,295.0,12.0,landing_region_2f1f6d8f7ce5::landing_region_d514e04d4eb8,0.8169491525423729,0.888135593220339,0.9254237288135593,0.8266789606345913,0.3326800870789731,2.2857151713147394,severe_corridor_observation_concentration,True,True,True,True,auditable,,71.0,28.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,299.0,299.0,13.0,landing_region_2f1f6d8f7ce5::landing_region_d514e04d4eb8,0.8060200668896321,0.8762541806020067,0.9130434782608696,0.886622121291951,0.3456684704954244,2.4269179555535327,severe_corridor_observation_concentration,True,True,True,True,auditable,,71.0,28.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,NO,L-Root,all_publicly_visible,0.2976588628762542,True
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,265.0,265.0,3.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,0.7924528301886793,0.9924528301886792,1.0,0.5431096477596155,0.4943597057502864,1.7213513445013464,moderate_corridor_observation_concentration,True,True,True,True,auditable,,120.0,48.0,1.0,0.7924528301886793,0.20754716981132076,country_corridor_concentration_summary,,,,,
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,89.0,89.0,6.0,landing_region_71e1260196d0::landing_region_d0ecf913edd7,0.7134831460674157,0.8258426966292134,0.8932584269662921,1.01092687535659,0.5642090318027612,2.748147024671295,moderate_corridor_observation_concentration,True,True,True,True,auditable,,42.0,23.0,1.0,0.15730337078651685,0.8426966292134831,country_corridor_concentration_summary,,,,,
IL,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,73.0,73.0,4.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.6940639269406392,0.817351598173516,0.9223744292237442,0.9466131528024506,0.6828370505941811,2.5769670690681483,moderate_corridor_observation_concentration,True,True,True,True,auditable,,22.0,9.0,1.0,0.8767123287671232,0.1232876712328767,country_corridor_concentration_summary,,,,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,46.0,46.0,5.0,landing_region_8935cd2c0a21::landing_region_89dd309b5ca2,0.6086956521739131,0.8043478260869565,0.9347826086956522,1.1066066430669232,0.6875733661532185,3.0240791837196,moderate_corridor_observation_concentration,True,True,True,True,auditable,,24.0,11.0,1.0,0.9782608695652174,0.021739130434782608,service_country_corridor_concentration_summary,FR,L-Root,all_publicly_visible,0.0,True
ZA,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,39.0,39.0,4.0,landing_region_30beda532e6f::landing_region_44e270aeb18c,0.5641025641025641,0.8717948717948718,0.9743589743589743,1.0131259739291718,0.7308159091917087,2.754197120811181,moderate_corridor_observation_concentration,True,True,True,True,auditable,,23.0,18.0,1.0,0.0,1.0,country_corridor_concentration_summary,,,,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,37.0,37.0,3.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.43243243243243246,0.8648648648648649,1.0,0.9955117322700757,0.9061538292794569,2.706108790209929,moderate_corridor_observation_concentration,True,True,True,True,auditable,,10.0,5.0,1.0,0.8648648648648649,0.13513513513513514,service_country_corridor_concentration_summary,KR,L-Root,all_publicly_visible,0.2972972972972973,True
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,37.0,37.0,3.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.43243243243243246,0.8648648648648649,1.0,0.9955117322700757,0.9061538292794569,2.706108790209929,moderate_corridor_observation_concentration,True,True,True,True,auditable,,10.0,5.0,1.0,0.8648648648648649,0.13513513513513514,service_country_corridor_concentration_summary,KR,L-Root,resolved_entry_only,0.2972972972972973,True
