probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
NO,L-Root,dns_root,anycast,resolved_entry_only,167,167,141,0.844311377245509,0.844311377245509,0.844311377245509,0.844311377245509,0.0,0.2275449101796407,141,0.844311377245509,1.0,84,34,1,1,1.0,True,0.28802588996763756,True,True,auditable,
MY,L-Root,dns_root,anycast,resolved_entry_only,70,70,59,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.7714285714285715,0.4,0.4714285714285714,59,0.8428571428571429,1.0,35,19,1,1,1.0,True,0.24369747899159663,True,True,auditable,
MY,L-Root,dns_root,anycast,all_publicly_visible,72,70,59,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.75,0.3888888888888889,0.4583333333333333,59,0.8194444444444444,0.9722222222222222,36,20,1,1,0.9722222222222222,True,0.24369747899159663,True,True,auditable,
DK,L-Root,dns_root,anycast,resolved_entry_only,210,210,171,0.8142857142857143,0.9285714285714286,0.8142857142857143,0.8142857142857143,0.5714285714285714,0.8904761904761904,171,0.8142857142857143,1.0,105,35,1,1,1.0,True,0.13572854291417166,True,True,auditable,
MV,L-Root,dns_root,anycast,all_publicly_visible,24,24,19,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,19,0.7916666666666666,1.0,12,4,1,1,0.9166666666666666,False,0.288135593220339,True,True,auditable,
NO,L-Root,dns_root,anycast,all_publicly_visible,183,169,143,0.7814207650273224,0.7814207650273224,0.7814207650273224,0.7814207650273224,0.0,0.20765027322404372,143,0.7814207650273224,0.9234972677595629,92,35,1,1,0.912568306010929,True,0.28253968253968254,True,True,auditable,
DK,L-Root,dns_root,anycast,all_publicly_visible,221,210,171,0.7737556561085973,0.8823529411764706,0.7737556561085973,0.7737556561085973,0.5429864253393665,0.8461538461538461,171,0.7737556561085973,0.9502262443438914,110,36,1,1,0.9502262443438914,True,0.13572854291417166,True,True,auditable,
SG,L-Root,dns_root,anycast,resolved_entry_only,276,276,194,0.7028985507246377,0.7246376811594203,0.7028985507246377,0.6956521739130435,0.17753623188405798,0.6811594202898551,194,0.7028985507246377,1.0,139,62,1,1,1.0,True,0.26146788990825687,True,True,auditable,
IL,L-Root,dns_root,anycast,resolved_entry_only,64,64,44,0.6875,0.6875,0.6875,0.609375,0.140625,0.609375,44,0.6875,1.0,32,13,1,1,1.0,True,0.0,True,True,auditable,
SG,L-Root,dns_root,anycast,all_publicly_visible,298,276,194,0.6510067114093959,0.6711409395973155,0.6510067114093959,0.6442953020134228,0.1644295302013423,0.6308724832214765,194,0.6510067114093959,0.9261744966442953,150,67,1,1,0.9261744966442953,True,0.26146788990825687,True,True,auditable,
IL,L-Root,dns_root,anycast,all_publicly_visible,68,64,44,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.5735294117647058,0.1323529411764706,0.5735294117647058,44,0.6470588235294118,0.9411764705882353,34,13,1,1,0.9411764705882353,True,0.0,True,True,auditable,
JP,L-Root,dns_root,anycast,resolved_entry_only,542,542,314,0.5793357933579336,0.6771217712177122,0.5793357933579336,0.5738007380073801,0.02029520295202952,0.6715867158671587,314,0.5793357933579336,1.0,271,114,1,1,1.0,True,0.2203742203742204,True,True,auditable,
JP,L-Root,dns_root,anycast,all_publicly_visible,580,544,316,0.5448275862068965,0.6362068965517241,0.5448275862068965,0.5396551724137931,0.01896551724137931,0.6310344827586207,316,0.5448275862068965,0.9379310344827586,290,118,1,1,0.9344827586206896,True,0.2194616977225673,True,True,auditable,
PT,L-Root,dns_root,anycast,resolved_entry_only,196,196,90,0.45918367346938777,0.47959183673469385,0.45918367346938777,0.45918367346938777,0.0,0.02040816326530612,90,0.45918367346938777,1.0,98,22,1,1,1.0,True,0.04081632653061224,True,True,auditable,
PT,L-Root,dns_root,anycast,all_publicly_visible,208,196,90,0.4326923076923077,0.4519230769230769,0.4326923076923077,0.4326923076923077,0.0,0.019230769230769232,90,0.4326923076923077,0.9423076923076923,104,23,1,1,0.9423076923076923,True,0.04081632653061224,True,True,auditable,
KR,L-Root,dns_root,anycast,resolved_entry_only,53,53,19,0.3584905660377358,0.3584905660377358,0.3584905660377358,0.33962264150943394,0.09433962264150944,0.18867924528301888,19,0.3584905660377358,1.0,27,11,1,1,1.0,True,0.2972972972972973,True,True,auditable,
KR,L-Root,dns_root,anycast,all_publicly_visible,70,55,19,0.2714285714285714,0.2714285714285714,0.2714285714285714,0.2571428571428571,0.07142857142857142,0.14285714285714285,19,0.2714285714285714,0.7857142857142857,35,14,1,1,0.7571428571428571,True,0.2972972972972973,True,True,auditable,
GR,L-Root,dns_root,anycast,resolved_entry_only,141,141,38,0.2695035460992908,0.2695035460992908,0.2695035460992908,0.2695035460992908,0.0,0.0,38,0.2695035460992908,1.0,71,25,1,1,1.0,True,0.15789473684210525,True,True,auditable,
GR,L-Root,dns_root,anycast,all_publicly_visible,151,141,38,0.25165562913907286,0.25165562913907286,0.25165562913907286,0.25165562913907286,0.0,0.0,38,0.25165562913907286,0.9337748344370861,76,25,1,1,0.9337748344370861,True,0.15789473684210525,True,True,auditable,
CA,L-Root,dns_root,anycast,resolved_entry_only,581,581,119,0.20481927710843373,0.20481927710843373,0.20481927710843373,0.18416523235800344,0.153184165232358,0.1944922547332186,119,0.20481927710843373,1.0,292,88,1,1,1.0,True,0.2743362831858407,True,True,auditable,
SE,L-Root,dns_root,anycast,resolved_entry_only,430,430,84,0.19534883720930232,0.19534883720930232,0.19534883720930232,0.19069767441860466,0.013953488372093023,0.13488372093023257,84,0.19534883720930232,1.0,215,73,1,1,1.0,True,0.03690036900369004,True,True,auditable,
CA,L-Root,dns_root,anycast,all_publicly_visible,619,594,119,0.19224555735056542,0.19224555735056542,0.19224555735056542,0.172859450726979,0.14378029079159935,0.1825525040387722,119,0.19224555735056542,0.9596122778675282,311,95,1,1,0.938610662358643,True,0.2743362831858407,True,True,auditable,
SE,L-Root,dns_root,anycast,all_publicly_visible,465,432,86,0.18494623655913978,0.18494623655913978,0.18494623655913978,0.18064516129032257,0.012903225806451613,0.12903225806451613,86,0.18494623655913978,0.9290322580645162,232,77,1,1,0.9247311827956989,True,0.03663003663003663,True,True,auditable,
