unit_id,num_links,num_links_with_feasible_candidates,avg_feasible_candidates_per_link,median_feasible_candidates_per_link,max_feasible_candidates_per_link,avg_feasible_corridors_per_link,median_feasible_corridors_per_link,max_feasible_corridors_per_link,share_links_with_parallel_ambiguity,share_links_with_many_candidates,share_links_with_large_landing_radius,share_links_with_rtt_inconclusive,share_links_with_multi_segment_possible,share_links_with_domestic_submarine_candidate,share_links_with_only_low_support_feasible_candidates
probe_country=AE|service_id=A-Root,6,6,9.666666666666666,14.0,14,3.0,4.0,4,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.8333333333333334,0.5
probe_country=AF|service_id=A-Root,8,8,7.5,7.5,14,2.5,2.5,4,0.5,0.5,0.0,0.75,0.0,1.0,0.25
probe_country=AL|service_id=A-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=AT|service_id=A-Root,4,4,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=AU|service_id=A-Root,619,619,5.636510500807755,3.0,14,1.8109854604200324,1.0,4,0.26978998384491115,0.27140549273021003,0.0,0.7366720516962844,0.12762520193861066,0.9789983844911146,0.5977382875605816
probe_country=AX|service_id=A-Root,3,3,1.6666666666666667,1.0,3,1.3333333333333333,1.0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
probe_country=BD|service_id=A-Root,12,12,14.0,14.0,14,4.0,4.0,4,1.0,1.0,0.0,1.0,0.0,1.0,0.5
probe_country=BG|service_id=A-Root,1,1,3.0,3.0,3,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=BH|service_id=A-Root,1,1,4.0,4.0,4,1.0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=BJ|service_id=A-Root,15,15,1.8666666666666667,2.0,3,1.2666666666666666,1.0,2,0.3333333333333333,0.0,0.0,0.4666666666666667,0.26666666666666666,0.4,0.7333333333333333
probe_country=BR|service_id=A-Root,3,3,2.3333333333333335,1.0,5,1.0,1.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
probe_country=CA|service_id=A-Root,161,161,2.0434782608695654,2.0,3,2.124223602484472,2.0,7,0.0,0.32298136645962733,0.0,0.7701863354037267,0.0,0.7577639751552795,0.8260869565217391
probe_country=CG|service_id=A-Root,1,1,3.0,3.0,3,1.0,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=CH|service_id=A-Root,44,44,1.3863636363636365,1.0,2,1.0,1.0,1,0.0,0.0,0.0,0.6363636363636364,0.0,1.0,1.0
probe_country=CI|service_id=A-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=CK|service_id=A-Root,6,6,8.5,8.5,14,2.5,2.5,4,0.5,0.5,0.0,1.0,0.0,1.0,0.3333333333333333
probe_country=CM|service_id=A-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=CN|service_id=A-Root,41,41,2.268292682926829,2.0,14,1.0731707317073171,1.0,4,0.024390243902439025,0.04878048780487805,0.0,0.7317073170731707,0.0,1.0,0.6341463414634146
probe_country=CO|service_id=A-Root,3,3,2.0,2.0,2,1.0,1.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=CR|service_id=A-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=CV|service_id=A-Root,6,6,2.0,2.0,3,1.0,1.0,1,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,1.0
probe_country=CY|service_id=A-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=DE|service_id=A-Root,10,10,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.4,0.0,1.0,1.0
probe_country=DJ|service_id=A-Root,2,2,4.0,4.0,4,2.0,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0
probe_country=DK|service_id=A-Root,157,157,4.687898089171974,6.0,7,2.515923566878981,3.0,3,0.8662420382165605,0.5668789808917197,0.0,0.7197452229299363,0.0,0.8535031847133758,0.5286624203821656
probe_country=DO|service_id=A-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=EC|service_id=A-Root,3,3,1.3333333333333333,1.0,2,1.0,1.0,1,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0
probe_country=EE|service_id=A-Root,16,16,2.75,2.0,6,1.8125,2.0,2,0.1875,0.1875,0.0,0.3125,0.0,0.0,0.6875
probe_country=ES|service_id=A-Root,42,42,2.5952380952380953,3.0,3,1.0238095238095237,1.0,2,0.7857142857142857,0.0,0.0,0.2619047619047619,0.0,0.11904761904761904,0.8095238095238095
probe_country=FI|service_id=A-Root,73,73,2.780821917808219,3.0,6,1.9315068493150684,2.0,3,0.7671232876712328,0.0821917808219178,0.0,0.2191780821917808,0.0,0.2876712328767123,0.9315068493150684
probe_country=FM|service_id=A-Root,2,2,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.5,0.0,1.0,1.0
probe_country=FR|service_id=A-Root,1,1,3.0,3.0,3,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=GB|service_id=A-Root,2,2,2.5,2.5,3,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=GH|service_id=A-Root,1,1,6.0,6.0,6,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0
probe_country=GU|service_id=A-Root,17,17,4.647058823529412,2.0,14,1.8235294117647058,1.0,4,0.23529411764705882,0.23529411764705882,0.0,0.6470588235294118,0.17647058823529413,0.7647058823529411,0.7058823529411765
probe_country=HK|service_id=A-Root,162,162,7.549382716049383,3.0,14,2.5246913580246915,2.0,4,0.49382716049382713,0.49382716049382713,0.0,0.8395061728395061,0.0,0.8888888888888888,0.5493827160493827
probe_country=HN|service_id=A-Root,4,4,3.0,3.0,3,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=ID|service_id=A-Root,211,211,8.445497630331754,12.0,14,3.5260663507109005,4.0,8,0.5734597156398105,0.5734597156398105,0.0,0.8104265402843602,0.0,0.8767772511848341,0.44075829383886256
probe_country=IL|service_id=A-Root,20,20,1.3,1.0,2,2.3,2.0,5,0.0,0.7,0.0,0.8,0.0,0.8,0.5
probe_country=IM|service_id=A-Root,3,3,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666
probe_country=IN|service_id=A-Root,86,86,10.174418604651162,14.0,14,3.058139534883721,4.0,4,0.9883720930232558,0.6046511627906976,0.0,0.7558139534883721,0.06976744186046512,0.627906976744186,0.11627906976744186
probe_country=IT|service_id=A-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=JM|service_id=A-Root,3,3,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=JP|service_id=A-Root,8,8,7.5,6.0,14,3.0,3.0,4,0.5,0.5,0.0,0.875,0.0,0.875,0.875
probe_country=KE|service_id=A-Root,14,14,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.7142857142857143,0.0,1.0,0.6428571428571429
probe_country=KH|service_id=A-Root,6,6,14.0,14.0,14,4.0,4.0,4,1.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666
probe_country=KI|service_id=A-Root,3,3,3.0,3.0,3,1.0,1.0,1,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666
probe_country=KN|service_id=A-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=KR|service_id=A-Root,3,3,1.3333333333333333,1.0,2,1.3333333333333333,1.0,2,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333
probe_country=LA|service_id=A-Root,1,1,14.0,14.0,14,4.0,4.0,4,1.0,1.0,0.0,1.0,0.0,1.0,0.0
probe_country=LB|service_id=A-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
