country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
AE,landing_region_0337::landing_region_0377,landing_region_0337 -> landing_region_0377,17.0,17,17,12,12,6,0.9444444444444444,1,True,False,False,17.0,0.0
AE,landing_region_0030::landing_region_0337,landing_region_0030 -> landing_region_0337,1.0,1,1,1,1,1,0.05555555555555555,2,False,True,False,0.0,1.0
AL,landing_region_0128::landing_region_0341,landing_region_0128 -> landing_region_0341,1.0,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
AO,landing_region_0370::landing_region_0841,landing_region_0370 -> landing_region_0841,6.0,6,6,6,6,3,1.0,1,True,False,False,0.0,6.0
AT,landing_region_0376::landing_region_0376,landing_region_0376 -> landing_region_0376,5.0,5,5,5,5,3,1.0,1,True,False,False,3.0,2.0
AU,landing_region_0041::landing_region_0735,landing_region_0041 -> landing_region_0735,143.0,143,143,88,88,25,0.4612903225806452,1,True,False,False,143.0,0.0
AU,landing_region_0041::landing_region_0266,landing_region_0041 -> landing_region_0266,51.0,51,51,51,51,24,0.16451612903225807,2,False,True,False,0.0,51.0
AU,landing_region_0009::landing_region_0735,landing_region_0009 -> landing_region_0735,31.0,31,31,29,29,16,0.1,3,False,False,True,31.0,0.0
AU,landing_region_0041::landing_region_0625,landing_region_0041 -> landing_region_0625,20.0,20,20,19,19,10,0.06451612903225806,4,False,False,False,20.0,0.0
AU,landing_region_0009::landing_region_0945,landing_region_0009 -> landing_region_0945,14.0,14,14,14,14,10,0.04516129032258064,5,False,False,False,14.0,0.0
AU,landing_region_0041::landing_region_0635,landing_region_0041 -> landing_region_0635,11.5,23,23,22,22,15,0.037096774193548385,6,False,False,False,11.5,0.0
AU,landing_region_0041::landing_region_0945,landing_region_0041 -> landing_region_0945,11.5,23,23,22,22,15,0.037096774193548385,7,False,False,False,11.5,0.0
