metric,value
candidate_rows,4764.0
unique_links,1346.0
unique_units,58.0
units_with_network_layer_diversity,91.0
units_with_physical_diversity_cable,58.0
units_with_physical_diversity_corridor,58.0
units_with_network_physical_mismatch_cable,58.0
units_with_network_physical_mismatch_corridor,58.0
median_network_layer_diversity_score,4.49468617891795
median_cable_physical_candidate_diversity_score,3.315272589118387
median_corridor_physical_candidate_diversity_score,2.456430201638372
cable_mismatch_network_high_physical_low,10.0
cable_mismatch_network_high_physical_high,19.0
cable_mismatch_network_low_physical_low,19.0
cable_mismatch_network_low_physical_high,10.0
corridor_mismatch_network_high_physical_low,8.0
corridor_mismatch_network_high_physical_high,21.0
corridor_mismatch_network_low_physical_low,21.0
corridor_mismatch_network_low_physical_high,8.0
cable_corridor_target_quadrant_preserved,6.0
cable_corridor_target_quadrant_jaccard,0.5
cable_corridor_target_quadrant_recall_from_cable,0.6
cable_corridor_target_quadrant_precision_to_corridor,0.75
mean_corridor_minus_cable_physical_diversity,-1.4778367609352676
cable_corridor_quadrant_agreement_rate,0.8620689655172413
spearman_cable_corridor_physical_diversity_score,0.8703666703876347
