country,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,32.0,0.21875,0.3125,0.40625,2.6444399539359775,0.9149134351702928,14.075559913372974,broad_network_transition_distribution,0.14791666666666667,0.21770833333333334,0.2875,3.28764610947342,0.8912316464575577,26.77975280059527,-0.023681788712735075,0.023681788712735075,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,24.0,13.0,0.9062500000000001,0.09375,service_country_cross_layer_distribution_audit,NO,A-Root,all_publicly_visible
CA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,50.0,0.36,0.54,0.62,2.066896401800856,0.8058234739754898,7.9002657788609385,broad_network_transition_distribution,0.14666666666666667,0.29333333333333333,0.43333333333333335,2.512695049735326,0.7712156531927657,12.338137186341614,-0.034607820782724064,0.034607820782724064,broad_corridor_observation_distribution,network_and_physical_both_broad,0.02,True,True,True,True,True,auditable,,41.0,11.0,0.23999999999999996,0.76,country_cross_layer_distribution_audit,,,
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,53.0,0.16981132075471697,0.22641509433962265,0.2830188679245283,3.1391839220615094,0.9322566476358921,23.08501999398619,broad_network_transition_distribution,0.2610062893081761,0.5220125786163522,0.5786163522012578,2.389790431713239,0.7621734460782814,10.911207060451158,-0.1700832015576107,0.1700832015576107,broad_corridor_observation_distribution,network_and_physical_both_broad,0.05660377358490566,True,True,True,True,True,auditable,,38.0,34.0,0.5471698113207546,0.4528301886792453,service_country_cross_layer_distribution_audit,ID,A-Root,all_publicly_visible
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,38.0,0.42105263157894735,0.5526315789473684,0.6578947368421052,2.0030422216778003,0.7809285652564145,7.411569473547801,broad_network_transition_distribution,0.18333333333333335,0.36447368421052634,0.5390350877192983,2.226499034890763,0.6755489198681227,9.267364499464549,-0.10537964538829181,0.10537964538829181,broad_corridor_observation_distribution,network_and_physical_both_broad,0.02631578947368421,True,True,True,True,True,auditable,,34.0,13.0,0.26315789473684215,0.7368421052631581,service_country_cross_layer_distribution_audit,CA,A-Root,all_publicly_visible
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,149.0,0.19463087248322147,0.31543624161073824,0.4228187919463087,2.875923233590924,0.8089006150318055,17.741796384972847,broad_network_transition_distribution,0.22818791946308725,0.44966442953020136,0.6044742729306488,2.179530750790804,0.786099551407723,8.842156110307755,-0.022801063624082518,0.022801063624082518,broad_corridor_observation_distribution,network_and_physical_both_broad,0.22818791946308725,True,True,True,True,True,auditable,,119.0,56.0,0.825503355704698,0.174496644295302,country_cross_layer_distribution_audit,,,
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,61.0,0.16393442622950818,0.2786885245901639,0.3442622950819672,3.0015468795547897,0.9007691065747256,20.11663087269828,broad_network_transition_distribution,0.5116315378610461,0.609992193598751,0.6755659640905542,2.162933231657093,0.5162557214943538,8.696609453020397,-0.3845133850803718,0.3845133850803718,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,32.0,21.0,0.6885245901639345,0.31147540983606553,service_country_cross_layer_distribution_audit,PH,A-Root,all_publicly_visible
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,100.0,0.31,0.56,0.69,1.8228229245717404,0.8296024645699254,6.189305755382413,broad_network_transition_distribution,0.17,0.34,0.51,2.0796721968773757,0.9031901592714573,8.001845454403961,0.07358769470153192,-0.07358769470153192,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,56.0,11.0,0.49,0.51,country_cross_layer_distribution_audit,,,
ID,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,52.0,0.19230769230769232,0.25,0.3076923076923077,3.131677909816184,0.9207574740298494,22.912392234754815,broad_network_transition_distribution,0.3044871794871795,0.608974358974359,0.6666666666666667,2.0458532047521327,0.7378855682206737,7.735755906757421,-0.18287190580917567,0.18287190580917567,broad_corridor_observation_distribution,network_and_physical_both_broad,0.057692307692307696,True,True,True,True,True,auditable,,40.0,32.0,0.5769230769230769,0.423076923076923,country_cross_layer_distribution_audit,,,
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,57.0,0.17543859649122806,0.2982456140350877,0.3684210526315789,2.9136984749270862,0.8942947027273981,18.424816429906784,broad_network_transition_distribution,0.5650793650793651,0.6352548036758563,0.7054302422723475,2.0370992970529906,0.4879995949929964,7.668333349541648,-0.4062951077344017,0.4062951077344017,broad_corridor_observation_distribution,network_and_physical_both_broad,0.017543859649122806,True,True,True,True,True,auditable,,31.0,19.0,0.7543859649122807,0.24561403508771926,country_cross_layer_distribution_audit,,,
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,122.0,0.3770491803278688,0.6311475409836065,0.8032786885245902,1.7864338698271058,0.659675315140024,5.968131338777432,weak_network_transition_concentration,0.3224043715846995,0.4494535519125683,0.5765027322404372,2.034418346048692,0.7180604137407046,7.647802457002528,0.05838509860068064,-0.05838509860068064,broad_corridor_observation_distribution,network_and_physical_both_broad,0.1885245901639344,True,True,True,True,True,auditable,,44.0,20.0,0.6967213114754099,0.3032786885245902,service_country_cross_layer_distribution_audit,TW,A-Root,all_publicly_visible
