country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
CH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,91,91.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,54,22,1,0.978021978021978,0.02197802197802198,country_corridor_concentration_summary,,
NL,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,67,67.0,1,landing_region_0149::landing_region_0159,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,67,11,1,0.0,1.0,country_corridor_concentration_summary,,
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,80,80.0,2,landing_region_0376::landing_region_0376,0.9875,1.0,1.0,1.0695060221814845,severe_corridor_observation_concentration,True,True,True,True,auditable,,45,18,1,0.9625,0.0375,service_country_corridor_concentration_summary,CH,A-Root
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,59,59.0,2,landing_region_0149::landing_region_0159,0.9830508474576272,1.0,1.0,1.0897142450154236,severe_corridor_observation_concentration,True,True,True,True,auditable,,58,10,1,0.0,1.0,service_country_corridor_concentration_summary,NL,A-Root
ES,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,49,49.0,2,landing_region_0126::landing_region_0431,0.9183673469387755,1.0,1.0,1.3267586734455292,severe_corridor_observation_concentration,True,True,True,True,auditable,,45,24,1,0.0,1.0,country_corridor_concentration_summary,,
SG,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,133,133.0,8,landing_region_0132::landing_region_0266,0.8947368421052632,0.9473684210526316,0.9598997493734336,1.645233968916359,severe_corridor_observation_concentration,True,True,True,True,auditable,,119,56,1,0.03759398496240601,0.9624060150375939,country_corridor_concentration_summary,,
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,37,37.0,2,landing_region_0126::landing_region_0431,0.8918918918918919,1.0,1.0,1.4085228173744881,severe_corridor_observation_concentration,True,True,True,True,auditable,,33,16,1,0.0,1.0,service_country_corridor_concentration_summary,ES,A-Root
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,80,80.0,5,landing_region_0132::landing_region_0266,0.675,0.875,0.9625,2.5788636114880843,moderate_corridor_observation_concentration,True,True,True,True,auditable,,54,23,1,0.0375,0.9625,service_country_corridor_concentration_summary,IN,A-Root
IN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,30,30.0,5,landing_region_0132::landing_region_0260,0.6333333333333333,0.9333333333333333,0.9666666666666667,2.460399071582504,moderate_corridor_observation_concentration,True,True,True,True,auditable,,19,7,1,0.03333333333333333,0.9666666666666667,country_corridor_concentration_summary,,
HK,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,58,58.0,3,landing_region_0132::landing_region_0230,0.46551724137931033,0.8275862068965517,1.0,2.7922552574262127,moderate_corridor_observation_concentration,True,True,True,True,auditable,,27,19,1,0.1724137931034483,0.8275862068965517,country_corridor_concentration_summary,,
