country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,11,11.0,2,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,0.9090909090909091,1.0,1.0,0.30463609734923813,0.43949698692151334,1.3561314133862727,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,4,1,0.9090909090909091,0.09090909090909091,transition_near_country
AL,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_6c6f20567c17::landing_region_ac34543a7a05,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
AO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9,9.0,1,landing_region_593e1abfd2fb::landing_region_a33078e57a08,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,3,1,0.0,1.0,transition_near_country
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,365,365.0,12,landing_region_3996aeca3c5e::landing_region_58084817cbe7,0.4958904109589041,0.6136986301369863,0.7123287671232876,1.686564743377857,0.6787235824419183,5.400895339178197,broad_corridor_observation_distribution,False,False,True,True,auditable,,176,51,1,0.9808219178082191,0.019178082191780823,transition_near_country
AX,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2.0,2,landing_region_3eb4f4d89687::landing_region_f4011a851fe0,0.75,1.0,1.0,0.5623351446188083,0.8112781244591328,1.7547653506033232,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,transition_near_country
BH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_445416594174::landing_region_8dc97f28b4d0,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
BJ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_8afa8229a8fd::landing_region_c88b92706e9c,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.0,1.0,transition_near_country
BR,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,62,62.0,6,landing_region_0c894d5ef6d3::landing_region_5113b57f1083,0.5806451612903226,0.7741935483870968,0.903225806451613,1.2076783953709913,0.6740181459129089,3.345708217453031,weak_corridor_observation_concentration,True,True,True,True,auditable,,53,31,1,0.1935483870967742,0.8064516129032258,transition_near_country
CA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,83,83.0,27,landing_region_94c53aa4a6d7::landing_region_fee5a5fdbba8,0.17670682730923695,0.3534136546184739,0.5100401606425703,2.447453154847213,0.7425892889578468,11.558870546109931,broad_corridor_observation_distribution,False,False,True,True,auditable,,62,17,1,0.28915662650602403,0.7108433734939759,transition_near_country
CL,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,26,26.0,3,landing_region_0c894d5ef6d3::landing_region_8c0e5886c6bc,0.5769230769230769,0.9615384615384615,1.0,0.8101502323878818,0.737430520980298,2.2482457206297024,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,19,12,1,0.4230769230769231,0.5769230769230769,transition_near_country
CM,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1.0,2,landing_region_30beda532e6f::landing_region_3ac9da776834,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
CN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6,6.0,6,landing_region_319252418c1f::landing_region_6d0b3b188139,0.5,0.6666666666666666,0.75,1.4735023850806486,0.822377339362118,4.364494543886885,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",6,2,1,0.8333333333333334,0.16666666666666666,transition_near_country
CO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0c894d5ef6d3::landing_region_af49038972b6,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
CV,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1.0,2,landing_region_0e3c71b8e5bb::landing_region_c78987ebb9a4,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
CW,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0c894d5ef6d3::landing_region_83c1ffe3b901,0.75,1.0,1.0,0.5623351446188083,0.8112781244591328,1.7547653506033232,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,1,0.0,1.0,transition_near_country
CY,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,12,12.0,3,landing_region_08ea81d123b5::landing_region_3e7b4a85e943,0.4166666666666667,0.8333333333333334,1.0,1.0281838593329258,0.9358932809493993,2.795983321801711,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,4,1,0.16666666666666666,0.8333333333333334,transition_near_country
DE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_363f6a205e8d::landing_region_8c8eca82b223,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
DJ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_173727a59ebb::landing_region_d0ecf913edd7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0,transition_near_country
DK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,120,120.0,3,landing_region_1c12bbea2f36::landing_region_e1a72a298b9d,0.8416666666666667,0.975,1.0,0.505954837591979,0.46053994007783006,1.6585684281147546,severe_corridor_observation_concentration,True,True,True,True,auditable,,100,33,1,0.13333333333333333,0.8666666666666667,transition_near_country
DO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0c894d5ef6d3::landing_region_bf457e1b83fe,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
EE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,27,27.0,3,landing_region_5631d1801aee::landing_region_71db3ba08a92,0.42592592592592593,0.8518518518518519,1.0,1.00994207867206,0.9192888966283564,2.745441990765626,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,26,16,1,0.0,1.0,transition_near_country
