country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,group_unique_probes,group_unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
AE,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,"Fujairah, United Arab Emirates -> Sharjah, United Arab Emirates",8.0,8,8,6,6,4,8,6,0.8,1,True,False,False,8.0,0.0
AE,landing_region_08ea81d123b5::landing_region_1ef38be3b39c,"Marseille, France -> Abu Dhabi, United Arab Emirates",1.0,1,1,1,1,1,8,6,0.1,2,False,True,False,0.0,1.0
AE,landing_region_6fa1e5de30e2::landing_region_8dc97f28b4d0,"Al Seeb, Oman -> Sharjah, United Arab Emirates",1.0,1,1,1,1,1,8,6,0.1,3,False,False,True,0.0,1.0
AL,landing_region_6c6f20567c17::landing_region_ac34543a7a05,"Bari, Italy -> Durres, Albania",2.0,2,2,2,2,2,2,2,1.0,1,True,False,False,0.0,2.0
AU,landing_region_3996aeca3c5e::landing_region_58084817cbe7,"Perth, WA, Australia -> Paddington, NSW, Australia",186.0,186,186,117,111,26,155,51,0.6526315789473685,1,True,False,False,186.0,0.0
AU,landing_region_149acfcae34c::landing_region_58084817cbe7,"Melbourne, VIC, Australia -> Paddington, NSW, Australia",43.0,43,43,41,37,24,155,51,0.15087719298245614,2,False,True,False,43.0,0.0
AU,landing_region_3996aeca3c5e::landing_region_b204db5c9fda,"Perth, WA, Australia -> Adelaide, SA, Australia",43.0,43,43,40,36,17,155,51,0.15087719298245614,3,False,False,True,43.0,0.0
AU,landing_region_58084817cbe7::landing_region_b204db5c9fda,"Paddington, NSW, Australia -> Adelaide, SA, Australia",5.0,5,5,5,4,4,155,51,0.017543859649122806,4,False,False,False,5.0,0.0
AU,landing_region_34040dee7bd1::landing_region_58084817cbe7,"Hillsboro, OR, United States -> Paddington, NSW, Australia",2.0,2,2,2,2,2,155,51,0.007017543859649123,5,False,False,False,0.0,2.0
AU,landing_region_3996aeca3c5e::landing_region_5d023e72c246,"Perth, WA, Australia -> Singapore, Singapore",2.0,4,4,4,4,4,155,51,0.007017543859649123,6,False,False,False,0.0,2.0
AU,landing_region_3996aeca3c5e::landing_region_af2b1cb46785,"Perth, WA, Australia -> Tuas, Singapore",2.0,4,4,4,4,4,155,51,0.007017543859649123,7,False,False,False,0.0,2.0
AU,landing_region_58084817cbe7::landing_region_df61fea74887,"Paddington, NSW, Australia -> El Segundo, CA, United States",2.0,2,2,2,2,1,155,51,0.007017543859649123,8,False,False,False,0.0,2.0
AX,landing_region_3c99e4792a25::landing_region_3eb4f4d89687,"Stavsnas, Sweden -> Hamnäs, Finland",1.0,1,1,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
BH,landing_region_05a5445633a9::landing_region_ca49ab31c10b,"Al Khobar, Saudi Arabia -> Amwaj Island, Bahrain",1.0,1,1,1,1,1,2,2,0.3333333333333333,1,True,False,False,1.0,0.0
BH,landing_region_05a5445633a9::landing_region_1392e3aea9b8,"Al Khobar, Saudi Arabia -> Fujairah, United Arab Emirates",0.5,1,1,1,1,1,2,2,0.16666666666666666,2,False,True,False,0.0,0.5
BH,landing_region_05a5445633a9::landing_region_8dc97f28b4d0,"Al Khobar, Saudi Arabia -> Sharjah, United Arab Emirates",0.5,1,1,1,1,1,2,2,0.16666666666666666,3,False,False,True,0.0,0.5
BH,landing_region_1392e3aea9b8::landing_region_ca49ab31c10b,"Fujairah, United Arab Emirates -> Amwaj Island, Bahrain",0.5,1,1,1,1,1,2,2,0.16666666666666666,4,False,False,False,0.0,0.5
BH,landing_region_8dc97f28b4d0::landing_region_ca49ab31c10b,"Sharjah, United Arab Emirates -> Amwaj Island, Bahrain",0.5,1,1,1,1,1,2,2,0.16666666666666666,5,False,False,False,0.0,0.5
BJ,landing_region_343850da3642::landing_region_8afa8229a8fd,"Carcavelos, Portugal -> Cotonou, Benin",1.5,3,3,3,3,1,3,1,0.5,1,True,False,False,0.0,1.5
BJ,landing_region_8afa8229a8fd::landing_region_f7627feb3284,"Cotonou, Benin -> Seixal, Portugal",1.5,3,3,3,3,1,3,1,0.5,2,False,True,False,0.0,1.5
BR,landing_region_a33078e57a08::landing_region_bd03623e84bf,"Fortaleza, Brazil -> Hollywood, FL, United States",5.0,5,5,5,5,4,6,5,0.8333333333333334,1,True,False,False,0.0,5.0
BR,landing_region_bd03623e84bf::landing_region_e7752fc032df,"Hollywood, FL, United States -> Salvador, Brazil",1.0,1,1,1,1,1,6,5,0.16666666666666666,2,False,True,False,0.0,1.0
CA,landing_region_82a1b23200f3::landing_region_c94f4fef1bdd,"Snug Cove, BC, Canada -> Gambier Harbour, BC, Canada",89.6,92,92,48,45,13,62,20,0.5635220125786163,1,True,False,False,85.6,4.0
CA,landing_region_b451e83206f9::landing_region_d026f3e5a07d,"Lynnwood, WA, United States -> Point Roberts, WA, United States",54.0,54,54,54,49,11,62,20,0.33962264150943394,2,False,True,False,0.0,54.0
CA,landing_region_d026f3e5a07d::landing_region_f41a83b9b5b3,"Point Roberts, WA, United States -> Cordova Bay, BC, Canada",10.0,10,10,5,5,4,62,20,0.06289308176100629,3,False,False,True,10.0,0.0
CA,landing_region_ad2e1f237edf::landing_region_df3d1db01d0e,"Buffalo, NY, United States -> Toronto, ON, Canada",2.0,2,2,2,2,2,62,20,0.012578616352201259,4,False,False,False,0.0,2.0
CA,landing_region_36777aea9ef0::landing_region_5e0dbaabe44b,"Halifax, NS, Canada -> Lynn, MA, United States",1.0,1,1,1,1,1,62,20,0.006289308176100629,5,False,False,False,0.0,1.0
CA,landing_region_70abce74b352::landing_region_82a1b23200f3,"Snaw-naw-as, BC, Canada -> Snug Cove, BC, Canada",0.6000000000000001,3,3,3,3,1,62,20,0.003773584905660378,6,False,False,False,0.6000000000000001,0.0
CA,landing_region_70abce74b352::landing_region_c94f4fef1bdd,"Snaw-naw-as, BC, Canada -> Gambier Harbour, BC, Canada",0.6000000000000001,3,3,3,3,1,62,20,0.003773584905660378,7,False,False,False,0.6000000000000001,0.0
CA,landing_region_82a1b23200f3::landing_region_9c356a93ed34,"Snug Cove, BC, Canada -> Qualicum Beach, BC, Canada",0.6000000000000001,3,3,3,3,1,62,20,0.003773584905660378,8,False,False,False,0.6000000000000001,0.0
CA,landing_region_9c356a93ed34::landing_region_c94f4fef1bdd,"Qualicum Beach, BC, Canada -> Gambier Harbour, BC, Canada",0.6000000000000001,3,3,3,3,1,62,20,0.003773584905660378,9,False,False,False,0.6000000000000001,0.0
CM,landing_region_30beda532e6f::landing_region_99a747248ab4,"Lagos, Nigeria -> Douala, Cameroon",1.0,1,1,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
CO,landing_region_a7a807763bb3::landing_region_bd03623e84bf,"Puerto Colombia, Colombia -> Hollywood, FL, United States",1.0,1,1,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
CV,landing_region_1ad4dd854de2::landing_region_d02d22941d60,"Praia, Cape Verde -> Vila do Maio, Cape Verde",1.0,3,3,1,1,1,1,1,0.25,1,True,False,False,1.0,0.0
CV,landing_region_1ad4dd854de2::landing_region_dffdb65405f5,"Praia, Cape Verde -> Tarrafal de Santiago, Cape Verde",1.0,3,3,1,1,1,1,1,0.25,2,False,True,False,1.0,0.0
CV,landing_region_1ad4dd854de2::landing_region_f7627feb3284,"Praia, Cape Verde -> Seixal, Portugal",1.0,1,1,1,1,1,1,1,0.25,3,False,False,True,0.0,1.0
CV,landing_region_d02d22941d60::landing_region_dffdb65405f5,"Vila do Maio, Cape Verde -> Tarrafal de Santiago, Cape Verde",1.0,3,3,1,1,1,1,1,0.25,4,False,False,False,1.0,0.0
CW,landing_region_83c1ffe3b901::landing_region_bd03623e84bf,"Mahuma, Curaçao -> Hollywood, FL, United States",3.0,3,3,3,3,3,4,4,0.75,1,True,False,False,0.0,3.0
CW,landing_region_83c1ffe3b901::landing_region_af7df63397a0,"Mahuma, Curaçao -> Jacksonville, FL, United States",1.0,1,1,1,1,1,4,4,0.25,2,False,True,False,0.0,1.0
CY,landing_region_08ea81d123b5::landing_region_3e7b4a85e943,"Marseille, France -> Pentaskhinos, Cyprus",10.0,10,10,10,10,5,10,5,1.0,1,True,False,False,0.0,10.0
DJ,landing_region_173727a59ebb::landing_region_af2b1cb46785,"Djibouti City, Djibouti -> Tuas, Singapore",2.0,2,2,2,2,2,5,4,0.4,1,True,False,False,0.0,2.0
DJ,landing_region_08ea81d123b5::landing_region_173727a59ebb,"Marseille, France -> Djibouti City, Djibouti",1.5,3,3,3,3,2,5,4,0.3,2,False,True,False,0.0,1.5
DJ,landing_region_16217d497d23::landing_region_173727a59ebb,"Toulon, France -> Djibouti City, Djibouti",1.5,3,3,3,3,2,5,4,0.3,3,False,False,True,0.0,1.5
DK,landing_region_d073d559153a::landing_region_e2b0cd002b0c,"Bunkeflostand, Sweden -> Tuborg, Denmark",275.0,275,275,127,121,45,124,46,0.9892086330935251,1,True,False,False,170.0,105.0
DK,landing_region_1ce0b85cd8b9::landing_region_d073d559153a,"Uto, Sweden -> Bunkeflostand, Sweden",1.5,3,3,3,3,1,124,46,0.00539568345323741,2,False,True,False,0.0,1.5
DK,landing_region_1ce0b85cd8b9::landing_region_e2b0cd002b0c,"Uto, Sweden -> Tuborg, Denmark",1.5,3,3,3,3,1,124,46,0.00539568345323741,3,False,False,True,0.0,1.5
DO,landing_region_508245093782::landing_region_bd03623e84bf,"Puerto Plata, Dominican Republic -> Hollywood, FL, United States",3.0,3,3,3,3,3,5,5,0.6,1,True,False,False,0.0,3.0
DO,landing_region_bc2d670b199a::landing_region_bd03623e84bf,"Santo Domingo, Dominican Republic -> Hollywood, FL, United States",2.0,2,2,2,2,2,5,5,0.4,2,False,True,False,0.0,2.0
EE,landing_region_3c99e4792a25::landing_region_5631d1801aee,"Stavsnas, Sweden -> Tallinn, Estonia",11.5,23,23,23,22,14,26,16,0.42592592592592593,1,True,False,False,0.0,11.5
EE,landing_region_5631d1801aee::landing_region_c607af4095db,"Tallinn, Estonia -> Kista, Sweden",11.5,23,23,23,22,14,26,16,0.42592592592592593,2,False,True,False,0.0,11.5
EE,landing_region_5631d1801aee::landing_region_65aa8d7cf62e,"Tallinn, Estonia -> Espoo, Finland",4.0,4,4,4,4,2,26,16,0.14814814814814814,3,False,False,True,0.0,4.0
ES,landing_region_09d9f94c7c1e::landing_region_1a00bf1d418e,"Virginia Beach, VA, United States -> Bilbao, Spain",29.0,29,29,29,27,14,34,18,0.8055555555555556,1,True,False,False,0.0,29.0
ES,landing_region_16498428a563::landing_region_f2fd1754176a,"Telde, Spain -> Sardina, Canary Islands, Spain",3.0,3,3,3,3,2,34,18,0.08333333333333333,2,False,True,False,3.0,0.0
ES,landing_region_08ea81d123b5::landing_region_8eb611963dd1,"Marseille, France -> Barcelona, Spain",2.0,2,2,2,2,2,34,18,0.05555555555555555,3,False,False,True,0.0,2.0
ES,landing_region_2cbaaf36d8d2::landing_region_8eb611963dd1,"Mallorca, Spain -> Barcelona, Spain",1.0,1,1,1,1,1,34,18,0.027777777777777776,4,False,False,False,1.0,0.0
ES,landing_region_7cb9fce4312d::landing_region_bc8926b4de3a,"Granadilla de Abona, Spain -> Güimar, Canary Islands, Spain",0.5,1,1,1,1,1,34,18,0.013888888888888888,5,False,False,False,0.5,0.0
ES,landing_region_7cb9fce4312d::landing_region_ea21c9a3a42e,"Granadilla de Abona, Spain -> San Sebastian de la Gomera, Canary Islands, Spain",0.5,1,1,1,1,1,34,18,0.013888888888888888,6,False,False,False,0.5,0.0
FI,landing_region_3c99e4792a25::landing_region_65aa8d7cf62e,"Stavsnas, Sweden -> Espoo, Finland",104.5,209,209,209,198,82,205,88,0.4427966101694915,1,True,False,False,0.0,104.5
FI,landing_region_65aa8d7cf62e::landing_region_c607af4095db,"Espoo, Finland -> Kista, Sweden",104.5,209,209,209,198,82,205,88,0.4427966101694915,2,False,True,False,0.0,104.5
FI,landing_region_5ff6ee2e39f7::landing_region_65aa8d7cf62e,"Haradsholm, Finland -> Espoo, Finland",13.0,13,13,9,8,3,205,88,0.05508474576271186,3,False,False,True,13.0,0.0
FI,landing_region_1497f5544d8d::landing_region_5ff6ee2e39f7,"Hanko, Finland -> Haradsholm, Finland",6.0,6,6,4,4,2,205,88,0.025423728813559324,4,False,False,False,6.0,0.0
FI,landing_region_5631d1801aee::landing_region_65aa8d7cf62e,"Tallinn, Estonia -> Espoo, Finland",5.0,5,5,5,5,5,205,88,0.0211864406779661,5,False,False,False,0.0,5.0
FI,landing_region_3c99e4792a25::landing_region_5ff6ee2e39f7,"Stavsnas, Sweden -> Haradsholm, Finland",2.0,2,2,2,2,1,205,88,0.00847457627118644,6,False,False,False,0.0,2.0
FI,landing_region_65aa8d7cf62e::landing_region_6a085d7da78f,"Espoo, Finland -> Kotka, Finland",1.0,1,1,1,1,1,205,88,0.00423728813559322,7,False,False,False,1.0,0.0
FJ,landing_region_1cece50a3587::landing_region_58084817cbe7,"Suva, Fiji -> Paddington, NSW, Australia",2.0,2,2,2,2,2,2,2,1.0,1,True,False,False,0.0,2.0
GG,landing_region_0389fb1be871::landing_region_da27bcef4ab9,"Havelet Bay, Guernsey -> Greve de Lecq, Jersey",2.0,2,2,1,1,1,1,1,1.0,1,True,False,False,2.0,0.0
GH,landing_region_2e263771884f::landing_region_30beda532e6f,"Accra, Ghana -> Lagos, Nigeria",2.0,2,2,2,1,1,3,2,0.5,1,True,False,False,0.0,2.0
GH,landing_region_2e263771884f::landing_region_343850da3642,"Accra, Ghana -> Carcavelos, Portugal",1.0,2,2,2,2,1,3,2,0.25,2,False,True,False,0.0,1.0
GH,landing_region_2e263771884f::landing_region_f7627feb3284,"Accra, Ghana -> Seixal, Portugal",1.0,2,2,2,2,1,3,2,0.25,3,False,False,True,0.0,1.0
GP,landing_region_15bd93313ef3::landing_region_7587c579129b,"Baie-Mahault, Guadeloupe -> Capesterre-Belle-Eau, Guadeloupe",0.25,1,1,1,1,1,1,1,0.25,1,True,False,False,0.25,0.0
GP,landing_region_24728f09c1b8::landing_region_443f465b9a9a,"Beausejour, Guadeloupe -> Saint-Louis, Guadeloupe",0.25,1,1,1,1,1,1,1,0.25,2,False,True,False,0.25,0.0
GP,landing_region_24728f09c1b8::landing_region_7587c579129b,"Beausejour, Guadeloupe -> Capesterre-Belle-Eau, Guadeloupe",0.25,1,1,1,1,1,1,1,0.25,3,False,False,True,0.25,0.0
GP,landing_region_443f465b9a9a::landing_region_7587c579129b,"Saint-Louis, Guadeloupe -> Capesterre-Belle-Eau, Guadeloupe",0.25,1,1,1,1,1,1,1,0.25,4,False,False,False,0.25,0.0
GU,landing_region_bc6c664daa8f::landing_region_df61fea74887,"Alupang, Guam -> El Segundo, CA, United States",4.0,4,4,3,3,2,5,3,0.6666666666666666,1,True,False,False,0.0,4.0
GU,landing_region_3a991c05745c::landing_region_bc6c664daa8f,"Waialua, HI, United States -> Alupang, Guam",1.0,2,2,2,2,1,5,3,0.16666666666666666,2,False,True,False,0.0,1.0
GU,landing_region_8d528e077d6e::landing_region_bc6c664daa8f,"Kahe Point, HI, United States -> Alupang, Guam",1.0,2,2,2,2,1,5,3,0.16666666666666666,3,False,False,True,0.0,1.0
HK,landing_region_6d0b3b188139::landing_region_85e39fb7d29e,"Zhuhai, China -> Chai Wan, China",43.0,43,43,30,29,17,168,92,0.20772946859903382,1,True,False,False,43.0,0.0
HK,landing_region_5d023e72c246::landing_region_7a7da5f2aeb1,"Singapore, Singapore -> Lantau Island, China",40.75,163,163,160,155,86,168,92,0.19685990338164253,2,False,True,False,0.0,40.75
HK,landing_region_7a7da5f2aeb1::landing_region_9430e1a9028b,"Lantau Island, China -> Changi North, Singapore",40.75,163,163,160,155,86,168,92,0.19685990338164253,3,False,False,True,0.0,40.75
HK,landing_region_85e39fb7d29e::landing_region_9430e1a9028b,"Chai Wan, China -> Changi North, Singapore",40.75,163,163,160,155,86,168,92,0.19685990338164253,4,False,False,False,0.0,40.75
HK,landing_region_85e39fb7d29e::landing_region_af2b1cb46785,"Chai Wan, China -> Tuas, Singapore",40.75,163,163,160,155,86,168,92,0.19685990338164253,5,False,False,False,0.0,40.75
HK,landing_region_3362110f86da::landing_region_7a7da5f2aeb1,"Pa Li, Taiwan -> Lantau Island, China",0.25,1,1,1,1,1,168,92,0.0012077294685990338,6,False,False,False,0.0,0.25
HK,landing_region_3362110f86da::landing_region_85e39fb7d29e,"Pa Li, Taiwan -> Chai Wan, China",0.25,1,1,1,1,1,168,92,0.0012077294685990338,7,False,False,False,0.0,0.25
HK,landing_region_7a7da5f2aeb1::landing_region_8eebb9f0ec75,"Lantau Island, China -> Toucheng, Taiwan",0.25,1,1,1,1,1,168,92,0.0012077294685990338,8,False,False,False,0.0,0.25
HK,landing_region_85e39fb7d29e::landing_region_8eebb9f0ec75,"Chai Wan, China -> Toucheng, Taiwan",0.25,1,1,1,1,1,168,92,0.0012077294685990338,9,False,False,False,0.0,0.25
HN,landing_region_620bdff3a2d2::landing_region_bd03623e84bf,"Puerto Cortes, Honduras -> Hollywood, FL, United States",8.0,8,8,8,8,7,8,7,1.0,1,True,False,False,0.0,8.0
ID,landing_region_5a1e27deaea1::landing_region_ae1b031adf3a,"Tanjung Pakis, Indonesia -> Ancol, Indonesia",99.0,99,99,46,43,34,75,56,0.4782608695652174,1,True,False,False,99.0,0.0
