probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
AD,4,4,0,0.0,1.0,1,3,1,1,1
AE,22,20,4,0.18181818181818182,0.9090909090909091,1,20,14,1,1
AF,6,6,0,0.0,1.0,1,6,2,1,1
AL,24,22,3,0.125,0.9166666666666666,1,23,14,1,1
AM,14,14,0,0.0,1.0,1,14,7,1,1
AO,10,9,7,0.7,0.9,1,10,4,1,1
AR,50,44,5,0.1,0.88,1,50,39,1,1
AT,213,209,2,0.009389671361502348,0.9812206572769953,1,206,81,1,1
AU,253,200,123,0.48616600790513836,0.7905138339920948,1,240,71,1,1
AX,2,2,2,1.0,1.0,1,2,2,1,1
AZ,10,6,0,0.0,0.6,1,9,8,1,1
BA,15,14,0,0.0,0.9333333333333333,1,15,6,1,1
BB,1,1,0,0.0,1.0,1,1,1,1,1
BD,9,8,0,0.0,0.8888888888888888,1,9,6,1,1
BE,151,150,24,0.15894039735099338,0.9933774834437086,1,146,25,1,1
BF,5,4,3,0.6,0.8,1,4,3,1,1
BG,85,83,1,0.011764705882352941,0.9764705882352941,1,83,51,1,1
BH,5,5,3,0.6,1.0,1,5,2,1,1
BI,1,1,0,0.0,1.0,1,1,1,1,1
BJ,7,7,4,0.5714285714285714,1.0,1,7,4,1,1
BL,1,1,0,0.0,1.0,1,1,1,1,1
BO,18,18,8,0.4444444444444444,1.0,1,18,9,1,1
BR,91,79,44,0.4835164835164835,0.8681318681318682,1,86,57,1,1
BT,3,2,0,0.0,0.6666666666666666,1,2,2,1,1
BW,1,1,0,0.0,1.0,1,1,1,1,1
BY,25,25,3,0.12,1.0,1,23,14,1,1
BZ,1,1,1,1.0,1.0,1,1,1,1,1
CA,284,275,59,0.20774647887323944,0.9683098591549296,1,268,84,1,1
CD,3,3,0,0.0,1.0,1,3,3,1,1
CG,2,2,1,0.5,1.0,1,2,2,1,1
CH,332,311,82,0.2469879518072289,0.9367469879518072,1,320,81,1,1
CI,2,2,2,1.0,1.0,1,1,1,1,1
CK,1,1,0,0.0,1.0,1,1,1,1,1
CL,82,38,7,0.08536585365853659,0.4634146341463415,1,76,33,1,1
CM,2,2,2,1.0,1.0,1,2,2,1,1
CN,51,47,10,0.19607843137254902,0.9215686274509803,1,50,23,1,1
CO,32,28,2,0.0625,0.875,1,31,22,1,1
CR,17,12,0,0.0,0.7058823529411765,1,16,8,1,1
CU,1,1,1,1.0,1.0,1,1,1,1,1
CV,4,4,1,0.25,1.0,1,4,2,1,1
CW,2,2,1,0.5,1.0,1,2,2,1,1
CY,13,12,9,0.6923076923076923,0.9230769230769231,1,13,6,1,1
CZ,290,284,0,0.0,0.9793103448275862,1,276,112,1,1
DE,1672,1626,53,0.031698564593301434,0.972488038277512,1,1592,375,1,1
DJ,3,3,0,0.0,1.0,1,3,2,1,1
DK,113,106,97,0.8584070796460177,0.9380530973451328,1,108,35,1,1
DO,9,9,1,0.1111111111111111,1.0,1,9,7,1,1
DZ,1,1,0,0.0,1.0,1,1,1,1,1
EC,24,23,0,0.0,0.9583333333333334,1,23,18,1,1
EE,38,33,23,0.6052631578947368,0.868421052631579,1,37,21,1,1
EG,2,2,0,0.0,1.0,1,2,1,1,1
ES,234,223,6,0.02564102564102564,0.9529914529914529,1,229,73,1,1
ET,1,1,0,0.0,1.0,1,1,1,1,1
FI,149,143,109,0.7315436241610739,0.959731543624161,1,142,50,1,1
FJ,2,1,0,0.0,0.5,1,2,2,1,1
FM,2,1,1,0.5,0.5,1,2,1,1,1
FR,987,942,15,0.015197568389057751,0.9544072948328267,1,947,162,1,1
GB,550,516,3,0.005454545454545455,0.9381818181818182,1,524,185,1,1
GE,11,11,0,0.0,1.0,1,10,6,1,1
GF,1,1,0,0.0,1.0,1,1,1,1,1
GG,1,1,0,0.0,1.0,1,1,1,1,1
GH,4,4,3,0.75,1.0,1,3,3,1,1
GP,2,2,2,1.0,1.0,1,2,2,1,1
GQ,1,1,1,1.0,1.0,1,1,1,1,1
