country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
SG,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1318.0,1318.0,4.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9855842185128983,0.9908952959028832,0.9954476479514416,0.09122416246060679,0.06580432339558327,1.095514550973748,severe_corridor_observation_concentration,True,True,True,True,auditable,,624.0,243.0,1.0,0.9855842185128983,0.014415781487101669,country_corridor_concentration_summary,,,,,
,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,400.0,400.0,5.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9625,0.9925,0.9975,0.18518777041094978,0.11506363120952791,1.203444390161362,severe_corridor_observation_concentration,True,True,True,True,auditable,,117.0,51.0,1.0,0.9675,0.0325,service_country_corridor_concentration_summary,SG,B-Root,all_publicly_visible,0.0025,True
,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,31.0,31.0,2.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9354838709677419,1.0,1.0,0.23921709381651282,0.34511731494495296,1.2702542710002684,severe_corridor_observation_concentration,True,True,True,True,auditable,,19.0,10.0,1.0,0.9032258064516129,0.0967741935483871,service_country_corridor_concentration_summary,MY,B-Root,all_publicly_visible,0.0,True
SE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,36.0,36.0,3.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,0.8888888888888888,0.9722222222222222,1.0,0.4113137785784551,0.37439393571421514,1.5087987110046455,severe_corridor_observation_concentration,True,True,True,True,auditable,,30.0,15.0,1.0,0.5555555555555556,0.4444444444444444,country_corridor_concentration_summary,,,,,
FI,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,236.0,236.0,6.0,landing_region_65aa8d7cf62e::landing_region_71db3ba08a92,0.885593220338983,0.9406779661016949,0.9661016949152542,0.5058816311005924,0.2823379140943185,1.6584470145835912,severe_corridor_observation_concentration,True,True,True,True,auditable,,205.0,88.0,1.0,0.0847457627118644,0.9152542372881356,country_corridor_concentration_summary,,,,,
ES,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,33.0,33.0,4.0,landing_region_09d9f94c7c1e::landing_region_1a00bf1d418e,0.8787878787878788,0.9393939393939394,0.9696969696969697,0.49535988174746093,0.3573266224262026,1.6410887306772273,severe_corridor_observation_concentration,True,True,True,True,auditable,,31.0,17.0,1.0,0.06060606060606061,0.9393939393939394,country_corridor_concentration_summary,,,,,
,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,33.0,33.0,3.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.8787878787878788,0.9393939393939394,1.0,0.45335096171352485,0.41265782878065177,1.573576354667363,severe_corridor_observation_concentration,True,True,True,True,auditable,,30.0,3.0,1.0,0.8787878787878788,0.12121212121212122,service_country_corridor_concentration_summary,RE,B-Root,all_publicly_visible,0.0,True
,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,166.0,166.0,6.0,landing_region_65aa8d7cf62e::landing_region_71db3ba08a92,0.8493975903614458,0.927710843373494,0.963855421686747,0.6146855339419995,0.34306252848035734,1.8490750367844784,severe_corridor_observation_concentration,True,True,True,True,auditable,,136.0,49.0,1.0,0.12048192771084337,0.8795180722891566,service_country_corridor_concentration_summary,FI,B-Root,all_publicly_visible,0.0,True
,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,71.0,71.0,4.0,landing_region_65aa8d7cf62e::landing_region_71db3ba08a92,0.8169014084507042,0.8873239436619719,0.9577464788732395,0.6725966291252921,0.4851759106788461,1.9593183440922897,severe_corridor_observation_concentration,True,True,True,True,auditable,,65.0,38.0,1.0,0.04225352112676056,0.9577464788732394,service_country_corridor_concentration_summary,RU,B-Root,all_publicly_visible,0.0,True
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,207.0,207.0,4.0,landing_region_319252418c1f::landing_region_d0ecf913edd7,0.7874396135265701,0.995169082125604,0.997584541062802,0.5437345395177096,0.39222156186112184,1.722427338924319,moderate_corridor_observation_concentration,True,True,True,True,auditable,,168.0,92.0,1.0,0.20772946859903382,0.7922705314009661,country_corridor_concentration_summary,,,,,
,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,31.0,31.0,3.0,landing_region_5631d1801aee::landing_region_71db3ba08a92,0.7419354838709677,0.8709677419354839,1.0,0.7498994027003214,0.6825878523618678,2.116787062839051,moderate_corridor_observation_concentration,True,True,True,True,auditable,,23.0,14.0,1.0,0.0,1.0,service_country_corridor_concentration_summary,EE,B-Root,all_publicly_visible,0.0,True
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,84.0,84.0,4.0,landing_region_32509493c7f4::landing_region_d0ecf913edd7,0.6785714285714286,0.8452380952380952,0.9761904761904763,0.9169612364256358,0.6614477142393386,2.501676823474766,moderate_corridor_observation_concentration,True,True,True,True,auditable,,76.0,35.0,1.0,0.16666666666666666,0.8333333333333334,country_corridor_concentration_summary,,,,,
,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,78.0,78.0,5.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.6666666666666666,0.8974358974358974,0.9871794871794871,0.8897910206486632,0.5528582455864673,2.434620812645164,moderate_corridor_observation_concentration,True,True,True,True,auditable,,42.0,25.0,1.0,0.8974358974358975,0.10256410256410256,service_country_corridor_concentration_summary,TH,B-Root,all_publicly_visible,0.0,True
