country,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum
DK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,278.0,0.15467625899280577,0.27697841726618705,0.3776978417266187,3.030292872398045,0.827143955827626,20.70329512526223,broad_network_transition_distribution,0.9892086330935251,0.9946043165467625,1.0,0.06708713101930033,0.06106533825562124,1.0693886510386112,-0.7660786175720048,0.7660786175720048,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.03237410071942446,True,True,True,True,True,auditable,,124.0,46.0,0.6115107913669064,0.38848920863309355,country_cross_layer_distribution_audit,,,
,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,182.0,0.44505494505494503,0.6483516483516483,0.7087912087912087,2.0056412852835614,0.6396571472192062,7.4308576687933545,broad_network_transition_distribution,0.9835164835164835,0.9890109890109889,0.9945054945054944,0.10212724067297584,0.07366923182928795,1.1075243849108722,-0.5659879153899182,0.5659879153899182,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,82.0,16.0,0.989010989010989,0.01098901098901099,service_country_cross_layer_distribution_audit,PT,B-Root,all_publicly_visible
,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,348.0,0.27586206896551724,0.3994252873563218,0.49712643678160917,2.8029636803731757,0.7499228039476953,16.493455739341243,broad_network_transition_distribution,0.9741379310344828,0.9813218390804598,0.985632183908046,0.16854454617154252,0.08105279364352178,1.1835809496705685,-0.6688700103041735,0.6688700103041735,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.02586206896551724,True,True,True,True,True,auditable,,105.0,35.0,0.7212643678160919,0.27873563218390807,service_country_cross_layer_distribution_audit,DK,B-Root,all_publicly_visible
PT,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,240.0,0.3541666666666667,0.5083333333333333,0.6,2.448641392512615,0.7130607211682192,11.572613394730535,broad_network_transition_distribution,0.8833333333333333,0.9958333333333333,1.0,0.3782060666228933,0.34425799758840053,1.459663699855934,-0.36880272357981864,0.36880272357981864,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.008333333333333333,True,True,True,True,True,auditable,,116.0,36.0,0.8875,0.1125,country_cross_layer_distribution_audit,,,
SE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,306.0,0.49673202614379086,0.5784313725490197,0.6568627450980392,1.9984268347886294,0.6564007576449251,7.377441031536384,broad_network_transition_distribution,0.8823529411764706,0.934640522875817,0.9869281045751633,0.4898819536989211,0.27340832411505395,1.6321235424360803,-0.38299243352987117,0.38299243352987117,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,164.0,55.0,0.9444444444444444,0.05555555555555555,country_cross_layer_distribution_audit,,,
,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,197.0,0.233502538071066,0.3553299492385787,0.4619289340101523,2.52423213091284,0.8426093857573641,12.481307572779729,broad_network_transition_distribution,0.8781725888324873,0.9390862944162436,0.9949238578680203,0.4724668066752786,0.34081275948753453,1.603945941669416,-0.5017966262698296,0.5017966262698296,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,55.0,22.0,0.9238578680203046,0.07614213197969544,service_country_cross_layer_distribution_audit,SE,B-Root,all_publicly_visible
US,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,558.0,0.1863799283154122,0.33154121863799285,0.446236559139785,2.9962503285500373,0.7288597090420768,20.01036378419423,broad_network_transition_distribution,0.8261648745519713,0.9068100358422939,0.9289127837514934,0.7863467071269148,0.2979649961759468,2.195361459774792,-0.43089471286612996,0.43089471286612996,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.11827956989247312,True,True,True,True,True,auditable,,248.0,77.0,0.96415770609319,0.03584229390681003,country_cross_layer_distribution_audit,,,
,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,472.0,0.22033898305084745,0.3411016949152542,0.4364406779661017,2.9290214630562543,0.718330978771014,18.70931378161586,broad_network_transition_distribution,0.815677966101695,0.9110169491525424,0.9371468926553673,0.8248950223654069,0.266866286960629,2.2816412314572054,-0.45146469181038507,0.45146469181038507,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.1228813559322034,True,True,True,True,True,auditable,,172.0,59.0,0.9872881355932204,0.012711864406779662,service_country_cross_layer_distribution_audit,US,B-Root,all_publicly_visible
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,285.0,0.631578947368421,0.7508771929824561,0.8491228070175438,1.3960468916555702,0.4829990771400703,4.039200965744566,weak_network_transition_concentration,0.6526315789473685,0.8035087719298246,0.9543859649122808,1.0593507302091703,0.5094400150116241,2.884497564024519,0.02644093787155377,-0.02644093787155377,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.12631578947368421,True,True,True,True,True,auditable,,155.0,51.0,0.9719298245614035,0.028070175438596492,country_cross_layer_distribution_audit,,,
,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,37.0,0.5135135135135135,0.7027027027027026,0.7837837837837838,1.6042194565719605,0.6967036577510357,4.973975683122219,broad_network_transition_distribution,0.6216216216216216,0.8108108108108107,0.8558558558558559,1.2433849681029367,0.5979417757993296,3.4673304256987403,-0.0987618819517061,0.0987618819517061,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,10.0,3.0,0.7567567567567568,0.24324324324324326,service_country_cross_layer_distribution_audit,MV,B-Root,all_publicly_visible
