probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
VN,B-Root,dns_root,anycast,all_publicly_visible,29,29,26,0.896551724137931,0.9655172413793104,0.896551724137931,0.4827586206896552,0.6206896551724138,0.8620689655172413,26,0.896551724137931,1.0,28,16,1,1,0.0,False,0.0,True,True,auditable,
ID,B-Root,dns_root,anycast,all_publicly_visible,101,96,82,0.8118811881188119,0.9108910891089109,0.8118811881188119,0.6732673267326733,0.6138613861386139,0.7920792079207921,82,0.8118811881188119,0.9504950495049505,95,66,1,1,0.0,True,0.05581395348837209,True,True,auditable,
TH,B-Root,dns_root,anycast,all_publicly_visible,53,53,43,0.8113207547169812,0.8301886792452831,0.8113207547169812,0.7547169811320755,0.1509433962264151,0.7924528301886793,43,0.8113207547169812,1.0,49,29,1,1,0.0,True,0.0,True,True,auditable,
NO,B-Root,dns_root,anycast,all_publicly_visible,97,91,78,0.8041237113402062,0.845360824742268,0.8041237113402062,0.7525773195876289,0.05154639175257732,0.25773195876288657,78,0.8041237113402062,0.9381443298969072,91,34,1,1,0.0,True,0.0,True,True,auditable,
SG,B-Root,dns_root,anycast,all_publicly_visible,154,128,120,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.06493506493506493,0.7792207792207793,120,0.7792207792207793,0.8311688311688312,149,67,1,1,0.0,True,0.0025,True,True,auditable,
HK,B-Root,dns_root,anycast,all_publicly_visible,70,67,54,0.7714285714285715,0.9,0.7714285714285715,0.3142857142857143,0.7,0.7857142857142857,54,0.7714285714285715,0.9571428571428572,66,40,1,1,0.0,True,0.0,True,True,auditable,
PH,B-Root,dns_root,anycast,all_publicly_visible,69,62,53,0.7681159420289855,0.782608695652174,0.7681159420289855,0.5217391304347826,0.6376811594202898,0.6086956521739131,53,0.7681159420289855,0.8985507246376812,66,35,1,1,0.0,True,0.0,True,True,auditable,
FI,B-Root,dns_root,anycast,all_publicly_visible,188,181,144,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.05319148936170213,0.7659574468085106,0.015957446808510637,144,0.7659574468085106,0.9627659574468085,178,62,1,1,0.0,True,0.0,True,True,auditable,
IN,B-Root,dns_root,anycast,all_publicly_visible,159,138,121,0.7610062893081762,0.7610062893081762,0.7610062893081762,0.6729559748427673,0.4088050314465409,0.6415094339622641,121,0.7610062893081762,0.8679245283018868,152,63,1,1,0.0,True,0.06578947368421052,True,True,auditable,
NZ,B-Root,dns_root,anycast,all_publicly_visible,122,105,83,0.680327868852459,0.8032786885245902,0.680327868852459,0.5409836065573771,0.45081967213114754,0.7704918032786885,83,0.680327868852459,0.860655737704918,116,35,1,1,0.0,True,0.016260162601626018,True,True,auditable,
IL,B-Root,dns_root,anycast,all_publicly_visible,37,36,22,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5405405405405406,0.24324324324324326,0.5405405405405406,22,0.5945945945945946,0.972972972972973,34,13,1,1,0.0,True,0.0,True,True,auditable,
RE,B-Root,dns_root,anycast,all_publicly_visible,54,54,31,0.5740740740740741,0.5740740740740741,0.5740740740740741,0.5370370370370371,0.037037037037037035,0.5370370370370371,31,0.5740740740740741,1.0,52,5,1,1,0.0,True,0.0,True,True,auditable,
EE,B-Root,dns_root,anycast,all_publicly_visible,42,36,24,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714,0.0,24,0.5714285714285714,0.8571428571428571,41,21,1,1,0.0,True,0.0,True,True,auditable,
MY,B-Root,dns_root,anycast,all_publicly_visible,36,32,19,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.5,0.08333333333333333,0.5,19,0.5277777777777778,0.8888888888888888,36,20,1,1,0.0,True,0.0,True,True,auditable,
AU,B-Root,dns_root,anycast,all_publicly_visible,296,242,137,0.46283783783783783,0.597972972972973,0.46283783783783783,0.44932432432432434,0.033783783783783786,0.5675675675675675,137,0.46283783783783783,0.8175675675675675,280,77,1,1,0.0,True,0.07073170731707316,True,True,auditable,
CA,B-Root,dns_root,anycast,all_publicly_visible,328,319,69,0.21036585365853658,0.25,0.21036585365853658,0.16158536585365854,0.18902439024390244,0.21341463414634146,69,0.21036585365853658,0.9725609756097561,309,95,1,1,0.0,True,0.18125,True,True,auditable,
RU,B-Root,dns_root,anycast,all_publicly_visible,540,510,68,0.1259259259259259,0.1259259259259259,0.1259259259259259,0.005555555555555556,0.1259259259259259,0.005555555555555556,68,0.1259259259259259,0.9444444444444444,517,307,1,1,0.0,True,0.0,True,True,auditable,
US,B-Root,dns_root,anycast,all_publicly_visible,1960,1875,48,0.024489795918367346,0.08979591836734693,0.024489795918367346,0.022448979591836733,0.003061224489795918,0.07653061224489796,48,0.024489795918367346,0.9566326530612245,1886,512,1,1,0.0,True,0.2916666666666667,True,True,auditable,
