unit_id,num_links,num_links_with_feasible_candidates,avg_feasible_candidates_per_link,median_feasible_candidates_per_link,max_feasible_candidates_per_link,avg_feasible_corridors_per_link,median_feasible_corridors_per_link,max_feasible_corridors_per_link,share_links_with_parallel_ambiguity,share_links_with_many_candidates,share_links_with_large_landing_radius,share_links_with_rtt_inconclusive,share_links_with_multi_segment_possible,share_links_with_domestic_submarine_candidate,share_links_with_only_low_support_feasible_candidates
probe_country=AE|service_id=C-Root,26,26,10.0,14.0,14,3.076923076923077,4.0,4,0.6923076923076923,0.6923076923076923,0.0,0.7692307692307693,0.0,0.9230769230769231,0.46153846153846156
probe_country=AF|service_id=C-Root,2,2,1.0,1.0,1,2.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=AM|service_id=C-Root,4,4,1.0,1.0,1,2.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=AT|service_id=C-Root,10,10,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=AU|service_id=C-Root,1438,1438,6.36509040333797,3.0,14,1.9909596662030598,1.0,4,0.3289290681502086,0.3289290681502086,0.0,0.7885952712100139,0.09040333796940195,0.9624478442280946,0.5417246175243393
probe_country=AX|service_id=C-Root,10,10,1.4,1.0,3,1.4,1.0,2,0.2,0.0,0.0,0.4,0.0,0.4,0.8
probe_country=AZ|service_id=C-Root,7,7,1.0,1.0,1,2.0,2.0,2,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,1.0
probe_country=BD|service_id=C-Root,61,61,13.131147540983607,14.0,14,3.7704918032786887,4.0,4,1.0,0.9180327868852459,0.0,0.9672131147540983,0.03278688524590164,0.9180327868852459,0.36065573770491804
probe_country=BF|service_id=C-Root,6,6,2.3333333333333335,1.0,5,1.3333333333333333,1.0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
probe_country=BH|service_id=C-Root,10,10,1.6,1.0,4,1.8,2.0,2,0.2,0.0,0.0,0.2,0.8,0.2,0.8
probe_country=BI|service_id=C-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=BJ|service_id=C-Root,8,8,1.75,2.0,2,1.75,2.0,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
probe_country=BR|service_id=C-Root,9,9,3.2222222222222223,4.0,5,1.0,1.0,1,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.7777777777777778
probe_country=BT|service_id=C-Root,4,4,14.0,14.0,14,4.0,4.0,4,1.0,1.0,0.0,1.0,0.0,1.0,0.5
probe_country=CA|service_id=C-Root,219,219,1.726027397260274,2.0,3,2.401826484018265,3.0,7,0.0,0.6164383561643836,0.0,0.6712328767123288,0.0,0.7534246575342466,0.8447488584474886
probe_country=CH|service_id=C-Root,80,80,1.65,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.9875,0.0,1.0,1.0
probe_country=CI|service_id=C-Root,5,5,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.8,0.0,1.0,0.4
probe_country=CK|service_id=C-Root,4,4,3.0,3.0,3,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.5
probe_country=CM|service_id=C-Root,3,3,2.6666666666666665,1.0,6,1.3333333333333333,1.0,2,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,0.0
probe_country=CN|service_id=C-Root,66,66,5.181818181818182,2.0,14,1.9393939393939394,1.0,4,0.2878787878787879,0.3181818181818182,0.0,0.7424242424242424,0.0,0.9242424242424242,0.6818181818181818
probe_country=CO|service_id=C-Root,11,11,1.6363636363636365,2.0,2,1.0,1.0,1,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,1.0
probe_country=CU|service_id=C-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=CV|service_id=C-Root,4,4,1.0,1.0,1,2.5,3.0,3,0.0,0.0,0.0,0.75,0.0,0.75,0.75
probe_country=CW|service_id=C-Root,3,3,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
probe_country=CY|service_id=C-Root,18,18,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.2222222222222222
probe_country=DE|service_id=C-Root,52,52,1.9038461538461537,2.0,3,1.25,1.0,2,0.07692307692307693,0.0,0.0,0.5,0.0,0.75,1.0
probe_country=DK|service_id=C-Root,430,430,5.355813953488372,6.0,14,2.541860465116279,3.0,4,0.9441860465116279,0.5558139534883721,0.0,0.9046511627906977,0.0,0.8046511627906977,0.386046511627907
probe_country=DO|service_id=C-Root,10,10,1.8,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.5
probe_country=EC|service_id=C-Root,8,8,1.375,1.0,2,1.0,1.0,1,0.0,0.0,0.0,0.5,0.0,0.25,0.75
probe_country=EE|service_id=C-Root,127,127,1.7716535433070866,2.0,6,1.921259842519685,2.0,2,0.05511811023622047,0.05511811023622047,0.0,0.36220472440944884,0.0,0.0,0.7401574803149606
probe_country=ES|service_id=C-Root,9,9,1.4444444444444444,1.0,3,1.0,1.0,1,0.2222222222222222,0.0,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778
probe_country=FI|service_id=C-Root,429,429,1.8041958041958042,1.0,3,1.9347319347319347,2.0,2,0.40326340326340326,0.0,0.0,0.12354312354312354,0.0,0.055944055944055944,0.9487179487179487
probe_country=FJ|service_id=C-Root,4,4,2.75,3.0,3,1.0,1.0,1,0.0,0.0,0.0,0.75,0.25,0.75,0.5
probe_country=FM|service_id=C-Root,5,5,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.6,0.0,0.8,0.8
probe_country=GB|service_id=C-Root,9,9,2.7777777777777777,3.0,3,1.0,1.0,1,0.2222222222222222,0.0,0.0,0.6666666666666666,0.0,1.0,0.7777777777777778
