country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AE,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,10,10.0,4,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,0.6,0.8,0.9,1.0888999753452235,0.7854752972273343,2.9710040966100055,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,4,1,0.8,0.2,transition_near_country
AO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_593e1abfd2fb::landing_region_a33078e57a08,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,1,0.0,1.0,transition_near_country
AU,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,338,338.0,12,landing_region_3996aeca3c5e::landing_region_58084817cbe7,0.33727810650887574,0.5059171597633136,0.6124260355029586,2.000005891331344,0.8048615796098314,7.389099630436679,broad_corridor_observation_distribution,False,False,True,True,auditable,,149,54,1,0.8106508875739645,0.1893491124260355,transition_near_country
AX,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6,6.0,2,landing_region_3eb4f4d89687::landing_region_f4011a851fe0,0.8333333333333334,1.0,1.0,0.45056120886630463,0.6500224216483541,1.5691925832141966,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.6666666666666666,0.3333333333333333,transition_near_country
BH,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8,8.0,1,landing_region_08ea81d123b5::landing_region_445416594174,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.0,1.0,transition_near_country
BJ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_8afa8229a8fd::landing_region_c88b92706e9c,0.75,1.0,1.0,0.5623351446188083,0.8112781244591328,1.7547653506033232,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,1,0.0,1.0,transition_near_country
BR,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,425,425.0,9,landing_region_5113b57f1083::landing_region_7f124bf07cd8,0.7058823529411765,0.851764705882353,0.9576470588235294,0.9658719503819537,0.43958726856811225,2.627077339173968,moderate_corridor_observation_concentration,True,True,True,True,auditable,,144,72,1,0.8658823529411764,0.13411764705882354,transition_near_country
CA,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,74,74.0,28,landing_region_ad2e1f237edf::landing_region_df3d1db01d0e,0.47297297297297297,0.527027027027027,0.5810810810810811,2.2265772232345755,0.6681994506746239,9.268089127674639,broad_corridor_observation_distribution,False,False,True,True,auditable,,46,18,1,0.44594594594594616,0.5540540540540541,transition_near_country
CL,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,60,60.0,3,landing_region_0c894d5ef6d3::landing_region_8c0e5886c6bc,0.75,0.9833333333333334,1.0,0.6235676513174672,0.5675957366847246,1.8655718933497107,moderate_corridor_observation_concentration,True,True,True,True,auditable,,38,20,1,0.25,0.75,transition_near_country
CM,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,2.0,2,landing_region_30beda532e6f::landing_region_3ac9da776834,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
CN,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,24,24.0,6,landing_region_319252418c1f::landing_region_6d0b3b188139,0.8333333333333334,0.9166666666666667,0.9375,0.6816102690529532,0.38041393432490794,1.9770587669304789,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,3,1,0.9583333333333334,0.041666666666666664,transition_near_country
CO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,10,10.0,3,landing_region_61312bef9df1::landing_region_83c1ffe3b901,0.6,0.8999999999999999,1.0,0.8979457248567798,0.8173454221465101,2.454555595891148,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,5,1,0.0,1.0,transition_near_country
CV,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1,1.0,2,landing_region_0e3c71b8e5bb::landing_region_c78987ebb9a4,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
CW,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0c894d5ef6d3::landing_region_83c1ffe3b901,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,5,1,0.0,1.0,transition_near_country
CY,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,22,22.0,3,landing_region_08ea81d123b5::landing_region_3e7b4a85e943,0.4090909090909091,0.8181818181818182,1.0,1.0412597335159743,0.9477954545532472,2.8327833196740517,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,11,4,1,0.18181818181818182,0.8181818181818182,transition_near_country
DE,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_363f6a205e8d::landing_region_8c8eca82b223,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
DK,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,122,122.0,3,landing_region_1c12bbea2f36::landing_region_363f6a205e8d,0.6147540983606558,0.9098360655737705,1.0,0.876192042270754,0.7975443669331203,2.401736559755845,moderate_corridor_observation_concentration,True,True,True,True,auditable,,70,17,1,0.6147540983606558,0.38524590163934425,transition_near_country
DO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,10,10.0,2,landing_region_0c894d5ef6d3::landing_region_508245093782,0.8,1.0,1.0,0.5004024235381879,0.7219280948873623,1.6493848884661177,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,6,1,0.0,1.0,transition_near_country
EE,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,61,61.0,4,landing_region_5631d1801aee::landing_region_71db3ba08a92,0.4262295081967213,0.8524590163934426,0.9672131147540983,1.0874527923434072,0.7844313753573446,2.9667076196271496,moderate_corridor_observation_concentration,True,True,True,True,auditable,,32,16,1,0.03278688524590164,0.9672131147540983,transition_near_country
ES,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_08ea81d123b5::landing_region_8eb611963dd1,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
FI,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,211,211.00000000000003,11,landing_region_65aa8d7cf62e::landing_region_71db3ba08a92,0.3341232227488152,0.6587677725118484,0.8357030015797788,1.6150739351856842,0.6735381455174541,5.028259675038562,weak_corridor_observation_concentration,True,True,True,True,auditable,,99,48,1,0.2890995260663507,0.7109004739336492,transition_near_country
FJ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6,6.0,2,landing_region_1cece50a3587::landing_region_58084817cbe7,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.0,1.0,transition_near_country
FR,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_64561d142765::landing_region_ef749c24fbd2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0,1,1.0,0.0,transition_near_country
GB,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4,4.0,4,landing_region_08337e5ad0be::landing_region_a371d3258cbb,0.25,0.5,0.75,1.3862943611198906,1.0,4.0,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
