probe_country,country_geography_type,country_geography_classification_source,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_inter_region_candidates,traces_with_domestic_inter_region_candidates,traces_with_international_inter_region_candidates,traces_with_intra_region_candidates,inter_region_candidate_exposure_rate,inter_region_candidate_rate_among_mappable_traces,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,candidate_dependency_proxy_rate,candidate_dependency_proxy_tier,unique_services,unique_probes,unique_probe_asns,service_entry_resolution_rate,geography_summary_eligible,geography_summary_eligibility_reason,candidate_dependency_proxy_interpretation
?,unknown,unclassified_or_missing_country_code,all_publicly_visible,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,1,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
?,unknown,unclassified_or_missing_country_code,resolved_entry_only,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,1,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AD,landlocked,catalog_landlocked_list,all_publicly_visible,6,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,3,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AD,landlocked,catalog_landlocked_list,resolved_entry_only,6,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,3,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AE,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,40,40,9,9,2,4,0.225,0.225,0.225,0.05,0.1,0.225,high_candidate_dependency_proxy,1,22,14,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AE,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,40,40,9,9,2,4,0.225,0.225,0.225,0.05,0.1,0.225,high_candidate_dependency_proxy,1,22,14,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AF,landlocked,catalog_landlocked_list,all_publicly_visible,11,11,2,0,2,0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,high_candidate_dependency_proxy,1,6,2,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AF,landlocked,catalog_landlocked_list,resolved_entry_only,11,11,2,0,2,0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,high_candidate_dependency_proxy,1,6,2,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AL,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,51,48,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,29,20,0.9019607843137255,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AL,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,46,46,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,26,17,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AM,landlocked,catalog_landlocked_list,all_publicly_visible,40,40,4,0,4,0,0.1,0.1,0.0,0.1,0.0,0.1,moderate_candidate_dependency_proxy,1,21,10,0.95,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AM,landlocked,catalog_landlocked_list,resolved_entry_only,38,38,4,0,4,0,0.10526315789473684,0.10526315789473684,0.0,0.10526315789473684,0.0,0.10526315789473684,moderate_candidate_dependency_proxy,1,20,9,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AO,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,22,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,12,5,1.0,False,insufficient_minimum_mappable_traces,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AO,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,22,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,12,5,1.0,False,insufficient_minimum_mappable_traces,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AR,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,104,100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,57,42,0.9615384615384616,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AR,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,100,100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,55,41,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AT,landlocked,catalog_landlocked_list,all_publicly_visible,407,400,0,0,0,6,0.0,0.0,0.0,0.0,0.014742014742014743,0.0,no_observed_inter_region_candidate_exposure,1,224,84,0.9606879606879607,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AT,landlocked,catalog_landlocked_list,resolved_entry_only,391,391,0,0,0,6,0.0,0.0,0.0,0.0,0.015345268542199489,0.0,no_observed_inter_region_candidate_exposure,1,216,80,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AU,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,519,485,258,214,54,328,0.49710982658959535,0.5319587628865979,0.4123314065510597,0.10404624277456648,0.6319845857418112,0.49710982658959535,very_high_candidate_dependency_proxy,1,281,77,0.928709055876686,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AU,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,482,482,255,211,54,325,0.529045643153527,0.529045643153527,0.43775933609958506,0.11203319502074689,0.6742738589211619,0.529045643153527,very_high_candidate_dependency_proxy,1,261,72,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
