country,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,10,4,8966->5384,0.3,0.6,0.8,3.9202634084155794,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,5,0.8,0.2
AO,5,1,37468->37468,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,0.0,1.0
AT,6,2,5385->5385,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1.0,0.0
AU,349,23,7578->7578,0.32664756446991405,0.45272206303724927,0.5730659025787965,10.540165123870974,broad_network_transition_distribution,0.0,True,True,auditable,,155,56,0.8166189111747851,0.1833810888252149
AX,6,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.6666666666666666,0.3333333333333333
BH,8,1,5416->174,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0
BJ,8,2,28683->174,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0
BR,425,12,174->174,0.7764705882352941,0.8541176470588235,0.9294117647058824,2.4933980910814353,moderate_network_transition_concentration,0.0,True,True,auditable,,144,73,0.8658823529411764,0.13411764705882354
CA,74,11,174->174,0.28378378378378377,0.43243243243243246,0.5675675675675675,7.959527715268699,broad_network_transition_distribution,0.0,True,True,auditable,,46,19,0.44594594594594594,0.5540540540540541
CH,280,31,13030->13030,0.35714285714285715,0.5178571428571429,0.5892857142857143,11.972434708991885,broad_network_transition_distribution,0.0,True,True,auditable,,93,28,0.9678571428571429,0.03214285714285714
CL,60,3,12956->12956,0.9166666666666666,0.9833333333333333,1.0,1.3889334980019865,severe_network_transition_concentration,0.0,True,True,auditable,,38,21,0.25,0.75
CM,2,1,60171->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CN,24,4,4134->4134,0.875,0.9166666666666666,0.9583333333333334,1.672127382288781,severe_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,4,0.9583333333333334,0.041666666666666664
CO,10,2,23520->23520,0.8,1.0,1.0,1.6493848884661177,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,5,0.0,1.0
CV,1,1,37575->8657,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CW,10,1,23520->23520,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,6,0.0,1.0
CY,22,4,6866->174,0.5,0.6818181818181819,0.8636363636363636,3.449319654200126,weak_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,11,5,0.18181818181818182,0.8181818181818182
DE,7,3,12693->12693,0.5714285714285714,0.8571428571428571,1.0,2.6004900059896596,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.7142857142857143,0.2857142857142857
DK,293,21,174->174,0.2593856655290102,0.48805460750853236,0.6416382252559727,9.589291868582155,broad_network_transition_distribution,0.0,True,True,auditable,,125,37,0.8395904436860068,0.16040955631399317
DO,10,2,64126->174,0.8,1.0,1.0,1.6493848884661177,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,6,0.0,1.0
EE,61,6,1299->1299,0.45901639344262296,0.7213114754098361,0.8360655737704918,4.163119126248342,weak_network_transition_concentration,0.0,True,True,auditable,,32,17,0.03278688524590164,0.9672131147540983
ES,2,1,3257->3257,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
