metric,value
candidate_rows,3980.0
unique_links,1300.0
unique_units,65.0
units_with_network_layer_diversity,116.0
units_with_physical_diversity_cable,65.0
units_with_physical_diversity_corridor,65.0
units_with_network_physical_mismatch_cable,65.0
units_with_network_physical_mismatch_corridor,65.0
median_network_layer_diversity_score,4.169349968237402
median_cable_physical_candidate_diversity_score,1.99863049472601
median_corridor_physical_candidate_diversity_score,1.4575692649810903
cable_mismatch_network_high_physical_low,8.0
cable_mismatch_network_high_physical_high,25.0
cable_mismatch_network_low_physical_low,25.0
cable_mismatch_network_low_physical_high,7.0
corridor_mismatch_network_high_physical_low,10.0
corridor_mismatch_network_high_physical_high,23.0
corridor_mismatch_network_low_physical_low,23.0
corridor_mismatch_network_low_physical_high,9.0
cable_corridor_target_quadrant_preserved,5.0
cable_corridor_target_quadrant_jaccard,0.38461538461538464
cable_corridor_target_quadrant_recall_from_cable,0.625
cable_corridor_target_quadrant_precision_to_corridor,0.5
mean_corridor_minus_cable_physical_diversity,-1.149089580645351
cable_corridor_quadrant_agreement_rate,0.7538461538461538
spearman_cable_corridor_physical_diversity_score,0.7543292163507621
