country,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,309.0,0.23300970873786409,0.45307443365695793,0.5889967637540453,2.359941903068612,0.7425745531850341,10.590336168527141,broad_network_transition_distribution,0.32038834951456313,0.42071197411003236,0.5177993527508091,2.1344368503338944,0.8589605772578998,8.45228526471677,0.11638602407286569,-0.11638602407286569,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,72.0,22.0,0.5436893203883495,0.4563106796116505,service_country_cross_layer_distribution_audit,NZ,C-Root,all_publicly_visible
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,309.0,0.23300970873786409,0.45307443365695793,0.5889967637540453,2.359941903068612,0.7425745531850341,10.590336168527141,broad_network_transition_distribution,0.32038834951456313,0.42071197411003236,0.5177993527508091,2.1344368503338944,0.8589605772578998,8.45228526471677,0.11638602407286569,-0.11638602407286569,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,72.0,22.0,0.5436893203883495,0.4563106796116505,service_country_cross_layer_distribution_audit,NZ,C-Root,resolved_entry_only
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,742.0,0.37870619946091644,0.4582210242587601,0.48787061994609165,3.1623622050611373,0.6944329590670312,23.626340323990497,broad_network_transition_distribution,0.24528301886792453,0.4386343216531896,0.6319856244384546,2.0668990482696996,0.6686737822135318,7.9002866866958446,-0.025759176853499377,0.025759176853499377,broad_corridor_observation_distribution,network_and_physical_both_broad,0.03638814016172507,True,True,True,True,True,auditable,,89.0,62.0,0.8787061994609163,0.12129380053908353,service_country_cross_layer_distribution_audit,ID,C-Root,resolved_entry_only
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,750.0,0.37733333333333335,0.456,0.48533333333333334,3.1805988645764947,0.6952567887943443,24.06115861385662,broad_network_transition_distribution,0.25066666666666665,0.44284444444444443,0.6350222222222222,2.0603975242935433,0.6665704387382286,7.849089393938514,-0.02868635005611564,0.02868635005611564,broad_corridor_observation_distribution,network_and_physical_both_broad,0.036,True,True,True,True,True,auditable,,90.0,63.0,0.88,0.12,service_country_cross_layer_distribution_audit,ID,C-Root,all_publicly_visible
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,351.0,0.18803418803418803,0.3504273504273504,0.4358974358974359,2.8667752505936788,0.8198967684746881,17.58023484112681,broad_network_transition_distribution,0.4843304843304843,0.5726495726495726,0.6481481481481481,2.0555448254134987,0.6309035970621524,7.811092395188739,-0.1889931714125357,0.1889931714125357,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,81.0,30.0,0.811965811965812,0.18803418803418803,service_country_cross_layer_distribution_audit,NO,C-Root,resolved_entry_only
NZ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,283.0,0.254416961130742,0.4946996466431095,0.6431095406360423,2.1899420772571805,0.7084801034932019,8.934695577636196,broad_network_transition_distribution,0.3498233215547703,0.4558303886925795,0.5618374558303887,2.028512494730712,0.8459554167115126,7.602768784762809,0.13747531321831075,-0.13747531321831075,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,68.0,19.0,0.5936395759717314,0.40636042402826855,country_cross_layer_distribution_audit,,,
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,359.0,0.18384401114206128,0.3426183844011142,0.4428969359331476,2.8614947966807276,0.8183865604113209,17.487647886976443,broad_network_transition_distribution,0.4958217270194986,0.5821727019498607,0.6559888579387186,2.0256302760375062,0.6217219939307245,7.580887490935953,-0.19666456648059638,0.19666456648059638,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,82.0,30.0,0.8161559888579387,0.18384401114206128,service_country_cross_layer_distribution_audit,NO,C-Root,all_publicly_visible
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,377.0,0.11140583554376658,0.15119363395225466,0.19098143236074272,4.004509896870653,0.8990116015962188,54.844938135278305,broad_network_transition_distribution,0.5305039787798409,0.5724137931034483,0.6143236074270557,1.9952732532285928,0.6553649362231607,7.354212315615114,-0.24364666537305812,0.24364666537305812,broad_corridor_observation_distribution,network_and_physical_both_broad,0.050397877984084884,True,True,True,True,True,auditable,,79.0,56.0,0.7506631299734748,0.2493368700265252,country_cross_layer_distribution_audit,,,
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,206.0,0.529126213592233,0.5776699029126213,0.616504854368932,2.1002597169460633,0.6302913613293303,8.16829108071811,broad_network_transition_distribution,0.2459546925566343,0.4919093851132686,0.7378640776699029,1.98983368154131,0.6757938254521493,7.31431715518464,0.045502464122819,-0.045502464122819,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,33.0,23.0,0.8009708737864077,0.19902912621359223,service_country_cross_layer_distribution_audit,PH,C-Root,all_publicly_visible
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,206.0,0.529126213592233,0.5776699029126213,0.616504854368932,2.1002597169460633,0.6302913613293303,8.16829108071811,broad_network_transition_distribution,0.2459546925566343,0.4919093851132686,0.7378640776699029,1.98983368154131,0.6757938254521493,7.31431715518464,0.045502464122819,-0.045502464122819,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,33.0,23.0,0.8009708737864077,0.19902912621359223,service_country_cross_layer_distribution_audit,PH,C-Root,resolved_entry_only
