country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
DK,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,339.0,339.0,3.0,landing_region_d073d559153a::landing_region_e2b0cd002b0c,0.967551622418879,0.9852507374631269,1.0,0.16550981260895184,0.1506535238283251,1.1799945414876518,severe_corridor_observation_concentration,True,True,True,True,auditable,,86.0,40.0,1.0,0.8495575221238938,0.1504424778761062,country_corridor_concentration_summary,,,,,
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,406.0,405.99999999999994,6.0,landing_region_d073d559153a::landing_region_e2b0cd002b0c,0.9482758620689655,0.9638752052545156,0.9794745484400657,0.2746551526552668,0.15328795933395942,1.3160767510318467,severe_corridor_observation_concentration,True,True,True,True,auditable,,52.0,30.0,1.0,0.793103448275862,0.20689655172413796,service_country_corridor_concentration_summary,DK,C-Root,all_publicly_visible,0.034482758620689655,True
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,406.0,405.99999999999994,6.0,landing_region_d073d559153a::landing_region_e2b0cd002b0c,0.9482758620689655,0.9638752052545156,0.9794745484400657,0.2746551526552668,0.15328795933395942,1.3160767510318467,severe_corridor_observation_concentration,True,True,True,True,auditable,,52.0,30.0,1.0,0.793103448275862,0.20689655172413796,service_country_corridor_concentration_summary,DK,C-Root,resolved_entry_only,0.034482758620689655,True
PT,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,204.0,204.0,3.0,landing_region_343850da3642::landing_region_f7627feb3284,0.8676470588235294,0.9901960784313726,1.0,0.42578326517562487,0.3875646300041104,1.5307889638997754,severe_corridor_observation_concentration,True,True,True,True,auditable,,72.0,18.0,1.0,0.8774509803921569,0.12254901960784313,country_corridor_concentration_summary,,,,,
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,188.0,188.0,3.0,landing_region_343850da3642::landing_region_f7627feb3284,0.8617021276595744,0.9893617021276595,1.0,0.43936647029209386,0.3999285961244388,1.551723843892137,severe_corridor_observation_concentration,True,True,True,True,auditable,,65.0,15.0,1.0,0.8723404255319149,0.1276595744680851,service_country_corridor_concentration_summary,PT,C-Root,all_publicly_visible,0.0,True
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,188.0,188.0,3.0,landing_region_343850da3642::landing_region_f7627feb3284,0.8617021276595744,0.9893617021276595,1.0,0.43936647029209386,0.3999285961244388,1.551723843892137,severe_corridor_observation_concentration,True,True,True,True,auditable,,65.0,15.0,1.0,0.8723404255319149,0.1276595744680851,service_country_corridor_concentration_summary,PT,C-Root,resolved_entry_only,0.0,True
CA,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,188.0,188.0,8.0,landing_region_82a1b23200f3::landing_region_c94f4fef1bdd,0.75,0.8882978723404256,0.973404255319149,0.8383192283208175,0.40314633112676873,2.312476962796365,moderate_corridor_observation_concentration,True,True,True,True,auditable,,65.0,22.0,1.0,0.7712765957446809,0.22872340425531915,country_corridor_concentration_summary,,,,,
US,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,697.0,696.9999999999999,14.0,landing_region_08d221ee162c::landing_region_b451e83206f9,0.7101865136298422,0.8622668579626973,0.8904830224772836,1.0955880657189405,0.4151437156837603,2.9909410362199544,moderate_corridor_observation_concentration,True,True,True,True,auditable,,195.0,73.0,1.0,0.9526542324246772,0.04734576757532282,country_corridor_concentration_summary,,,,,
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,630.0,630.0,18.0,landing_region_08d221ee162c::landing_region_b451e83206f9,0.7031746031746032,0.8714285714285714,0.9026455026455027,1.1133787714269132,0.3852026191389706,3.0446281376652724,moderate_corridor_observation_concentration,True,True,True,True,auditable,,154.0,56.0,1.0,0.9920634920634921,0.007936507936507936,service_country_corridor_concentration_summary,US,C-Root,resolved_entry_only,0.08412698412698413,True
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,632.0,632.0,19.0,landing_region_08d221ee162c::landing_region_b451e83206f9,0.7009493670886076,0.8686708860759493,0.8997890295358649,1.1312293394394537,0.3841918095241697,3.099464452905012,moderate_corridor_observation_concentration,True,True,True,True,auditable,,155.0,57.0,1.0,0.9889240506329114,0.011075949367088608,service_country_corridor_concentration_summary,US,C-Root,all_publicly_visible,0.08386075949367089,True
MV,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,55.0,55.0,4.0,landing_region_05d4f4227b7d::landing_region_946d8574d05e,0.6909090909090909,0.9818181818181818,0.9909090909090909,0.7001232498710306,0.5050321703000002,2.014000917527574,moderate_corridor_observation_concentration,True,True,True,True,auditable,,10.0,3.0,1.0,0.6909090909090909,0.3090909090909091,country_corridor_concentration_summary,,,,,
IL,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,47.0,47.0,8.0,landing_region_192d23342e5f::landing_region_cc314324bd60,0.677304964539007,0.8063829787234041,0.8929078014184396,1.1250586979453994,0.541038868078274,3.080397656624916,moderate_corridor_observation_concentration,True,True,True,True,auditable,,18.0,8.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,47.0,47.0,8.0,landing_region_192d23342e5f::landing_region_cc314324bd60,0.677304964539007,0.8063829787234041,0.8929078014184396,1.1250586979453994,0.541038868078274,3.080397656624916,moderate_corridor_observation_concentration,True,True,True,True,auditable,,18.0,8.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,IL,C-Root,all_publicly_visible,0.0,True
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,47.0,47.0,8.0,landing_region_192d23342e5f::landing_region_cc314324bd60,0.677304964539007,0.8063829787234041,0.8929078014184396,1.1250586979453994,0.541038868078274,3.080397656624916,moderate_corridor_observation_concentration,True,True,True,True,auditable,,18.0,8.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,IL,C-Root,resolved_entry_only,0.0,True
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,217.0,217.0,10.0,landing_region_82a1b23200f3::landing_region_c94f4fef1bdd,0.631336405529954,0.8110599078341014,0.9124423963133641,1.1581259287940626,0.5029677002243397,3.183960712267562,moderate_corridor_observation_concentration,True,True,True,True,auditable,,68.0,26.0,1.0,0.7511520737327189,0.2488479262672811,service_country_corridor_concentration_summary,CA,C-Root,all_publicly_visible,0.16589861751152074,True
,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,217.0,217.0,10.0,landing_region_82a1b23200f3::landing_region_c94f4fef1bdd,0.631336405529954,0.8110599078341014,0.9124423963133641,1.1581259287940626,0.5029677002243397,3.183960712267562,moderate_corridor_observation_concentration,True,True,True,True,auditable,,68.0,26.0,1.0,0.7511520737327189,0.2488479262672811,service_country_corridor_concentration_summary,CA,C-Root,resolved_entry_only,0.16589861751152074,True
ZA,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,44.0,44.0,5.0,landing_region_3ee19f69866b::landing_region_44e270aeb18c,0.6136363636363636,0.8409090909090909,0.9090909090909091,1.088618723825852,0.6763968435287039,2.970168614689562,moderate_corridor_observation_concentration,True,True,True,True,auditable,,26.0,12.0,1.0,0.022727272727272728,0.9772727272727273,country_corridor_concentration_summary,,,,,
