probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
MV,C-Root,dns_root,anycast,all_publicly_visible,21,21,21,1.0,1.0,1.0,1.0,0.8095238095238095,1.0,21,1.0,1.0,12,4,1,1,1.0,False,0.0,True,True,auditable,
MV,C-Root,dns_root,anycast,resolved_entry_only,21,21,21,1.0,1.0,1.0,1.0,0.8095238095238095,1.0,21,1.0,1.0,12,4,1,1,1.0,False,0.0,True,True,auditable,
BD,C-Root,dns_root,anycast,all_publicly_visible,20,20,20,1.0,1.0,1.0,1.0,0.25,1.0,20,1.0,1.0,11,7,1,1,1.0,False,0.06557377049180328,True,True,auditable,
BD,C-Root,dns_root,anycast,resolved_entry_only,20,20,20,1.0,1.0,1.0,1.0,0.25,1.0,20,1.0,1.0,11,7,1,1,1.0,False,0.06557377049180328,True,True,auditable,
EE,C-Root,dns_root,anycast,resolved_entry_only,65,65,64,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.0,0.9846153846153847,0.0,64,0.9846153846153847,1.0,35,18,1,1,1.0,True,0.0,True,True,auditable,
ID,C-Root,dns_root,anycast,resolved_entry_only,169,169,166,0.9822485207100592,0.9822485207100592,0.9822485207100592,0.9585798816568047,0.5325443786982249,0.9053254437869822,166,0.9822485207100592,1.0,91,64,1,1,1.0,True,0.03638814016172507,True,True,auditable,
IN,C-Root,dns_root,anycast,resolved_entry_only,242,242,237,0.9793388429752066,0.9793388429752066,0.9793388429752066,0.8512396694214877,0.4834710743801653,0.8512396694214877,237,0.9793388429752066,1.0,133,55,1,1,1.0,True,0.017333333333333333,True,True,auditable,
TH,C-Root,dns_root,anycast,resolved_entry_only,89,89,86,0.9662921348314607,0.9662921348314607,0.9662921348314607,0.898876404494382,0.1797752808988764,0.9213483146067416,86,0.9662921348314607,1.0,48,28,1,1,1.0,True,0.0,True,True,auditable,
ID,C-Root,dns_root,anycast,all_publicly_visible,174,171,168,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9425287356321839,0.5172413793103449,0.8908045977011494,168,0.9655172413793104,0.9827586206896551,94,66,1,1,0.9712643678160919,True,0.036,True,True,auditable,
LK,C-Root,dns_root,anycast,resolved_entry_only,22,22,21,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.6818181818181818,0.9090909090909091,0.6818181818181818,21,0.9545454545454546,1.0,12,6,1,1,1.0,False,0.0,True,True,auditable,
