country,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AE,9,4,COUNTRY_FALLBACK:AE->IN,0.4444444444444444,0.7777777777777777,0.8888888888888888,1.2148896539491205,0.8763576394898526,3.369922186199325,weak_network_transition_concentration,0.4444444444444444,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",3,2,0.5555555555555556,0.4444444444444444,transition_near_country
AU,115,8,1221->1221,0.4608695652173913,0.6521739130434783,0.8,1.5892759880081375,0.7642801955010826,4.900199840243631,weak_network_transition_concentration,0.2608695652173913,True,True,auditable,,35,15,0.9304347826086956,0.06956521739130435,transition_near_country
AX,9,1,3238->3238,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.6666666666666666,0.3333333333333333,transition_near_country
BJ,3,1,COUNTRY_FALLBACK:BJ->NG,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",1,0,0.0,1.0,transition_near_country
BR,99,12,12956->12956,0.32323232323232326,0.4747474747474748,0.5757575757575758,2.106859602166413,0.8478626761879203,8.222379155507216,broad_network_transition_distribution,0.06060606060606061,True,True,auditable,,45,25,0.12121212121212122,0.8787878787878788,transition_near_country
CA,80,10,6327->6327,0.3375,0.48750000000000004,0.6375,1.9758937789756619,0.8581197650360933,7.213063658281519,broad_network_transition_distribution,0.0375,True,True,auditable,,20,8,0.4625,0.5375,transition_near_country
CL,25,3,COUNTRY_FALLBACK:CL->CL,0.4,0.8,1.0,1.0549201679861442,0.9602297178607612,2.8717458874925876,moderate_network_transition_concentration,0.4,False,False,"insufficient_minimum_mappable_segments,maximum_country_fallback_share","minimum_mappable_segments,maximum_country_fallback_share",11,5,0.6,0.4,transition_near_country
CM,3,1,60171->60171,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
CN,33,5,4134->4134,0.7272727272727273,0.8787878787878788,0.9393939393939394,0.8993325356591745,0.5587867221911229,2.457961961553017,moderate_network_transition_concentration,0.030303030303030304,True,True,auditable,,14,5,1.0,0.0,transition_near_country
CO,10,2,23520->23520,0.7,1.0,1.0,0.6108643020548935,0.8812908992306927,1.8420227750373133,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0,transition_near_country
CV,2,1,COUNTRY_FALLBACK:CV->PT,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",1,1,0.0,1.0,transition_near_country
CW,7,2,COUNTRY_FALLBACK:CW->US,0.7142857142857143,1.0,1.0,0.5982695885852573,0.8631205685666311,1.8189685116531733,moderate_network_transition_concentration,0.7142857142857143,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",3,2,0.0,1.0,transition_near_country
