probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
?,2,2,0,0.0,1.0,1,1,1,1,1
AD,6,4,0,0.0,0.6666666666666666,1,3,1,1,1
AE,44,44,5,0.11363636363636363,1.0,1,22,14,1,1
AF,12,12,4,0.3333333333333333,1.0,1,6,2,1,1
AL,58,54,0,0.0,0.9310344827586207,1,29,20,1,1
AM,42,40,0,0.0,0.9523809523809523,1,21,10,1,1
AO,23,23,0,0.0,1.0,1,12,5,1,1
AR,115,110,0,0.0,0.9565217391304348,1,58,43,1,1
AT,449,441,6,0.013363028953229399,0.9821826280623608,1,224,84,1,1
AU,561,449,198,0.35294117647058826,0.8003565062388592,1,281,77,1,1
AX,4,4,2,0.5,1.0,1,2,2,1,1
AZ,18,14,0,0.0,0.7777777777777778,1,9,8,1,1
BA,30,28,0,0.0,0.9333333333333333,1,15,7,1,1
BB,2,2,0,0.0,1.0,1,1,1,1,1
BD,22,22,0,0.0,1.0,1,11,7,1,1
BE,320,318,0,0.0,0.99375,1,160,28,1,1
BF,8,6,0,0.0,0.75,1,4,3,1,1
BG,180,178,0,0.0,0.9888888888888889,1,90,50,1,1
BH,12,12,5,0.4166666666666667,1.0,1,6,3,1,1
BI,2,2,0,0.0,1.0,1,1,1,1,1
BJ,20,20,5,0.25,1.0,1,10,5,1,1
BL,2,2,2,1.0,1.0,1,1,1,1,1
BO,36,36,0,0.0,1.0,1,18,8,1,1
BR,218,195,5,0.022935779816513763,0.8944954128440367,1,109,70,1,1
BT,4,2,0,0.0,0.5,1,2,2,1,1
BW,2,2,0,0.0,1.0,1,1,1,1,1
BY,53,53,0,0.0,1.0,1,27,14,1,1
CA,618,596,106,0.1715210355987055,0.9644012944983819,1,310,95,1,1
CD,6,6,0,0.0,1.0,1,3,3,1,1
CG,6,6,0,0.0,1.0,1,3,2,1,1
CH,679,651,26,0.03829160530191458,0.9587628865979382,1,341,86,1,1
CI,4,2,0,0.0,0.5,1,2,2,1,1
CK,2,2,2,1.0,1.0,1,1,1,1,1
CL,175,168,0,0.0,0.96,1,87,37,1,1
CM,4,4,2,0.5,1.0,1,2,2,1,1
