metric,value
candidate_rows,3310.0
unique_links,838.0
unique_units,50.0
units_with_network_layer_diversity,92.0
units_with_physical_diversity_cable,50.0
units_with_physical_diversity_corridor,50.0
units_with_network_physical_mismatch_cable,50.0
units_with_network_physical_mismatch_corridor,50.0
median_network_layer_diversity_score,3.336617746030884
median_cable_physical_candidate_diversity_score,1.8740272285291202
median_corridor_physical_candidate_diversity_score,1.0
cable_mismatch_network_high_physical_low,11.0
cable_mismatch_network_high_physical_high,14.0
cable_mismatch_network_low_physical_low,14.0
cable_mismatch_network_low_physical_high,11.0
corridor_mismatch_network_high_physical_low,8.0
corridor_mismatch_network_high_physical_high,17.0
corridor_mismatch_network_low_physical_low,19.0
corridor_mismatch_network_low_physical_high,6.0
cable_corridor_target_quadrant_preserved,6.0
cable_corridor_target_quadrant_jaccard,0.46153846153846156
cable_corridor_target_quadrant_recall_from_cable,0.5454545454545454
cable_corridor_target_quadrant_precision_to_corridor,0.75
mean_corridor_minus_cable_physical_diversity,-0.7501224569236717
cable_corridor_quadrant_agreement_rate,0.64
spearman_cable_corridor_physical_diversity_score,0.4014423377254543
